pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source,cell_type,pathway_short
Carboxyterminal post-translational modifications of tubulin (Reactome),0.004299570042995701,0.46014148585141484,0.22082346409111278,0.7234042553191489,2.3505042487349446,5,,Astrocyte-Immature,Reactome,Astrocyte-Immature,Carboxyterminal post-translational mo...
Histidine metabolism (KEGG),0.019998000199980003,0.46014148585141484,0.1011176487430608,0.487126152017876,1.9808636855806245,10,,Astrocyte-Immature,KEGG,Astrocyte-Immature,Histidine metabolism
Nitrogen metabolism (KEGG),0.020997900209979003,0.46014148585141484,0.09862449044494566,0.45360943633937295,1.9555533911069802,12,,Astrocyte-Immature,KEGG,Astrocyte-Immature,Nitrogen metabolism
KEGG:map01100 (KEGG),0.0033996600339966003,0.6765323467653235,0.24883263202204342,0.46279974630241033,2.243023446886797,17,,EN-IT-Immature,KEGG,EN-IT-Immature,KEGG:map01100
KEGG:map01120 (KEGG),0.012898710128987101,0.9993000699930007,0.12644847069990559,0.5262887742658041,2.1008702005011584,9,,EN-IT-Immature,KEGG,EN-IT-Immature,KEGG:map01120
Sphingolipid pathway (WikiPathways),0.0178982101789821,0.9889011098890111,0.10701482812120706,0.6346847166136458,2.104817201839445,5,,EN-L6-IT,WikiPathways,EN-L6-IT,Sphingolipid pathway
Degradation of cysteine and homocysteine (Reactome),0.018998100189981004,0.9889011098890111,0.1038042652915137,0.5055478739372095,2.0289709841174317,9,,EN-L6-IT,Reactome,EN-L6-IT,Degradation of cysteine and homocysteine
Metabolism of sphingolipids in ER and Golgi apparatus (WikiPathways),0.031196880311968805,0.9889011098890111,0.08045887240578595,0.5613178731322056,1.9828938428412384,6,,EN-L6-IT,WikiPathways,EN-L6-IT,Metabolism of sphingolipids in ER and...
Acetylcholine synthesis (WikiPathways),0.0282971702829717,0.893259322716377,0.08461408643957584,0.5601002848026311,2.0355738437572604,6,,EN-L6b,WikiPathways,EN-L6b,Acetylcholine synthesis
Glycogen synthesis and degradation (WikiPathways),0.032896710328967106,0.893259322716377,0.0782805675040982,0.590903169870905,2.0102416517616106,5,,EN-L6b,WikiPathways,EN-L6b,Glycogen synthesis and degradation
Purinergic signaling (WikiPathways),0.04409559044095591,0.893259322716377,0.06720778371599298,0.4509809566771435,1.873743237613822,9,,EN-L6b,WikiPathways,EN-L6b,Purinergic signaling
Tyrosine catabolism (Reactome),0.012198780121987801,0.8543708129187082,0.13008607037291475,0.6604469288967314,2.2075943846539277,5,,EN-Newborn,Reactome,EN-Newborn,Tyrosine catabolism
Biogenic amine synthesis (WikiPathways),0.014298570142985701,0.8543708129187082,0.1199912983547285,0.5157888046505397,2.0940743403061406,9,,EN-Newborn,WikiPathways,EN-Newborn,Biogenic amine synthesis
Tyrosine metabolism (KEGG),0.027597240275972403,0.8543708129187082,0.08571314687753376,0.502515727368049,1.9711653436876335,8,,EN-Newborn,KEGG,EN-Newborn,Tyrosine metabolism
Pyruvate metabolism (Reactome),0.0173982601739826,0.95668928682353,0.10857349262899328,0.5545617173524151,1.7839613047410845,10,,EN-Non-IT-Immature,Reactome,EN-Non-IT-Immature,Pyruvate metabolism
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),0.049095090490950906,0.95668928682353,0.063523490737973,0.5142857142857142,1.6090728997959414,9,,EN-Non-IT-Immature,WikiPathways,EN-Non-IT-Immature,Amino acid metabolism in triple-negat...
KEGG:map01120 (KEGG),0.0174982501749825,0.7858229102462887,0.10825644000893633,0.5199404356891344,2.050099292000878,9,,IN-CGE-Immature,KEGG,IN-CGE-Immature,KEGG:map01120
Ferroptosis (WikiPathways),0.020997900209979003,0.7858229102462887,0.09862449044494566,0.5107142857142857,2.0137210412763276,9,,IN-CGE-Immature,WikiPathways,IN-CGE-Immature,Ferroptosis
Aspirin ADME (Reactome),0.0327967203279672,0.7858229102462887,0.07840404137192353,0.5340435561005503,1.9506614066136823,7,,IN-CGE-Immature,Reactome,IN-CGE-Immature,Aspirin ADME
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.007399260073992601,0.7452709274527093,0.1676585280657653,0.505481881815669,2.2261013412336124,11,,IN-MGE-Immature,Reactome,IN-MGE-Immature,"Metabolism of ingested SeMet, Sec, Me..."
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),0.0216978302169783,0.7452709274527093,0.09698231774198937,0.4404794759468697,1.9974319741727449,12,,IN-MGE-Immature,Reactome,IN-MGE-Immature,Variant SLC6A14 may confer susceptibi...
"Leucine, isoleucine and valine metabolism (WikiPathways)",0.025697430256974303,0.7452709274527093,0.08891772703915364,0.44887853829297836,1.9768247925241613,11,,IN-MGE-Immature,WikiPathways,IN-MGE-Immature,"Leucine, isoleucine and valine metabo..."
Lysine catabolism (Reactome),5.266380869343434e-4,0.10480097929993433,0.47727081536286214,0.7444351545080079,2.4654544091544905,7,,IN-MGE-SST,Reactome,IN-MGE-SST,Lysine catabolism
Regulation of insulin secretion (Reactome),0.0021997800219978004,0.1741075892410759,0.3107769199772489,0.7463421452391485,2.3650644699952377,6,,IN-MGE-SST,Reactome,IN-MGE-SST,Regulation of insulin secretion
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.0027997200279972004,0.1741075892410759,0.27471745859524166,0.6868478160824393,2.2747340266295373,7,,IN-MGE-SST,Reactome,IN-MGE-SST,Class C/3 (Metabotropic glutamate/phe...
Lysine degradation (KEGG),0.0041995800419958006,0.2785721427857214,0.2234791191174785,0.9893238434163701,1.3748239449365758,7,,IPC-EN,KEGG,IPC-EN,Lysine degradation
NAD biosynthesis II from tryptophan (WikiPathways),0.006399360063993601,0.2785721427857214,0.1804678930799227,0.9893428063943162,1.385981883169241,6,,IPC-EN,WikiPathways,IPC-EN,NAD biosynthesis II from tryptophan
Metabolic pathways of fibroblasts (WikiPathways),0.007699230076992301,0.2785721427857214,0.16431349235665232,0.9316546762589928,1.3152565517455364,13,,IPC-EN,WikiPathways,IPC-EN,Metabolic pathways of fibroblasts
Glucose homeostasis (WikiPathways),0.0019424214535074512,0.3865418692479828,0.45505986738722953,0.7179023508137432,1.5978633834524287,16,,OPC,WikiPathways,OPC,Glucose homeostasis
MTHFR deficiency (WikiPathways),0.019198080191980802,0.9504817195048171,0.10325026070418941,0.8794326241134752,1.6197556810469653,5,,OPC,WikiPathways,OPC,MTHFR deficiency
The phototransduction cascade (Reactome),0.019198080191980802,0.9504817195048171,0.10325026070418941,0.8794326241134752,1.6197556810469653,5,,OPC,Reactome,OPC,The phototransduction cascade
