pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Carboxyterminal post-translational modifications of tubulin (Reactome),0.004299570042995701,0.46014148585141484,0.22082346409111278,0.7234042553191489,2.3505042487349446,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;L-Tyrosine;Glycine;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
Histidine metabolism (KEGG),0.019998000199980003,0.46014148585141484,0.1011176487430608,0.487126152017876,1.9808636855806245,10,Adenosine 5'-Diphosphate;L-Histidine;L-Glutamic Acid;1-Methylhistidine,Astrocyte-Immature
Nitrogen metabolism (KEGG),0.020997900209979003,0.46014148585141484,0.09862449044494566,0.45360943633937295,1.9555533911069802,12,Adenosine 5'-Diphosphate;L-Histidine;Biotin;L-Glutamic Acid;Glycine;Asparagine,Astrocyte-Immature
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),0.0212978702129787,0.46014148585141484,0.09791084204867953,0.5532599122539639,2.010263248568972,7,L-Malic Acid;L-Histidine;L-Glutamic Acid;Citric Acid;Pyruvic Acid,Astrocyte-Immature
Synthesis of UDP-N-acetyl-glucosamine (Reactome),0.021997800219978002,0.46014148585141484,0.09630252295665434,0.6277750623328514,2.0397833443932636,5,Adenosine 5'-Diphosphate;N-Acetyl-D-Glucosamine 6-Phosphate;L-Glutamic Acid,Astrocyte-Immature
Tyrosine catabolism (Reactome),0.028197180281971802,0.46014148585141484,0.08476860541891988,0.6107944896660481,1.9846096183530912,5,L-Glutamic Acid;L-Ascorbic Acid;L-Tyrosine,Astrocyte-Immature
Gluconeogenesis (Reactome),0.028597140285971403,0.46014148585141484,0.084155363364313715,0.5081752815283299,1.9315601703572445,8,L-Malic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid;Pyruvic Acid;Guanosine 5'-Diphosphate (Gdp);Dihydroxyacetone Phosphate,Astrocyte-Immature
Glucose metabolism (Reactome),0.030796920307969204,0.46014148585141484,0.08099720461931634,0.4653296920312368,1.8922299386900239,10,L-Malic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid;Citric Acid;Pyruvic Acid;Guanosine 5'-Diphosphate (Gdp);Dihydroxyacetone Phosphate,Astrocyte-Immature
"Alanine, aspartate and glutamate metabolism (KEGG)",0.031896810318968107,0.46014148585141484,0.07954104976990437,0.3471661949473469,1.8098246643200753,23,N-Acetyl-L-Aspartic Acid;Adenosine 5'-Diphosphate;5'-Xanthylic Acid;Biotin;N-Acetyl-D-Glucosamine 6-Phosphate;L-Glutamic Acid;Γ-Aminobutyric Acid;Glycine;Asparagine,Astrocyte-Immature
Citric Acid Cycle (KEGG),0.0331966803319668,0.46014148585141484,0.07791346614835483,0.48040899633548095,1.8888816937127908,9,L-Malic Acid;Adenosine 5'-Diphosphate;Biotin;Citric Acid;Pyruvic Acid;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
Methionine de novo and salvage pathway (WikiPathways),0.0375962403759624,0.46014148585141484,0.07303969431877405,0.4256005347212206,1.8348043542646766,12,L-Ornithine;Putrescine;Adenine;L-Glutamic Acid;5'-S-Methyl-5'-Thioadenosine;L(+)-Ornithine;Pyruvic Acid;Adenosine,Astrocyte-Immature
Carnosine metabolism of glial cells (WikiPathways),0.0392960703929607,0.46014148585141484,0.0713773181547492,0.5878378729159663,1.9100183717425205,5,Adenosine 5'-Diphosphate;L-Histidine,Astrocyte-Immature
Glutamate and glutamine metabolism (Reactome),0.0420957904209579,0.46014148585141484,0.0688594151123592,0.45037465025607226,1.8314163300466564,10,N-Acetyl-L-Aspartic Acid;Adenosine 5'-Diphosphate;L-Ornithine;L-Glutamic Acid;L(+)-Ornithine;Pyruvic Acid,Astrocyte-Immature
Histidine catabolism (Reactome),0.043495650434956505,0.46014148585141484,0.06769145973290497,0.4844431340611236,1.8413549351343959,8,Adenosine 5'-Diphosphate;L-Histidine;L-Glutamic Acid,Astrocyte-Immature
Amino Sugar Metabolism (KEGG),0.0463953604639536,0.46014148585141484,0.06544019964710829,0.3777048845327603,1.7712446089674645,16,Adenosine 5'-Diphosphate;Cytidine-5'-Monophospho-N-Acetylneuraminic Acid;N-Acetyl-D-Glucosamine 6-Phosphate;L-Glutamic Acid;Uridine 5'-Diphosphoglucuronic Acid;Glucose 1-Phosphate;Xylose;Pyruvic Acid;Udp-N-Acetylglucosamine,Astrocyte-Immature
Activation of NMDA receptors and postsynaptic events (Reactome),0.0494950504949505,0.46014148585141484,0.06325274260551386,0.5707141034179533,1.8543793667691804,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
Post NMDA receptor activation events (Reactome),0.0494950504949505,0.46014148585141484,0.06325274260551386,0.5707141034179533,1.8543793667691804,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
Urea cycle (Reactome),0.0524947505249475,0.46014148585141484,0.06132017593335259,0.5281667755120885,1.8286189792515015,6,Adenosine 5'-Diphosphate;L-Ornithine;L-Glutamic Acid;L(+)-Ornithine;N-Acetylglutamic Acid,Astrocyte-Immature
GABA metabolism (aka GHB) (WikiPathways),0.052594740525947405,0.46014148585141484,0.06125857102815924,0.4381206837483983,1.7815864509510215,10,Putrescine;L-Glutamic Acid;N-Acetylputrescine;Γ-Aminobutyric Acid;Glycolic Acid,Astrocyte-Immature
Serine metabolism (WikiPathways),0.05469453054694531,0.46014148585141484,0.06000346547780699,0.49650050644675114,1.8040286290390541,7,Phosphoserine;L-Glutamic Acid;Glycine;Pyruvic Acid;Nervonic Ceramide;L-Serine,Astrocyte-Immature
Glutathione conjugation (Reactome),0.055694430556944306,0.46014148585141484,0.05943045084490919,0.5614106894588164,1.8241504679509897,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine,Astrocyte-Immature
Glutathione synthesis and recycling (Reactome),0.055694430556944306,0.46014148585141484,0.05943045084490919,0.5614106894588164,1.8241504679509897,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine,Astrocyte-Immature
Nucleotide salvage defects (Reactome),0.056394360563943605,0.46014148585141484,0.059038272169415054,0.5607466885921755,1.8219929787646498,5,2'-Deoxyadenosine;Adenine;Guanine;Adenosine,Astrocyte-Immature
Biogenic amine synthesis (WikiPathways),0.062493750624937505,0.46014148585141484,0.05589927952292951,0.4388604805698568,1.7255204089965068,9,L-Histidine;L-Glutamic Acid;L-Tyrosine;Γ-Aminobutyric Acid,Astrocyte-Immature
Branched-chain amino acid catabolism (Reactome),0.06619338066193381,0.46014148585141484,0.05420619224826733,0.5473481082781217,1.7784579570618737,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;L-Valine;Leucine,Astrocyte-Immature
Synthesis of Leukotrienes (LT) and Eoxins (EX) (Reactome),0.066993300669933,0.46014148585141484,0.05385827539112959,0.5462523825178547,1.7748976959270817,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine,Astrocyte-Immature
Metabolism of folate and pterines (Reactome),0.06819318068193181,0.46014148585141484,0.05334765892179997,0.5453030904337134,1.77181323096761,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine,Astrocyte-Immature
Sphingolipid metabolism: integrated pathway (WikiPathways),0.0690930906909309,0.46014148585141484,0.05297325264403285,0.4333622035707033,1.7039021735973292,9,Adenosine 5'-Diphosphate;N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine;O-Phosphocolamine;Palmitoyl Sphingomyelin;Nervonic Ceramide;D-Sphingosine;L-Serine,Astrocyte-Immature
Organic anion transporters (Reactome),0.0694930506949305,0.46014148585141484,0.05280913338365555,0.5054683367183934,1.7500324457890626,6,L-Malic Acid;L-Glutamic Acid;Citric Acid;Pyruvic Acid,Astrocyte-Immature
Paracetamol ADME (Reactome),0.07029297070292971,0.46014148585141484,0.052485005744846026,0.5412379474987221,1.7586046609735113,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine,Astrocyte-Immature
Glyoxylate metabolism and glycine degradation (Reactome),0.0734926507349265,0.46014148585141484,0.05124056308104221,0.45085021324699903,1.7136691735298921,8,Glycine;Glycolic Acid;L-Hydroxyproline;Pyruvic Acid;Sarcosine,Astrocyte-Immature
Methionine Metabolism (KEGG),0.073992600739926,0.46014148585141484,0.05105326234505753,0.3460218597724559,1.6537920307376275,17,Adenosine 5'-Diphosphate;Putrescine;L-Glutamic Acid;1-Aminocyclopropanecarboxylic Acid;Glycine;5'-S-Methyl-5'-Thioadenosine;Pyruvic Acid;Sarcosine;Adenosine;2-Oxobutanoic Acid,Astrocyte-Immature
Pyruvate metabolism (KEGG),0.08689131086891311,0.5239809352398094,0.04678015921953728,0.419442813200312,1.649173636332565,9,L-Malic Acid;Adenosine 5'-Diphosphate;Biotin;Pyruvic Acid;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
Metabolism of cofactors (Reactome),0.0908909109089091,0.5319791550256738,0.04563845202196568,0.5183226349626706,1.6841476211081385,5,Adenosine 5'-Diphosphate;L-Ascorbic Acid;Citric Acid,Astrocyte-Immature
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),0.10418958104189581,0.5923921893524934,0.04231202342206551,0.4047335778030674,1.5913395706046092,9,L-Malic Acid;Phosphoserine;L-Glutamic Acid;Citric Acid;Pyruvic Acid,Astrocyte-Immature
T cell modulation in pancreatic cancer (WikiPathways),0.11078892110788921,0.5964428557144285,0.04088047600525247,0.4424280832104385,1.6075571284197765,7,L-Ornithine;Adenine;L(+)-Ornithine;Adenosine;Dl-Arginine;Tryptophan,Astrocyte-Immature
Acetylcholine synthesis (WikiPathways),0.11608839116088392,0.5964428557144285,0.03981688004914653,0.462879395441629,1.6025810157944156,6,Glycerophosphocholine;Pyruvic Acid;Dl-Dipalmitoylphosphatidylcholine;Cytidine 5'-Diphosphocholine,Astrocyte-Immature
Glucose homeostasis (WikiPathways),0.11768823117688232,0.5964428557144285,0.03950940151099092,0.3259835029780512,1.5286975252556523,16,L-Malic Acid;L-Histidine;L-Ornithine;L-Tyrosine;L-Valine;L(+)-Ornithine;Pyruvic Acid;D-(+)-Glucose,Astrocyte-Immature
beta-Alanine metabolism (KEGG),0.11968803119688032,0.5964428557144285,0.03913337755872988,0.394834270272148,1.5524172753973622,9,L-Histidine;L-Glutamic Acid;1-Methylhistidine,Astrocyte-Immature
Amino acid transport across the plasma membrane (Reactome),0.11988801119888011,0.5964428557144285,0.03909627047020936,0.28938622676473336,1.5086098195498836,23,L-Histidine;L-Ornithine;L-Glutamic Acid;L-Tyrosine;Γ-Aminobutyric Acid;Glycine;Asparagine;L-Valine;L(+)-Ornithine;L-Hydroxyproline,Astrocyte-Immature
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.12858714128587143,0.6241180759972784,0.037563091187972616,0.43009432544266835,1.5627425676534088,7,L-Ornithine;L-Glutamic Acid;Γ-Aminobutyric Acid;L(+)-Ornithine,Astrocyte-Immature
Pyrimidine biosynthesis (Reactome),0.15278472152784722,0.6575527062678347,0.03397751919483612,0.47002240182285665,1.5272092254942857,5,Adenosine 5'-Diphosphate;L-Glutamic Acid,Astrocyte-Immature
Tyrosine metabolism (KEGG),0.16268373162683733,0.6575527062678347,0.03273430451670538,0.3878070442129098,1.4740438341133046,8,L-Glutamic Acid;L-Ascorbic Acid;L-Tyrosine,Astrocyte-Immature
Purine salvage (Reactome),0.16298370162983702,0.6575527062678347,0.03269829911525325,0.35679844552953904,1.45089538078248,10,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Adenine,Astrocyte-Immature
Glycosphingolipid metabolism (Reactome),0.16848315168483152,0.6575527062678347,0.03205423428741567,0.4262877442273535,1.4758934031029505,6,Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Uridine 5'-Diphosphate;N-Acetyl-Neuraminic Acid;D-Glucose;5'-Cytidylic Acid,Astrocyte-Immature
Purine ribonucleoside monophosphate biosynthesis (Reactome),0.16918308169183083,0.6575527062678347,0.031974374159939006,0.3537253277640904,1.4383987670041531,10,Adenosine 5'-Diphosphate;5'-Xanthylic Acid;L-Glutamic Acid;Glycine,Astrocyte-Immature
Purine catabolism (Reactome),0.1713828617138286,0.6575527062678347,0.03172636304086126,0.32212077641428405,1.424958281062715,13,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;5'-Xanthylic Acid,Astrocyte-Immature
"Valine, leucine and isoleucine degradation (KEGG)",0.17648235176482352,0.6575527062678347,0.031168149079895725,0.3650602124614486,1.4353510398040077,9,Adenosine 5'-Diphosphate;Biotin;L-Glutamic Acid;L-Valine;Leucine,Astrocyte-Immature
Glycolysis (Reactome),0.17698230176982302,0.6575527062678347,0.031114633675759604,0.402135231316726,1.461153534832136,7,"Adenosine 5'-Diphosphate;Citric Acid;Pyruvic Acid;Dihydroxyacetone Phosphate;D-Fructose-1,6-Bisphosphate;D-Glucose;Adenosine 3'5'-Cyclic Monophosphate",Astrocyte-Immature
Metabolism overview (WikiPathways),0.17698230176982302,0.6575527062678347,0.031114633675759604,0.28839176231530006,1.40388162572912,18,L-Malic Acid;L-Ornithine;L-Glutamic Acid;Citric Acid;L(+)-Ornithine;Glucose 1-Phosphate;Pyruvic Acid;D-(+)-Glucose;Dihydroxyacetone Phosphate,Astrocyte-Immature
Orexin receptor pathway (WikiPathways),0.17698230176982302,0.6575527062678347,0.031114633675759604,0.402135231316726,1.461153534832136,7,L-Glutamic Acid;D-(+)-Glucose;Progesterone;Arachidonic Acid;2-Arachidonoyl Glycerol;D-Glucose;Adenosine 3'5'-Cyclic Monophosphate,Astrocyte-Immature
Nucleotide salvage (Reactome),0.1770822917708229,0.6575527062678347,0.03110395586097161,0.29968989356791653,1.405393814276088,16,2'-Deoxyadenosine;Pseudouridine;Adenosine 5'-Diphosphate;Adenine,Astrocyte-Immature
Serine biosynthesis (Reactome),0.1770822917708229,0.6575527062678347,0.03110395586097161,0.45529712573624526,1.4793634687809731,5,Phosphoserine;L-Glutamic Acid;Pyruvic Acid;L-Serine,Astrocyte-Immature
TCA cycle (aka Krebs or citric acid cycle) (WikiPathways),0.18438156184381563,0.6575527062678347,0.030346411008211886,0.3975003322229033,1.4443126846227312,7,L-Malic Acid;Adenosine 5'-Diphosphate;Citric Acid;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
Alanine and aspartate metabolism (WikiPathways),0.18498150184981502,0.6575527062678347,0.030286002520610242,0.3459095647738452,1.4066165253438583,10,L-Malic Acid;Asparagine;Citric Acid;Pyruvic Acid;Acetyl-L-Carnitine;Beta-Alanine,Astrocyte-Immature
Citric acid cycle (TCA cycle) (Reactome),0.18648135186481352,0.6575527062678347,0.030136162681460552,0.3966949416929277,1.441386307801827,7,L-Malic Acid;Adenosine 5'-Diphosphate;Citric Acid;Guanosine 5'-Diphosphate (Gdp);Nicotinamide,Astrocyte-Immature
Metabolic reprogramming in pancreatic cancer (WikiPathways),0.19758024197580243,0.6575527062678347,0.02907687166645898,0.3911692201327584,1.421308664856436,7,"D-Fructose 1,6-Bisphosphate;N-Acetyl-D-Glucosamine 6-Phosphate;Pyruvic Acid;Udp-N-Acetylglucosamine",Astrocyte-Immature
Creatine metabolism (Reactome),0.19818018198180182,0.6575527062678347,0.029021960358548524,0.37020456091499315,1.407137282627016,8,Adenosine 5'-Diphosphate;L-Ornithine;Glycine;L(+)-Ornithine,Astrocyte-Immature
Propanoate metabolism (KEGG),0.2024797520247975,0.6575527062678347,0.028635011276433243,0.3538401571268285,1.3912358019844213,9,Adenosine 5'-Diphosphate;Biotin;L-Glutamic Acid;L-Valine;2-Oxobutanoic Acid;Beta-Alanine,Astrocyte-Immature
Urea cycle and metabolism of amino groups (WikiPathways),0.2086791320867913,0.6575527062678347,0.02809651825574276,0.3357702965445889,1.365385915674275,10,L-Ornithine;Putrescine;L-Glutamic Acid;L(+)-Ornithine;Sarcosine,Astrocyte-Immature
Pyrimidine salvage (Reactome),0.2101789821017898,0.6575527062678347,0.02796952149368188,0.38501943391004845,1.3989634904524124,7,Pseudouridine;Adenosine 5'-Diphosphate,Astrocyte-Immature
Nucleotide biosynthesis (Reactome),0.21187881211878812,0.6575527062678347,0.027827081366026293,0.3226092298596067,1.352516538236268,11,Adenosine 5'-Diphosphate;5'-Xanthylic Acid;L-Glutamic Acid;Glycine,Astrocyte-Immature
Mitochondrial biogenesis (Reactome),0.21407859214078592,0.6575527062678347,0.02764504707595687,0.4308510638297872,1.3999326775553715,5,Adenosine 5'-Diphosphate;Linoleic Acid;Nicotinamide;Arachidonic Acid;Palmitic Acid,Astrocyte-Immature
Transcriptional activation of mitochondrial biogenesis (Reactome),0.21407859214078592,0.6575527062678347,0.02764504707595687,0.4308510638297872,1.3999326775553715,5,Adenosine 5'-Diphosphate;Linoleic Acid;Nicotinamide;Arachidonic Acid;Palmitic Acid,Astrocyte-Immature
Pyruvate metabolism (Reactome),0.21477852214778523,0.6575527062678347,0.027587661552443153,0.3331673729407628,1.3548013128526006,10,L-Malic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid,Astrocyte-Immature
TP53 Regulates Metabolic Genes (Reactome),0.22377762223777622,0.6633645458983514,0.026871811746650077,0.425712873557411,1.383237533758214,5,Adenosine 5'-Diphosphate;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
Purine metabolism and related disorders (WikiPathways),0.22457754224577542,0.6633645458983514,0.02681007621983046,0.25612106682629743,1.3188077433219307,22,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;5'-Xanthylic Acid;Adenine;L-Glutamic Acid,Astrocyte-Immature
Diseases of nucleotide metabolism (Reactome),0.22667733226677333,0.6633645458983514,0.02664942847332114,0.3761236841758093,1.3666408905981158,7,2'-Deoxyadenosine;Adenine;Guanine;Adenosine,Astrocyte-Immature
Phenylalanine and tyrosine metabolism (Reactome),0.23057694230576942,0.6649972683891031,0.026356359719670906,0.3416343058377033,1.3432445919278366,9,L-Glutamic Acid;L-Ascorbic Acid;L-Tyrosine,Astrocyte-Immature
Purine metabolism (WikiPathways),0.24337566243375663,0.6874622396915238,0.025439576052916284,0.2707505941514441,1.2940372472987298,17,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;5'-Xanthylic Acid;Adenine,Astrocyte-Immature
Lysine catabolism (Reactome),0.24527547245275472,0.6874622396915238,0.025309007566907137,0.3671159121742725,1.3339112591805662,7,L-Glutamic Acid;L-Saccharopine;2-Oxoadipic Acid;Guanosine 5'-Diphosphate (Gdp),Astrocyte-Immature
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",0.2616738326167383,0.7149654897523945,0.02423534200657191,0.24216067456749252,1.2624165830060305,23,"L-Ornithine;Putrescine;Phosphoserine;Ophthalmate;Glycine;O-Phosphocolamine;L(+)-Ornithine;Sarcosine;Cytidine 5'-Diphosphocholine;2-Oxobutanoic Acid;Cytidine 2'_3'-Cyclic Phosphate;L-Serine;Cytidine 2',3'-Cyclic Monophosphoric Acid;Taurine;L-Glutathione Oxidized",Astrocyte-Immature
Lysine degradation (KEGG),0.2622737726227377,0.7149654897523945,0.024197765037610505,0.3591523801340708,1.304975861125067,7,L-Glutamic Acid;L-Saccharopine;2-Oxoadipic Acid,Astrocyte-Immature
Role of carnosine in muscle contraction (WikiPathways),0.2672732726727327,0.7187483954307271,0.023888976975200323,0.37590414604878886,1.3014553124393018,6,L-Histidine;Γ-Aminobutyric Acid,Astrocyte-Immature
Metabolism of amine-derived hormones (Reactome),0.27347265273472654,0.7256141052561411,0.023516485167016994,0.4003595542543882,1.3008588577923146,5,L-Ascorbic Acid;L-Tyrosine,Astrocyte-Immature
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),0.28377162283771623,0.7393273659647022,0.022921509737553622,0.2877704554894375,1.240605783323568,12,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Adenine;Cytosine;Guanine;Adenosine,Astrocyte-Immature
Glutathione metabolism (KEGG),0.2860713928607139,0.7393273659647022,0.022792491876091763,0.33264226986904183,1.264364054709433,8,Adenosine 5'-Diphosphate;L-Glutamic Acid;Glycine,Astrocyte-Immature
Urea cycle and related diseases (WikiPathways),0.29287071292870714,0.7399111940657785,0.022418791129437156,0.3633010428792953,1.2578208493838476,6,L-Ornithine;L-Glutamic Acid;L(+)-Ornithine;N-Acetylglutamic Acid,Astrocyte-Immature
Azathioprine ADME (Reactome),0.29557044295570445,0.7399111940657785,0.022273511774138954,0.3620255516700853,1.2534048437940062,6,Adenosine 5'-Diphosphate;L-Glutamic Acid,Astrocyte-Immature
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.29817018298170184,0.7399111940657785,0.022135222581800576,0.29203215749428013,1.2243243098770589,11,Glycine;Pyruvic Acid;Sarcosine;Adenosine;2-Oxobutanoic Acid;Nicotinamide;L-Serine,Astrocyte-Immature
