pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
KEGG:map01100 (KEGG),0.0033996600339966003,0.6765323467653235,0.24883263202204342,0.46279974630241033,2.243023446886797,17,2-Furoic Acid;D-Mannitol 1-Phosphate;Υ-L-Glutamyl-L-Glutamic Acid;Maleic Acid;Acrylic Acid;Cis-4-Hydroxy-D-Proline;Mesaconic Acid;Citraconic Acid,EN-IT-Immature
KEGG:map01120 (KEGG),0.012898710128987101,0.9993000699930007,0.12644847069990559,0.5262887742658041,2.1008702005011584,9,"2-Furoic Acid;Maleic Acid;Acrylic Acid;Mesaconic Acid;Cyclohexylamine;2,6-Dihydroxypyridine Hcl",EN-IT-Immature
Branched-chain amino acid catabolism (Reactome),0.0644935506449355,0.9993000699930007,0.05496639836264192,0.5495475307828649,1.8159184023403396,5,Leucine;L-Glutamic Acid;L-Isoleucine,EN-IT-Immature
Arachidonic Acid Metabolism (KEGG),0.06459354064593541,0.9993000699930007,0.054920869974913786,0.5124661981469861,1.802940014121242,6,Dl-Dipalmitoylphosphatidylcholine;L-Glutamic Acid;L-Glutathione Oxidized;L-Glutathione (Reduced),EN-IT-Immature
Acetylcholine synthesis (WikiPathways),0.11308869113088692,0.9993000699930007,0.040410124875123875,0.46685806817200737,1.6424831434076994,6,Dl-Dipalmitoylphosphatidylcholine;Glycerophosphocholine;Cytidine 5'-Diphosphocholine;Choline,EN-IT-Immature
Carnitine synthesis (Reactome),0.2395760423957604,0.9993000699930007,0.025704857426621194,0.3847069348668249,1.3534620021560775,6,"Dl-Carnitine;N6,N6,N6-Trimethyl-L-Lysine;Ne,Ne,Ne-Trimethyllysine;Succinic Acid;L-Ascorbic Acid;Glycine",EN-IT-Immature
GABA metabolism (aka GHB) (WikiPathways),0.24177582241775822,0.9993000699930007,0.025550591846242005,0.32105659910138906,1.3249640748948497,10,L-Glutamic Acid;Γ-Aminobutyric Acid;N-Acetylputrescine,EN-IT-Immature
Metabolic disorders of biological oxidation enzymes (Reactome),0.24737526247375263,0.9993000699930007,0.025166259973746975,0.33279292023901164,1.3284621737243967,9,Vitamin D3;L-Glutamic Acid;Progesterone;L-Glutathione (Reduced);S-Adenosyl-L-Homocysteine;Arachidonic Acid,EN-IT-Immature
Biomarkers for urea cycle disorders (WikiPathways),0.2508749125087491,0.9993000699930007,0.02493190766138743,0.30645161290322576,1.3036133634866598,11,N-Acetylglutamic Acid;L-Glutamic Acid;L-Tyrosine;Creatine;L-Threonine;L-Ornithine;L-Aspartic Acid;Beta-Alanine;L(+)-Ornithine;L-(-)-Methionine;L-Glutamine,EN-IT-Immature
Urea cycle (Reactome),0.26477352264773524,0.9993000699930007,0.024042408783448353,0.37414246337688,1.3162944612604308,6,N-Acetylglutamic Acid;L-Glutamic Acid,EN-IT-Immature
Degradation of cysteine and homocysteine (Reactome),0.27317268273172685,0.9993000699930007,0.023534252602530222,0.3227326710709221,1.2883030847977126,9,L-Glutamic Acid;2-Oxobutanoic Acid;Hypotaurine;L-Glutathione (Reduced),EN-IT-Immature
Urea cycle and related diseases (WikiPathways),0.2752724727527247,0.9993000699930007,0.02341041470786455,0.3684192828832942,1.2961593749713551,6,N-Acetylglutamic Acid;L-Glutamic Acid;L-Ornithine;L-Aspartic Acid;L(+)-Ornithine;L-Glutamine,EN-IT-Immature
Cannabinoid receptor signaling (WikiPathways),0.28257174282571745,0.9993000699930007,0.0229893650041456,0.36531495336239683,1.2852378353059462,6,L-Glutamic Acid;Γ-Aminobutyric Acid,EN-IT-Immature
Mitochondrial biogenesis (Reactome),0.2993700629937006,0.9993000699930007,0.022071919654315122,0.38374963173939636,1.268057773226968,5,Palmitic Acid;Linoleic Acid;Arachidonic Acid;Nicotinamide,EN-IT-Immature
Transcriptional activation of mitochondrial biogenesis (Reactome),0.2993700629937006,0.9993000699930007,0.022071919654315122,0.38374963173939636,1.268057773226968,5,Palmitic Acid;Linoleic Acid;Arachidonic Acid;Nicotinamide,EN-IT-Immature
Lysine catabolism (Reactome),0.3046695330466953,0.9993000699930007,0.02179618227299088,0.3368183864843387,1.2434677158916876,7,L-Glutamic Acid;2-Oxoadipic Acid;L-2-Aminoadipic Acid;L-Lysine;L-Pipecolinic Acid;Guanosine 5'-Diphosphate (Gdp),EN-IT-Immature
Tyrosine catabolism (Reactome),0.3063693630636936,0.9993000699930007,0.02170903826187521,0.38044943404975984,1.2571526387658327,5,L-Glutamic Acid;L-Glutathione (Reduced);L-Tyrosine;L-Ascorbic Acid,EN-IT-Immature
Vitamin B6-dependent and responsive disorders (WikiPathways),0.31026897310268975,0.9993000699930007,0.021511434830280764,0.3780399434735534,1.2491907464225702,5,L-Glutamic Acid;L-2-Aminoadipic Acid;L-Lysine;L-Pipecolinic Acid,EN-IT-Immature
Glutamate and glutamine metabolism (Reactome),0.32266773322667736,0.9993000699930007,0.02090356892786134,0.2925945321279415,1.2075043611165945,10,N-Acetyl-1-Aspartylglutamic Acid;L-Glutamic Acid,EN-IT-Immature
Propanoate metabolism (KEGG),0.3243675632436756,0.9993000699930007,0.020822539170513472,0.30356400768957387,1.2117844971886726,9,L-Glutamic Acid;Acrylic Acid;2-Oxobutanoic Acid,EN-IT-Immature
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",0.32896710328967105,0.9993000699930007,0.02060593632673585,0.22314988455951162,1.1795587178528202,23,Ophthalmate;Cytidine 5'-Diphosphocholine;2-Oxobutanoic Acid;Sarcosine;Hypotaurine;L-Glutathione Oxidized;L-Glutathione (Reduced);Phosphoserine;O-Phosphocolamine;Choline;S-Adenosyl-L-Homocysteine,EN-IT-Immature
"Leucine, isoleucine and valine metabolism (WikiPathways)",0.33126687331266874,0.9993000699930007,0.020499056300523965,0.2803000170805817,1.1923671883795102,11,3-Hydroxybutyric Acid;Leucine;L-Isoleucine;Meglutol;Dl-Valine;Biotin;Malonic Acid;Beta-Alanine;Propionylcarnitine,EN-IT-Immature
Aspartate and asparagine metabolism (Reactome),0.3337666233376662,0.9993000699930007,0.020383931394345228,0.3004121789929318,1.1992028437131694,9,N-Acetyl-1-Aspartylglutamic Acid;L-Glutamic Acid,EN-IT-Immature
Organic cation/anion/zwitterion transport (Reactome),0.35076492350764926,0.9993000699930007,0.019628519388240527,0.31832762373686957,1.1752034303261498,7,Dl-Carnitine;L-Ergothioneine;Uric Acid;Choline;L-(+)-Lactic Acid;Histamine,EN-IT-Immature
16p11.2 proximal deletion syndrome (WikiPathways),0.35336466353364665,0.9993000699930007,0.019516977541343135,0.2821701872248088,1.1644842751267024,10,"D-Fructose-1,6-Bisphosphate;Glycerophosphocholine;Palmitic Acid;Palmitoyl Ethanolamide;Choline;Dihydroxyacetone Phosphate;D-Sphingosine;Oleoyl Ethanolamide;1-Palmitoyl-Sn-Glycero-3-Phosphocholine",EN-IT-Immature
Glutathione metabolism (WikiPathways),0.36176382361763826,0.9993000699930007,0.019163367671306396,0.31486628307868847,1.1624248364759842,7,L-Glutamic Acid;L-Glutathione Oxidized;L-Glutathione (Reduced),EN-IT-Immature
