pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Sphingolipid pathway (WikiPathways),0.0178982101789821,0.9889011098890111,0.10701482812120706,0.6346847166136458,2.104817201839445,5,D-Erythro-Sphinganine;L-Serine;D-Sphingosine,EN-L6-IT
Degradation of cysteine and homocysteine (Reactome),0.018998100189981004,0.9889011098890111,0.1038042652915137,0.5055478739372095,2.0289709841174317,9,L-Glutamic Acid;Taurine;L-Serine;Hypotaurine;2-Oxobutanoic Acid;L-Glutathione (Reduced),EN-L6-IT
Metabolism of sphingolipids in ER and Golgi apparatus (WikiPathways),0.031196880311968805,0.9889011098890111,0.08045887240578595,0.5613178731322056,1.9828938428412384,6,D-Erythro-Sphinganine;L-Serine;D-Sphingosine,EN-L6-IT
Aspartate and asparagine metabolism (Reactome),0.032896710328967106,0.9889011098890111,0.0782805675040982,0.47817943038823896,1.9191301941466403,9,N-Acetyl-1-Aspartylglutamic Acid;L-Glutamic Acid;Taurine;Hypotaurine;L-Aspartic Acid;Asparagine,EN-L6-IT
Sphingolipid metabolism overview (WikiPathways),0.0385961403859614,0.9889011098890111,0.07204867664570204,0.5460738153823135,1.9290431644662458,6,D-Erythro-Sphinganine;L-Serine;D-Sphingosine,EN-L6-IT
Synthesis of ceramides and 1-deoxyceramides (WikiPathways),0.044295570442955706,0.9889011098890111,0.0670487152800428,0.5363055282112074,1.8945360208069715,6,D-Erythro-Sphinganine;L-Serine;D-Sphingosine,EN-L6-IT
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway (WikiPathways),0.0831916808319168,0.9889011098890111,0.047906397414695705,0.5243615404779983,1.7389503189391784,5,D-Erythro-Sphinganine;L-Serine,EN-L6-IT
Biogenic amine synthesis (WikiPathways),0.12418758124187582,0.9889011098890111,0.038319300241029176,0.38909185016705605,1.5615851927083304,9,L-Glutamic Acid;Choline;L-Tyrosine;Tryptophan,EN-L6-IT
16p11.2 proximal deletion syndrome (WikiPathways),0.1322867713228677,0.9889011098890111,0.036955208126957094,0.370304114490161,1.5368133997267541,10,"D-Sphingosine;Palmitic Acid;Choline;Palmitoyl Ethanolamide;Glycerophosphocholine;5'-Cytidylic Acid;1-Palmitoyl-Sn-Glycero-3-Phosphocholine;D-Fructose-1,6-Bisphosphate;Oleoyl Ethanolamide;Dihydroxyacetone Phosphate",EN-L6-IT
Sphingolipid metabolism: integrated pathway (WikiPathways),0.15148485151484853,0.9889011098890111,0.03414920105295578,0.3747945614156016,1.5042043084760832,9,D-Erythro-Sphinganine;L-Serine;D-Sphingosine,EN-L6-IT
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",0.1553844615538446,0.9889011098890111,0.03364025594013364,0.2722320537987184,1.4508645984217643,23,Ophthalmate;L-Glutathione Oxidized;Taurine;L-Serine;Choline;Cytidine 5'-Diphosphocholine;Hypotaurine;2-Oxobutanoic Acid;L-Glutathione (Reduced);Phosphoserine;Sarcosine;S-Adenosyl-L-Homocysteine,EN-L6-IT
Metabolism of folate and pterines (Reactome),0.16158384161583841,0.9889011098890111,0.032867125711890884,0.46003670506354266,1.5256286230769867,5,L-Glutamic Acid;L-Serine,EN-L6-IT
Arachidonic Acid Metabolism (KEGG),0.18048195180481952,0.9889011098890111,0.03074582895514896,0.4162337119794025,1.470374103823555,6,L-Glutathione Oxidized;L-Glutamic Acid;L-Glutathione (Reduced);Dl-Dipalmitoylphosphatidylcholine,EN-L6-IT
Cytosolic tRNA aminoacylation (Reactome),0.1944805519448055,0.9889011098890111,0.029364285031105716,0.2792543194199274,1.3890778159491903,18,L-Glutamic Acid;L-Serine;L-Tyrosine;Leucine;Tryptophan;L-Aspartic Acid;Asparagine;L-Threonine,EN-L6-IT
Mitochondrial tRNA aminoacylation (Reactome),0.1944805519448055,0.9889011098890111,0.029364285031105716,0.2792543194199274,1.3890778159491903,18,L-Glutamic Acid;L-Serine;L-Tyrosine;Leucine;Tryptophan;L-Aspartic Acid;Asparagine;L-Threonine,EN-L6-IT
tRNA Aminoacylation (Reactome),0.1944805519448055,0.9889011098890111,0.029364285031105716,0.2792543194199274,1.3890778159491903,18,L-Glutamic Acid;L-Serine;L-Tyrosine;Leucine;Tryptophan;L-Aspartic Acid;Asparagine;L-Threonine,EN-L6-IT
Cysteine and methionine catabolism (WikiPathways),0.19968003199680032,0.9889011098890111,0.02888567755215259,0.30734174122075275,1.3877352490019084,13,L-Glutamic Acid;Taurine;L-Serine;Hypotaurine;2-Oxobutanoic Acid;L-Glutathione (Reduced),EN-L6-IT
T cell modulation in pancreatic cancer (WikiPathways),0.21207879212078792,0.9889011098890111,0.027810426366041672,0.3786867581277782,1.4044079600855237,7,Tryptophan;D-(+)-Tryptophan;Dl-Arginine;L(+)-Ornithine;Adenosine;Adenine,EN-L6-IT
Serine biosynthesis (Reactome),0.2136786321367863,0.9889011098890111,0.027677953840704456,0.4255769227668067,1.4113489805218555,5,L-Glutamic Acid;L-Serine,EN-L6-IT
Acetylcholine synthesis (WikiPathways),0.2161783821617838,0.9889011098890111,0.027473651771338602,0.39694115477032443,1.402221823745466,6,Choline;Cytidine 5'-Diphosphocholine;Glycerophosphocholine;Dl-Dipalmitoylphosphatidylcholine,EN-L6-IT
Tyrosine catabolism (Reactome),0.22817718228177183,0.9889011098890111,0.026535908519939835,0.41813915977888527,1.3866829832630754,5,L-Glutamic Acid;L-Tyrosine;L-Glutathione (Reduced),EN-L6-IT
Disorders of folate metabolism and transport (WikiPathways),0.2623737626237376,0.9889011098890111,0.02419151326243238,0.37339796466994685,1.319053891767137,6,L-Glutamic Acid;L-Serine,EN-L6-IT
Glyoxylate metabolism and glycine degradation (Reactome),0.2732726727327267,0.9889011098890111,0.023528327280516886,0.33365246696245554,1.2947235296194344,8,L-Hydroxyproline;L-Aspartic Acid;Glycolic Acid;Sarcosine;S-Adenosyl-L-Homocysteine,EN-L6-IT
beta-Alanine metabolism (KEGG),0.27607239276072393,0.9889011098890111,0.023363563621953878,0.3202782498501321,1.285407988622147,9,L-Glutamic Acid;Anserine;1-Methylhistidine;L-Aspartic Acid,EN-L6-IT
Neurotransmitter release cycle (Reactome),0.2763723627637236,0.9889011098890111,0.023346040280905204,0.2740546523904368,1.263850618692407,14,L-Glutamic Acid;Myristic Acid;Palmitic Acid;Choline;Palmitoyl Ethanolamide;Succinic Acid;Γ-Aminobutyric Acid,EN-L6-IT
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",0.27677232276772323,0.9889011098890111,0.023322714524108865,0.30685783245690057,1.2735025355582488,10,L-Tyrosine;Leucine;Tryptophan;Asparagine;L-Threonine;L-Isoleucine;L-Glutamine,EN-L6-IT
Metabolic disorders of biological oxidation enzymes (Reactome),0.2823717628237176,0.9889011098890111,0.02300071071814152,0.31840183645529163,1.2778771719999937,9,Vitamin D3;L-Glutamic Acid;Progesterone;L-Glutathione (Reduced);S-Adenosyl-L-Homocysteine,EN-L6-IT
Tyrosine metabolism (KEGG),0.2860713928607139,0.9889011098890111,0.022792491876091763,0.32831027242566435,1.2739933817816058,8,L-Glutamic Acid;L-Tyrosine;L-Aspartic Acid;S-Adenosyl-L-Homocysteine;Maleic Acid,EN-L6-IT
Organic cation transport (Reactome),0.29317068293170684,0.9889011098890111,0.02240256368191598,0.38623588937824804,1.2808815505572786,5,Choline;Dl-Carnitine;L-Ergothioneine;Creatinine,EN-L6-IT
Sulfur amino acid metabolism (Reactome),0.30346965303469653,0.9889011098890111,0.021858071551331782,0.2654158362565002,1.2240112179728346,14,L-Glutamic Acid;Taurine;L-Serine;Hypotaurine;2-Oxobutanoic Acid;L-Glutathione (Reduced),EN-L6-IT
Kennedy pathway from sphingolipids (WikiPathways),0.3100689931006899,0.9889011098890111,0.02152149104785217,0.31907215546458056,1.2381452805888233,8,L-Serine;Choline;Cytidine 5'-Diphosphocholine,EN-L6-IT
