pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
KEGG:map01120 (KEGG),0.0174982501749825,0.7858229102462887,0.10825644000893633,0.5199404356891344,2.050099292000878,9,"Isobutyric Acid;Mesaconic Acid;2-Furoic Acid;Cyclohexylamine;6-Aminocaproic Acid;2,6-Dihydroxypyridine Hcl",IN-CGE-Immature
Ferroptosis (WikiPathways),0.020997900209979003,0.7858229102462887,0.09862449044494566,0.5107142857142857,2.0137210412763276,9,"L-Glutathione Oxidized;L-Glutathione (Reduced);1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine;Pe(18:0_20:4);Cytidine 2'_3'-Cyclic Phosphate;Arachidonic Acid;L-Glutamine;L-(-)-Methionine;Cytidine 2',3'-Cyclic Monophosphoric Acid",IN-CGE-Immature
Aspirin ADME (Reactome),0.0327967203279672,0.7858229102462887,0.07840404137192353,0.5340435561005503,1.9506614066136823,7,3-Hydroxybutyric Acid;Ethyl Acetoacetate;Pyruvic Acid;Glycine,IN-CGE-Immature
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),0.0456954304569543,0.7858229102462887,0.06596421754427408,0.43570699922978984,1.8276535140344634,11,Pseudouridine;Cytidine;Inosine;Guanosine;N2-Methylguanosine;Adenosine;7-Methylguanosine,IN-CGE-Immature
Glutathione metabolism (WikiPathways),0.0466953304669533,0.7858229102462887,0.06521918154417748,0.5143432700385694,1.8787036284860863,7,"L-Glutathione Oxidized;Glycine;L-Glutathione (Reduced);L-Glutamic Acid;Cytidine 2'_3'-Cyclic Phosphate;L-Pyroglutamic Acid;Cytidine 2',3'-Cyclic Monophosphoric Acid",IN-CGE-Immature
Metabolic disorders of biological oxidation enzymes (Reactome),0.055394460553944605,0.7858229102462887,0.05960075543425571,0.45351396500407887,1.788183020108976,9,Vitamin D3;Glycine;L-Glutathione (Reduced);L-Glutamic Acid;Progesterone;L-Pyroglutamic Acid;Arachidonic Acid;L-(-)-Methionine,IN-CGE-Immature
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS) (Reactome),0.058194180581941805,0.7858229102462887,0.05806188937469579,0.5258472476451489,1.8317844814229607,6,Cytidine;Inosine;Guanosine;Adenosine;Adenine,IN-CGE-Immature
15q25 copy number variation (WikiPathways),0.06519348065193481,0.7858229102462887,0.054649854011676484,0.5535466099522821,1.813749530896961,5,Adenosine 3'5'-Cyclic Monophosphate;Cytidine,IN-CGE-Immature
KEGG:map01100 (KEGG),0.0720927907209279,0.7858229102462887,0.05177506345682876,0.3541450328911398,1.6874887263419502,17,"Υ-L-Glutamyl-L-Glutamic Acid;Isobutyric Acid;Mesaconic Acid;D-Threonine;2-Furoic Acid;6-Aminocaproic Acid;1-Aminocyclopropanecarboxylic Acid;2,6-Dihydroxypyridine Hcl",IN-CGE-Immature
Metabolism overview (WikiPathways),0.0735926407359264,0.7858229102462887,0.05120295424275927,0.3447728058388482,1.6727470411977168,18,3-Hydroxybutyric Acid;Ethyl Acetoacetate;D-(+)-Glucose;Pyruvic Acid;Palmitic Acid;Udp-Β-D-Glucose (Sodium Salt);L-Glutamic Acid;Citric Acid;L-Aspartic Acid;L-Ornithine;L-Glutamine;L(+)-Ornithine;Glucose 1-Phosphate;D-Glucose;D-Ribose 5-Phosphate,IN-CGE-Immature
T cell modulation in pancreatic cancer (WikiPathways),0.074992500749925,0.7858229102462887,0.05068415016322251,0.4785873159063209,1.7481004988617792,7,Dl-Arginine;Tryptophan;Adenosine;Adenine;L-Ornithine;L(+)-Ornithine,IN-CGE-Immature
Urea cycle and related diseases (WikiPathways),0.09309069093090691,0.7858229102462887,0.04504111299111392,0.49023090586145646,1.7077152532267714,6,L-Glutamic Acid;L-Aspartic Acid;L-Ornithine;L-Glutamine;L(+)-Ornithine;N-Acetylglutamic Acid,IN-CGE-Immature
