pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Lysine catabolism (Reactome),5.266380869343434e-4,0.10480097929993433,0.47727081536286214,0.7444351545080079,2.4654544091544905,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,IN-MGE-SST
Regulation of insulin secretion (Reactome),0.0021997800219978004,0.1741075892410759,0.3107769199772489,0.7463421452391485,2.3650644699952377,6,Palmitic Acid;Adenosine 3'5'-Cyclic Monophosphate;D-Glucose;Guanosine 5'-Diphosphate (Gdp),IN-MGE-SST
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.0027997200279972004,0.1741075892410759,0.27471745859524166,0.6868478160824393,2.2747340266295373,7,L-Lysine;L-Ornithine;D-Glucose;L-Glutamic Acid,IN-MGE-SST
Metabolism overview (WikiPathways),0.0034996500349965005,0.1741075892410759,0.24518806365913484,0.4869612859094192,2.088940269281259,18,3-Hydroxybutyric Acid;Pyruvic Acid;Palmitic Acid;L-Ornithine;D-Glucose;L-Glutamic Acid,IN-MGE-SST
Glucose metabolism (Reactome),0.006399360063993601,0.20892910708929108,0.1804678930799227,0.5755606357576817,2.1084937248446605,10,Pyruvic Acid;Adenosine 3'5'-Cyclic Monophosphate;D-Glucose;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,IN-MGE-SST
Glucose homeostasis (WikiPathways),0.006799320067993201,0.20892910708929108,0.1750040159423417,0.4872306794741502,2.0232067479062157,16,3-Hydroxybutyric Acid;Pyruvic Acid;L-Lysine;L-Ornithine;D-Glucose,IN-MGE-SST
Lysine degradation (KEGG),0.007799220077992201,0.20892910708929108,0.16324176812787977,0.64591810308439,2.139181130228293,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;L-Glutamic Acid,IN-MGE-SST
Orexin receptor pathway (WikiPathways),0.008399160083991601,0.20892910708929108,0.15722006939374256,0.643088446330847,2.129809743510229,7,Adenosine 3'5'-Cyclic Monophosphate;D-Glucose;L-Glutamic Acid;Progesterone;Arachidonic Acid;2-Arachidonoyl Glycerol,IN-MGE-SST
Glyoxylate metabolism (WikiPathways),0.009499050094990502,0.21003455210034552,0.1477048969054665,0.603629129898896,2.0814796876959165,8,Pyruvic Acid;L-Hydroxyproline;Glycolic Acid;L-Serine,IN-MGE-SST
Vitamin B6-dependent and responsive disorders (WikiPathways),0.021497850214978503,0.3141043038553287,0.0974433570168394,0.6604967522861904,1.9754648618847952,5,L-Lysine;L-Saccharopine;L-Glutamic Acid,IN-MGE-SST
Glyoxylate metabolism and glycine degradation (Reactome),0.0216978302169783,0.3141043038553287,0.09698231774198937,0.556059142474747,1.917445253864168,8,Pyruvic Acid;L-Hydroxyproline;Glycolic Acid,IN-MGE-SST
Metabolic pathways of fibroblasts (WikiPathways),0.0216978302169783,0.3141043038553287,0.09698231774198937,0.4762370478016701,1.8773823382586161,13,Pyruvic Acid;D-Glucose;D-Glucose 6-Phosphate;L-Glutamic Acid;L-Serine,IN-MGE-SST
