pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Lysine degradation (KEGG),0.0041995800419958006,0.2785721427857214,0.2234791191174785,0.9893238434163701,1.3748239449365758,7,L-Glutamic Acid;L-Lysine,IPC-EN
NAD biosynthesis II from tryptophan (WikiPathways),0.006399360063993601,0.2785721427857214,0.1804678930799227,0.9893428063943162,1.385981883169241,6,L-Glutamic Acid;Dl-Alanine,IPC-EN
Metabolic pathways of fibroblasts (WikiPathways),0.007699230076992301,0.2785721427857214,0.16431349235665232,0.9316546762589928,1.3152565517455364,13,L-Glutamic Acid;L-Serine;Pyruvic Acid,IPC-EN
Vitamin B6-dependent and responsive disorders (WikiPathways),0.007799220077992201,0.2785721427857214,0.16324176812787977,0.9893617021276596,1.4154988058914364,5,L-Glutamic Acid;L-Lysine,IPC-EN
Cytosolic tRNA aminoacylation (Reactome),0.009799020097990201,0.2785721427857214,0.1453927802364807,0.8638838475499093,1.2467065645025168,18,L-Glutamic Acid;L-Isoleucine;L-Serine;L-(-)-Methionine,IPC-EN
Mitochondrial tRNA aminoacylation (Reactome),0.009799020097990201,0.2785721427857214,0.1453927802364807,0.8638838475499093,1.2467065645025168,18,L-Glutamic Acid;L-Isoleucine;L-Serine;L-(-)-Methionine,IPC-EN
tRNA Aminoacylation (Reactome),0.009799020097990201,0.2785721427857214,0.1453927802364807,0.8638838475499093,1.2467065645025168,18,L-Glutamic Acid;L-Isoleucine;L-Serine;L-(-)-Methionine,IPC-EN
Lysine catabolism (Reactome),0.0207979202079792,0.5062938150629381,0.09910876842634327,0.9626334519572953,1.3377333708825314,7,L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp);L-Lysine,IPC-EN
Phospholipid Biosynthesis (KEGG),0.022897710228977103,0.5062938150629381,0.09434349354052166,0.9590747330960854,1.3327879610086588,7,Dl-Dipalmitoylphosphatidylcholine;Choline,IPC-EN
Diseases of nucleotide metabolism (Reactome),0.031096890310968902,0.5372462753724627,0.08059249007647792,0.9466192170818505,1.3154790264501048,7,2'-Deoxyadenosine;Adenine,IPC-EN
Amino acid transport across the plasma membrane (Reactome),0.0375962403759624,0.5372462753724627,0.07303969431877405,0.77403113022109,1.1339791548772018,23,L-Glutamic Acid;L-Isoleucine;L-Serine;Beta-Alanine;L-(-)-Methionine;L-Ornithine,IPC-EN
Amino Sugar Metabolism (KEGG),0.0390960903909609,0.5372462753724627,0.07156731649489641,0.8227848101265822,1.1779995564653016,16,L-Glutamic Acid;Adenosine 5'-Diphosphate;Pyruvic Acid,IPC-EN
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),0.0405959404059594,0.5372462753724627,0.07017632599053192,0.8653500897666069,1.2152858936713171,12,L-Isoleucine;L-Serine;Beta-Alanine;L-(-)-Methionine,IPC-EN
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.04179582041795821,0.5372462753724627,0.06911719069492456,0.8635547576301615,1.2127645536429532,12,L-Isoleucine;L-Serine;L-(-)-Methionine;Dl-Alanine,IPC-EN
Tryptophan catabolism (Reactome),0.04179582041795821,0.5372462753724627,0.06911719069492456,0.8635547576301615,1.2127645536429532,12,L-Glutamic Acid;L-Isoleucine;L-(-)-Methionine;Pyruvic Acid,IPC-EN
Amino acid transport defects (IEMs) (WikiPathways),0.043195680431956804,0.5372462753724627,0.06793701445868107,0.8617594254937163,1.2102432136145895,12,L-Glutamic Acid;L-Serine;Dl-Valine;Dl-Glutamine,IPC-EN
Nucleotide salvage defects (Reactome),0.049595040495950406,0.5805537093349489,0.06318555950777738,0.9468085106382979,1.354617136820837,5,2'-Deoxyadenosine;Adenine,IPC-EN
Biomarkers for urea cycle disorders (WikiPathways),0.0565943405659434,0.6256818762568187,0.058927534325868336,0.8584229390681004,1.2002756005840796,11,L-Glutamic Acid;Beta-Alanine;Creatine;L-(-)-Methionine;L-Ornithine,IPC-EN
Serine biosynthesis (Reactome),0.06509349065093491,0.6709200874784316,0.05469476883232707,0.9326241134751773,1.3343232471306372,5,L-Glutamic Acid;L-Serine;Pyruvic Acid,IPC-EN
Thiamine metabolic pathways (WikiPathways),0.0694930506949305,0.6709200874784316,0.05280913338365555,0.8877005347593583,1.2314282794367237,8,Dihydroxyacetone Phosphate;L-Serine;Succinic Acid;Pyruvic Acid,IPC-EN
