pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Urea cycle and metabolism of amino groups (WikiPathways),0.009799020097990201,0.6690705929407059,0.1453927802364807,0.5250840054972308,2.069019370739506,10,Creatine;Creatinine;Putrescine;L-Ornithine;L-Glutamic Acid;Sarcosine;L-Aspartic Acid;N-Acetylglutamic Acid,Glia
Histidine catabolism (Reactome),0.012598740125987402,0.6690705929407059,0.12797030576243018,0.556768031298396,2.0569101718878855,8,Anserine;L-Histidine;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine;L-Glutamic Acid,Glia
Histidine metabolism (KEGG),0.015998400159984,0.6690705929407059,0.11331886898505378,0.5041707895635182,1.9866137967393331,10,Anserine;L-Histidine;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine;L-Glutamic Acid;1-Methylhistidine,Glia
Creatine pathway (WikiPathways),0.023397660233976603,0.6690705929407059,0.09330404959216085,0.5902880936248593,1.9929299919283052,6,Creatine;Creatinine;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine,Glia
Creatine metabolism (Reactome),0.0244975502449755,0.6690705929407059,0.09112967798835947,0.5240433410609434,1.9360128781544004,8,Creatine;Creatinine;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine;L-Ornithine,Glia
"Transport of vitamins, nucleosides, and related molecules (Reactome)",0.025297470252974703,0.6690705929407059,0.08963764947620609,0.38093328375360735,1.8355888570658,20,Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Biotin;Guanine;Cytidine;Linoleic Acid;Cytosine;Palmitic Acid;Adenine,Glia
Cell recruitment (pro-inflammatory response) (Reactome),0.0268973102689731,0.6690705929407059,0.08685450090908631,0.5466532981756205,1.933337554324945,7,Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;Cytidine 5'-Diphosphate,Glia
Purinergic signaling in leishmaniasis infection (Reactome),0.0268973102689731,0.6690705929407059,0.08685450090908631,0.5466532981756205,1.933337554324945,7,Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;Cytidine 5'-Diphosphate,Glia
Thermogenesis (WikiPathways),0.0326967303269673,0.7042000561848577,0.07852807565453862,0.6029739303404802,1.9142878630855258,5,Adenosine 3'5'-Cyclic Monophosphate;Adenosine 5'-Diphosphate;Dl-Carnitine,Glia
Urea cycle (Reactome),0.049095090490950906,0.7042000561848577,0.063523490737973,0.5377886943976666,1.8156815798256836,6,Adenosine 5'-Diphosphate;L-Ornithine;L-Glutamic Acid;L-Aspartic Acid;N-Acetylglutamic Acid,Glia
Purine catabolism (Reactome),0.052094790520947905,0.7042000561848577,0.061568335579546274,0.404184439066549,1.7262677170861225,13,Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;5'-Xanthylic Acid;Guanine;D-Ribose 5-Phosphate,Glia
15q25 copy number variation (WikiPathways),0.06059394060593941,0.7042000561848577,0.05682702857188093,0.5596703903589504,1.7768102096677854,5,Adenosine 3'5'-Cyclic Monophosphate;Adenosine 5'-Diphosphate;Cytidine,Glia
Metabolism of cofactors (Reactome),0.060693930606939304,0.7042000561848577,0.05677713902428648,0.5590566226856666,1.774861654434132,5,Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine;L-Phenylalanine;L-Ascorbic Acid;Citric Acid,Glia
The phototransduction cascade (Reactome),0.0658934106589341,0.7042000561848577,0.054338253937587,0.5516910953927084,1.7514779909079605,5,Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine,Glia
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),0.0694930506949305,0.7042000561848577,0.05280913338365555,0.3993755721332387,1.6640836657290066,12,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanine;Cytidine;Cytosine;Adenine,Glia
Nucleotide salvage (Reactome),0.07579242075792421,0.7042000561848577,0.05039399698837353,0.3590108150298454,1.6210929954020672,16,Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Pseudouridine;Adenosine 5'-Diphosphate;Guanine;Cytidine,Glia
Sialic acid metabolism (Reactome),0.0780921907809219,0.7042000561848577,0.04958412531380979,0.5028002043702403,1.6975534794946323,6,Uridine 5'-Diphosphate;N-Acetyl-Neuraminic Acid;Adenosine 5'-Diphosphate,Glia
Glycosphingolipid metabolism (Reactome),0.0832916708329167,0.7042000561848577,0.047875005252285566,0.49800702071071723,1.6813707382619165,6,Uridine 5'-Diphosphate;N-Acetyl-Neuraminic Acid;Adenosine 5'-Diphosphate,Glia
Maternal to zygotic transition (MZT) (Reactome),0.08399160083991601,0.7042000561848577,0.047656785478466246,0.5312699128517309,1.6866459643127587,5,Adenosine 5'-Diphosphate;5-Methylcytosine;S-Adenosyl-L-Homocysteine,Glia
Biomarkers for urea cycle disorders (WikiPathways),0.08449155084491551,0.7042000561848577,0.04750252762767345,0.4002136701126644,1.6236278577568575,11,Creatine;L-Threonine;L-Ornithine;L-Glutamic Acid;L-Aspartic Acid;L-Tyrosine;N-Acetylglutamic Acid,Glia
beta-Alanine metabolism (KEGG),0.0866913308669133,0.7042000561848577,0.04683924387014349,0.4265191284520108,1.6273885411025104,9,Anserine;L-Histidine;L-Glutamic Acid;1-Methylhistidine;L-Aspartic Acid,Glia
Purine salvage (Reactome),0.0953904609539046,0.7042000561848577,0.04443811273130948,0.4049141346838503,1.5955069653164857,10,Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanine;Adenine,Glia
Carnosine metabolism of glial cells (WikiPathways),0.09959004099590041,0.7042000561848577,0.04338952422245974,0.5159050033630326,1.6378663102155837,5,L-Histidine;Adenosine 5'-Diphosphate,Glia
