pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Lysine catabolism (Reactome),0.0034996500349965005,0.6964303569643036,0.24518806365913484,0.6404034777660137,2.3894470408443946,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp);L-2-Aminoadipic Acid,Neurons
Glyoxylate metabolism and glycine degradation (Reactome),0.013498650134986502,0.9868064041053521,0.12355834466608173,0.5440507963653161,2.1249732704449698,8,Pyruvic Acid;L-Hydroxyproline;Sarcosine;Glycolic Acid;S-Adenosyl-L-Homocysteine;Dl-Alanine,Neurons
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.017698230176982303,0.9868064041053521,0.10763038966489588,0.5583836755632712,2.083418138022614,7,L-Lysine;L-Ornithine;L-Glutamic Acid;Γ-Aminobutyric Acid;D-Glucose,Neurons
Lysine degradation (KEGG),0.0230976902309769,0.9868064041053521,0.093923690818302,0.5456839704416183,2.0360335221108046,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;L-Glutamic Acid;L-2-Aminoadipic Acid,Neurons
Vitamin B6-dependent and responsive disorders (WikiPathways),0.029997000299970003,0.9868064041053521,0.0821057009024537,0.6012601117709339,2.003479112995925,5,L-Lysine;L-Saccharopine;L-Glutamic Acid;L-2-Aminoadipic Acid,Neurons
KEGG:map01100 (KEGG),0.0324967503249675,0.9868064041053521,0.07877784267877504,0.38367124774478334,1.8898982547559615,17,"2-Furoic Acid;Υ-L-Glutamyl-L-Glutamic Acid;Isobutyric Acid;Citraconic Acid;Mesaconic Acid;2,6-Dihydroxypyridine Hcl;D-Mannitol 1-Phosphate;6-Aminocaproic Acid",Neurons
KEGG:map01120 (KEGG),0.0423957604239576,0.9868064041053521,0.06860434351986792,0.46157636179520173,1.8651952776191745,9,"2-Furoic Acid;Isobutyric Acid;Mesaconic Acid;2,6-Dihydroxypyridine Hcl;6-Aminocaproic Acid;Cyclohexylamine;Maleic Acid;Acrylic Acid",Neurons
Regulation of insulin secretion (Reactome),0.054394560543945605,0.9868064041053521,0.06017838624005827,0.5193143845041108,1.844709399402507,6,Adenosine 3'5'-Cyclic Monophosphate;Palmitic Acid;D-Glucose;Guanosine 5'-Diphosphate (Gdp),Neurons
Metabolic pathways of fibroblasts (WikiPathways),0.07079292070792921,0.9868064041053521,0.05228515375074276,0.3741596763927275,1.7035206057785373,13,Pyruvic Acid;D-Glucose 6-Phosphate;L-Glutamic Acid;D-Glucose;L-(+)-Lactic Acid;Glycine;L-Serine;D-(+)-Glucose;Glucose 1-Phosphate;Uridine 5'-Diphosphoglucuronic Acid;Udp-Β-D-Glucose (Sodium Salt),Neurons
Glutamate and glutamine metabolism (Reactome),0.08549145085491451,0.9868064041053521,0.0471979591200671,0.40038415369032626,1.6741136645281265,10,N-Acetyl-1-Aspartylglutamic Acid;Pyruvic Acid;L-Ornithine;L-Glutamic Acid;Dl-Alanine;N-Acetyl-L-Aspartic Acid,Neurons
Organic cation/anion/zwitterion transport (Reactome),0.0964903509649035,0.9868064041053521,0.04415711138248282,0.4483985765124555,1.6730462731153308,7,Choline;L-Ergothioneine;Creatinine;Uric Acid;L-(+)-Lactic Acid;Dl-Carnitine;Histamine,Neurons
