pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
15q25 copy number variation (WikiPathways),1,5,10.456526326050373,0.11750954710173567,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,WikiPathways
Activation of NMDA receptors and postsynaptic events (Reactome),1,5,10.456526326050373,0.11750954710173567,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,Reactome
Glycogen synthesis and degradation (WikiPathways),1,5,10.456526326050373,0.11750954710173567,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,WikiPathways
Post NMDA receptor activation events (Reactome),1,5,10.456526326050373,0.11750954710173567,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,Reactome
Thermogenesis (WikiPathways),1,5,10.456526326050373,0.11750954710173567,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,WikiPathways
Vitamin B6-dependent and responsive disorders (WikiPathways),1,5,10.456526326050373,0.11750954710173567,L-Lysine,0.3216306246133871,WikiPathways
Cannabinoid receptor signaling (WikiPathways),1,6,8.37216228741036,0.13941533848573473,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,WikiPathways
Regulation of insulin secretion (Reactome),1,6,8.37216228741036,0.13941533848573473,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,Reactome
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),1,7,6.97556186394849,0.16081531230669355,L-Lysine,0.3216306246133871,Reactome
Glycolysis (Reactome),1,7,6.97556186394849,0.16081531230669355,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,Reactome
Lysine catabolism (Reactome),1,7,6.97556186394849,0.16081531230669355,L-Lysine,0.3216306246133871,Reactome
Lysine degradation (KEGG),1,7,6.97556186394849,0.16081531230669355,L-Lysine,0.3216306246133871,KEGG
Orexin receptor pathway (WikiPathways),1,7,6.97556186394849,0.16081531230669355,Adenosine 3'5'-Cyclic Monophosphate,0.3216306246133871,WikiPathways
T cell modulation in pancreatic cancer (WikiPathways),1,7,6.97556186394849,0.16081531230669355,Dl-Arginine,0.3216306246133871,WikiPathways
KEGG:map01120 (KEGG),1,9,5.2255087420911055,0.20214079698747534,2-Furoic Acid,0.3272865135662143,KEGG
Purinergic signaling (WikiPathways),1,9,5.2255087420911055,0.20214079698747534,Adenosine 3'5'-Cyclic Monophosphate,0.3272865135662143,WikiPathways
Glucose metabolism (Reactome),1,10,4.640773272892772,0.2220872770627883,Adenosine 3'5'-Cyclic Monophosphate,0.3272865135662143,Reactome
Peptide hormone metabolism (Reactome),1,10,4.640773272892772,0.2220872770627883,L-Lysine,0.3272865135662143,Reactome
Pyruvate metabolism (Reactome),1,10,4.640773272892772,0.2220872770627883,Adenosine 3'5'-Cyclic Monophosphate,0.3272865135662143,Reactome
Amino acid transport defects (IEMs) (WikiPathways),1,12,3.7876024926232987,0.26059859805841024,Dl-Arginine,0.3474647974112136,WikiPathways
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),1,12,3.7876024926232987,0.26059859805841024,L-Lysine,0.3474647974112136,Reactome
Glucose homeostasis (WikiPathways),1,16,2.7612992803265204,0.33236718273270816,L-Lysine,0.3939097285720202,WikiPathways
KEGG:map01100 (KEGG),1,17,2.584643326678145,0.3492692793723867,2-Furoic Acid,0.3939097285720202,KEGG
Cytosolic tRNA aminoacylation (Reactome),1,18,2.4286515058614757,0.3657733193883045,L-Lysine,0.3939097285720202,Reactome
Mitochondrial tRNA aminoacylation (Reactome),1,18,2.4286515058614757,0.3657733193883045,L-Lysine,0.3939097285720202,Reactome
tRNA Aminoacylation (Reactome),1,18,2.4286515058614757,0.3657733193883045,L-Lysine,0.3939097285720202,Reactome
Na+/Cl- dependent neurotransmitter transporters (Reactome),1,21,2.0541940251767303,0.41298292703839623,L-Lysine,0.42827859100278126,Reactome
Amino acid transport across the plasma membrane (Reactome),1,23,1.8610178260044896,0.44262008653545704,L-Lysine,0.44262008653545704,Reactome
