pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Histidine catabolism (Reactome),4,8,18.730052384447735,4.954772272407795e-4,L-Glutamic Acid;L-Histidine;Anserine;Adenosine 5'-Diphosphate,0.07333062963163536,Reactome
Histidine metabolism (KEGG),4,10,12.49079411760011,0.0013710591821831598,L-Glutamic Acid;L-Histidine;Anserine;Adenosine 5'-Diphosphate,0.10145837948155383,KEGG
beta-Alanine metabolism (KEGG),3,9,9.068632529772772,0.010792047106193458,L-Glutamic Acid;L-Histidine;Anserine,0.2266781896711273,KEGG
Nitrogen metabolism (KEGG),3,12,6.0286661679156746,0.025159281579323,L-Glutamic Acid;L-Histidine;Adenosine 5'-Diphosphate,0.2266781896711273,KEGG
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),3,12,6.0286661679156746,0.025159281579323,Cytosine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate,0.2266781896711273,Reactome
Activation of NMDA receptors and postsynaptic events (Reactome),2,5,11.728305823053308,0.027568969014056026,L-Glutamic Acid;Adenosine 5'-Diphosphate,0.2266781896711273,Reactome
Branched-chain amino acid catabolism (Reactome),2,5,11.728305823053308,0.027568969014056026,L-Glutamic Acid;Adenosine 5'-Diphosphate,0.2266781896711273,Reactome
Carboxyterminal post-translational modifications of tubulin (Reactome),2,5,11.728305823053308,0.027568969014056026,L-Glutamic Acid;Adenosine 5'-Diphosphate,0.2266781896711273,Reactome
Carnosine metabolism of glial cells (WikiPathways),2,5,11.728305823053308,0.027568969014056026,L-Histidine;Adenosine 5'-Diphosphate,0.2266781896711273,WikiPathways
Glutathione conjugation (Reactome),2,5,11.728305823053308,0.027568969014056026,L-Glutamic Acid;Adenosine 5'-Diphosphate,0.2266781896711273,Reactome
Glutathione synthesis and recycling (Reactome),2,5,11.728305823053308,0.027568969014056026,L-Glutamic Acid;Adenosine 5'-Diphosphate,0.2266781896711273,Reactome
Metabolism of folate and pterines (Reactome),2,5,11.728305823053308,0.027568969014056026,L-Glutamic Acid;Adenosine 5'-Diphosphate,0.2266781896711273,Reactome
