pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Acetylcholine synthesis (WikiPathways),2,6,4.024849051815651,0.13881597775590893,Pyruvic Acid;Cytidine 5'-Diphosphocholine,0.8419992202760684,WikiPathways
Disorders of fructose metabolism (WikiPathways),2,6,4.024849051815651,0.13881597775590893,Pyruvic Acid;Glucose 1-Phosphate,0.8419992202760684,WikiPathways
Aspirin ADME (Reactome),2,7,3.2156372039464474,0.1806767347424168,Pyruvic Acid;3-Hydroxybutyric Acid,0.8419992202760684,Reactome
Lactate shuttle in glial cells (WikiPathways),2,7,3.2156372039464474,0.1806767347424168,Pyruvic Acid;Glucose 1-Phosphate,0.8419992202760684,WikiPathways
Glyoxylate metabolism (WikiPathways),2,8,2.676194791555075,0.22412651216020368,Pyruvic Acid;L-Hydroxyproline,0.8419992202760684,WikiPathways
Glyoxylate metabolism and glycine degradation (Reactome),2,8,2.676194791555075,0.22412651216020368,Pyruvic Acid;L-Hydroxyproline,0.8419992202760684,Reactome
Thiamine metabolic pathways (WikiPathways),2,8,2.676194791555075,0.22412651216020368,Pyruvic Acid;Glucose 1-Phosphate,0.8419992202760684,WikiPathways
"Alanine, aspartate and glutamate metabolism (KEGG)",4,23,1.7033344417062606,0.2528472576791462,Pyruvic Acid;Malonic Acid;5'-Xanthylic Acid;Asparagine,0.8419992202760684,KEGG
Aspartate and asparagine metabolism (Reactome),2,9,2.2904054239295566,0.26829547356886296,Asparagine;N-Acetyl-1-Aspartylglutamic Acid,0.8419992202760684,Reactome
Alanine and aspartate metabolism (WikiPathways),2,10,2.0009212558333935,0.3124841532638656,Pyruvic Acid;Asparagine,0.8419992202760684,WikiPathways
Glutamate and glutamine metabolism (Reactome),2,10,2.0009212558333935,0.3124841532638656,Pyruvic Acid;N-Acetyl-1-Aspartylglutamic Acid,0.8419992202760684,Reactome
Metabolism overview (WikiPathways),3,18,1.6049651682685773,0.32964759697190515,Pyruvic Acid;3-Hydroxybutyric Acid;Glucose 1-Phosphate,0.8419992202760684,WikiPathways
"Leucine, isoleucine and valine metabolism (WikiPathways)",2,11,1.7755604433534486,0.3561370529029355,Malonic Acid;3-Hydroxybutyric Acid,0.8419992202760684,WikiPathways
Nitrogen metabolism (KEGG),2,12,1.595207747754115,0.3988198881055822,Pyruvic Acid;Asparagine,0.8419992202760684,KEGG
Metabolic pathways of fibroblasts (WikiPathways),2,13,1.4475944293345604,0.44020001559109256,Pyruvic Acid;Glucose 1-Phosphate,0.8419992202760684,WikiPathways
