cell_type,n_tests,lambda,n_stable
EN-L6b,12842572,1.0707476650383003,40
EN-Newborn,13448975,1.0014241659784202,27
IN-MGE-SST,8431448,0.9985725508732843,39
IN-MGE-Immature,8617957,0.9907467397528619,11
Astrocyte-Immature,9069865,0.9865735038148459,16
OPC,4874143,0.9839998887938192,31
EN-Non-IT-Immature,10482215,0.981221512896705,10
IN-CGE-Immature,8571631,0.9794804975679973,18
EN-IT-Immature,14374700,0.9660809777479041,51
IPC-EN,3381284,0.9234447184715697,2
EN-L6-IT,13471797,0.9144289896200165,8
