gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,dropped_covariates,Compound.ID,Name,cell_type,n_samples,FDR_global,Super.Class,Class,Sub.Class,Pathways,KEGG,Exogenous_Flag,Annotation_Confidence,n_imputed,n_observed,too_few_observed,slope_full,p_full,slope_noimpute,p_noimpute,direction_same,sig_noimpute,imputation_sensitive
ARL14EP-DT,1.4273148657250214,2.05408608137118,7.33396309414791,1.2528933017003815e-6,0.026243518488217876,4.808297215248358,,Amide-Neg-000015,Glycolic Acid,EN-L6b,16,0.09854991456916347,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,16,FALSE,0.9077830035810902,2.0231213879841608e-4,0.9077830035810902,2.0231213879841608e-4,TRUE,TRUE,FALSE
RXFP1,2.084220553274022,2.11831380537326,8.149551535486294,1.2150558979596474e-7,0.0018826076082986778,6.581714798846693,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.033962188256479835,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.411486156180299,0.006856761975588332,1.411486156180299,0.006856761975588332,TRUE,TRUE,FALSE
ADRA1A,2.1420458296825986,3.383945676503592,6.953107328076778,1.2167040505431756e-6,0.0047129031397789905,5.091898848341236,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.09740557503593082,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.4271498985868731,0.01378673167675086,1.4271498985868731,0.01378673167675086,TRUE,TRUE,FALSE
HS3ST4,2.2181317032349,4.5042339899476245,7.025931124996947,1.0516936921630448e-6,0.0047129031397789905,5.467951482510158,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.09176174038755253,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.2891665667875183,0.028189379640179986,1.2891665667875183,0.028189379640179986,TRUE,TRUE,FALSE
IL1RAPL2,1.6888306483496813,5.2325398019586995,7.098286048782423,9.105616505428861e-7,0.0047129031397789905,5.763540783328087,,Amide-Neg-000015,Glycolic Acid,IN-MGE-SST,12,0.08614614453502865,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,12,FALSE,1.3616584973540153,0.0013001424299770269,1.3616584973540153,0.0013001424299770269,TRUE,TRUE,FALSE
HS3ST5,2.0121409902003964,4.745900837786178,6.41411267931472,8.392146164740176e-7,0.01115064460909027,3.422654592682953,,Amide-Neg-000015,Glycolic Acid,OPC,10,0.08244759462431099,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,R-HSA-389661;WP4157;WP5166,C03547;C00160,NA,high,0,10,FALSE,1.3635493305617357,0.010051657521645127,1.3635493305617357,0.010051657521645127,TRUE,TRUE,FALSE
RPLP1,1.0975249551530097,8.379560959083909,6.816675404289664,8.65218712759035e-8,3.510384588488463e-5,7.944069028791979,,Amide-Neg-000032,Pyruvic Acid,IN-MGE-SST,10,0.030315969628827943,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,map00020;map00250;map00270;map00330;map00520;map00620;map00910;R-HSA-1614558;R-HSA-1614635;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2408508;R-HSA-389661;R-HSA-4085001;R-HSA-427601;R-HSA-428643;R-HSA-433692;R-HSA-446219;R-HSA-5362517;R-HSA-5619070;R-HSA-6782315;R-HSA-6782861;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-9749641;R-HSA-977347;R-HSA-9861559;R-HSA-9861718;WP106;WP1495;WP1584;WP1946;WP2333;WP2453;WP2456;WP2868;WP357;WP3580;WP3602;WP3644;WP3965;WP4141;WP4206;WP4236;WP4290;WP4297;WP4504;WP4595;WP4628;WP4629;WP4661;WP4688;WP4742;WP5030;WP5031;WP5046;WP5049;WP5050;WP5166;WP5178;WP5211;WP5213;WP5216;WP5220;WP528;WP5312;WP5314;WP534;WP5433;WP661,C00022,NA,high,0,10,FALSE,0.7085689224157066,0.013604042552734417,0.7085689224157066,0.013604042552734417,TRUE,TRUE,FALSE
RPS17,1.117317347505397,7.688536184787345,7.2531733926643644,2.465883553845796e-8,1.5659432690205087e-5,9.125548691311872,,Amide-Neg-000032,Pyruvic Acid,IN-MGE-SST,10,0.019344619929674928,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,map00020;map00250;map00270;map00330;map00520;map00620;map00910;R-HSA-1614558;R-HSA-1614635;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2408508;R-HSA-389661;R-HSA-4085001;R-HSA-427601;R-HSA-428643;R-HSA-433692;R-HSA-446219;R-HSA-5362517;R-HSA-5619070;R-HSA-6782315;R-HSA-6782861;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-9749641;R-HSA-977347;R-HSA-9861559;R-HSA-9861718;WP106;WP1495;WP1584;WP1946;WP2333;WP2453;WP2456;WP2868;WP357;WP3580;WP3602;WP3644;WP3965;WP4141;WP4206;WP4236;WP4290;WP4297;WP4504;WP4595;WP4628;WP4629;WP4661;WP4688;WP4742;WP5030;WP5031;WP5046;WP5049;WP5050;WP5166;WP5178;WP5211;WP5213;WP5216;WP5220;WP528;WP5312;WP5314;WP534;WP5433;WP661,C00022,NA,high,0,10,FALSE,0.7734567851944741,2.108254470425088e-4,0.7734567851944741,2.108254470425088e-4,TRUE,TRUE,FALSE
RPS2,0.9456425520417262,8.359555588980806,6.455812393520476,2.4732638827761484e-7,8.401044714378703e-5,6.930962378181821,,Amide-Neg-000032,Pyruvic Acid,IN-MGE-SST,10,0.0472537547829059,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,map00020;map00250;map00270;map00330;map00520;map00620;map00910;R-HSA-1614558;R-HSA-1614635;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2408508;R-HSA-389661;R-HSA-4085001;R-HSA-427601;R-HSA-428643;R-HSA-433692;R-HSA-446219;R-HSA-5362517;R-HSA-5619070;R-HSA-6782315;R-HSA-6782861;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-9749641;R-HSA-977347;R-HSA-9861559;R-HSA-9861718;WP106;WP1495;WP1584;WP1946;WP2333;WP2453;WP2456;WP2868;WP357;WP3580;WP3602;WP3644;WP3965;WP4141;WP4206;WP4236;WP4290;WP4297;WP4504;WP4595;WP4628;WP4629;WP4661;WP4688;WP4742;WP5030;WP5031;WP5046;WP5049;WP5050;WP5166;WP5178;WP5211;WP5213;WP5216;WP5220;WP528;WP5312;WP5314;WP534;WP5433;WP661,C00022,NA,high,0,10,FALSE,0.6304092946394988,0.005214571483552452,0.6304092946394988,0.005214571483552452,TRUE,TRUE,FALSE
PLCG2,1.2644869240845873,9.485920503834517,9.213852681398933,1.1435420833580172e-10,1.5344253701609682e-6,14.36716141073168,,Amide-Neg-000032,Pyruvic Acid,IN-MGE-SST,10,0.0020314839652618177,Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,map00020;map00250;map00270;map00330;map00520;map00620;map00910;R-HSA-1614558;R-HSA-1614635;R-HSA-196807;R-HSA-197264;R-HSA-204174;R-HSA-2408508;R-HSA-389661;R-HSA-4085001;R-HSA-427601;R-HSA-428643;R-HSA-433692;R-HSA-446219;R-HSA-5362517;R-HSA-5619070;R-HSA-6782315;R-HSA-6782861;R-HSA-70171;R-HSA-70263;R-HSA-70268;R-HSA-70326;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-9749641;R-HSA-977347;R-HSA-9861559;R-HSA-9861718;WP106;WP1495;WP1584;WP1946;WP2333;WP2453;WP2456;WP2868;WP357;WP3580;WP3602;WP3644;WP3965;WP4141;WP4206;WP4236;WP4290;WP4297;WP4504;WP4595;WP4628;WP4629;WP4661;WP4688;WP4742;WP5030;WP5031;WP5046;WP5049;WP5050;WP5166;WP5178;WP5211;WP5213;WP5216;WP5220;WP528;WP5312;WP5314;WP534;WP5433;WP661,C00022,NA,high,0,10,FALSE,0.8981146774018969,0.0026169727005860527,0.8981146774018969,0.0026169727005860527,TRUE,TRUE,FALSE
