pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Cell recruitment (pro-inflammatory response) (Reactome),0.0036996300369963003,0.27803886278038864,0.23835292164691088,0.6399728380197264,2.4153389345170946,7,Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine 5'-Diphosphate (Gdp),All cell types
Purinergic signaling in leishmaniasis infection (Reactome),0.0036996300369963003,0.27803886278038864,0.23835292164691088,0.6399728380197264,2.4153389345170946,7,Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine 5'-Diphosphate (Gdp),All cell types
"Cerebral organic acidurias, including diseases (WikiPathways)",0.004299570042995701,0.27803886278038864,0.22082346409111278,0.7066929133858268,2.3905395081501757,5,Tryptophan;2-Oxoadipic Acid;N-Acetyl-L-Aspartic Acid;L-2-Aminoadipic Acid;L-Aspartic Acid,All cell types
Lysine catabolism (Reactome),0.006099390060993901,0.2958204179582042,0.18491588197177058,0.6095448466076364,2.3004998226194937,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp);L-2-Aminoadipic Acid,All cell types
Tryptophan catabolism (Reactome),0.008999100089991,0.34916508349165076,0.15181288128745332,0.5157567656159046,2.192894492655124,10,Pyruvic Acid;Tryptophan;L-Histidine;Leucine;L-Glutamic Acid;L-(-)-Methionine;Dl-Alanine;L-Kynurenine,All cell types
Glutamate and glutamine metabolism (Reactome),0.0168983101689831,0.3868527432970989,0.11020061442674668,0.4831934425421449,2.054441763400621,10,L-Ornithine;Pyruvic Acid;N-Acetyl-L-Aspartic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid;L-Aspartic Acid;Dl-Alanine,All cell types
Amino acid transport across the plasma membrane (Reactome),0.0217978202179782,0.3868527432970989,0.0967541689411413,0.36613573787851006,1.954296034474586,21,L-Lysine;L-Ornithine;L-Hydroxyproline;L-Threonine;Tryptophan;L-Serine;L-Histidine;Leucine;L-Glutamic Acid;Γ-Aminobutyric Acid;L-(-)-Methionine;Dl-Alanine,All cell types
Cytosolic tRNA aminoacylation (Reactome),0.021897810218978103,0.3868527432970989,0.09652757658691613,0.4008402356656663,1.9648915808742093,16,L-Lysine;L-Threonine;Tryptophan;L-Serine;L-Histidine;Leucine;L-Glutamic Acid;L-(-)-Methionine;L-Aspartic Acid;Dl-Alanine,All cell types
Mitochondrial tRNA aminoacylation (Reactome),0.021897810218978103,0.3868527432970989,0.09652757658691613,0.4008402356656663,1.9648915808742093,16,L-Lysine;L-Threonine;Tryptophan;L-Serine;L-Histidine;Leucine;L-Glutamic Acid;L-(-)-Methionine;L-Aspartic Acid;Dl-Alanine,All cell types
tRNA Aminoacylation (Reactome),0.021897810218978103,0.3868527432970989,0.09652757658691613,0.4008402356656663,1.9648915808742093,16,L-Lysine;L-Threonine;Tryptophan;L-Serine;L-Histidine;Leucine;L-Glutamic Acid;L-(-)-Methionine;L-Aspartic Acid;Dl-Alanine,All cell types
Glyoxylate metabolism and glycine degradation (Reactome),0.0231976802319768,0.3868527432970989,0.0937158165018434,0.5143575965539109,2.0270970452461814,8,Pyruvic Acid;L-Hydroxyproline;Sarcosine;Glycolic Acid;L-Aspartic Acid;Dl-Alanine,All cell types
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.0240975902409759,0.3868527432970989,0.09190322038478575,0.5350127610364342,2.019206246617233,7,L-Lysine;L-Ornithine;L-Glutamic Acid;Γ-Aminobutyric Acid;D-Glucose,All cell types
Urea cycle and metabolism of amino groups (WikiPathways),0.0316968303169683,0.3868527432970989,0.07980020895275265,0.4509608209242323,1.9173951105169709,10,L-Ornithine;Creatine;Sarcosine;Creatinine;L-Glutamic Acid;L-Aspartic Acid;Putrescine,All cell types
Nucleotide catabolism (Reactome),0.035096490350964904,0.3868527432970989,0.07569778552103555,0.324354797169246,1.8207189690801933,25,Pyruvic Acid;5'-Xanthylic Acid;Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Cytidine;Uric Acid;Adenosine 5'-Diphosphate;Guanine;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine 5'-Diphosphate (Gdp);Dl-Alanine;D-Ribose 5-Phosphate;Inosine;Xanthine,All cell types
Vitamin B6-dependent and responsive disorders (WikiPathways),0.0410958904109589,0.3868527432970989,0.06972945852281875,0.5690333079424568,1.9248765316925698,5,L-Lysine;L-Saccharopine;L-Glutamic Acid;L-2-Aminoadipic Acid,All cell types
Lactate shuttle in glial cells (WikiPathways),0.0425957404259574,0.3868527432970989,0.06843577449753617,0.49908442721540897,1.8836081424871092,7,Pyruvic Acid;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate;Adenosine 5'-Diphosphate;Glucose 1-Phosphate;Dl-Lactic Acid,All cell types
Lysine degradation (KEGG),0.043795620437956206,0.3868527432970989,0.06744839694813294,0.4977551567819215,1.8785913067063291,7,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;L-Glutamic Acid;L-2-Aminoadipic Acid,All cell types
Metabolic reprogramming in pancreatic cancer (WikiPathways),0.044995500449955005,0.3868527432970989,0.06650023233116935,0.49647185050535975,1.873747945503249,7,"Pyruvic Acid;D-Fructose 1,6-Bisphosphate;N-Acetyl-D-Glucosamine 6-Phosphate;D-Ribose 5-Phosphate;Udp-N-Acetylglucosamine;Dl-Lactic Acid",All cell types
Nucleotide biosynthesis (Reactome),0.048595140485951406,0.3868527432970989,0.06386653877779266,0.41393853252303464,1.8134459168689594,11,5'-Xanthylic Acid;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;L-Glutamic Acid;Uridine Monophosphate;Guanosine 5'-Diphosphate (Gdp);L-Aspartic Acid,All cell types
Purine catabolism (Reactome),0.048995100489951,0.3868527432970989,0.0635916868333331,0.40114476705156965,1.8068272904032756,12,5'-Xanthylic Acid;Guanosine-5'-Monophosphate;2'-Deoxyadenosine;Uric Acid;Adenosine 5'-Diphosphate;Guanine;D-Ribose 5-Phosphate;Inosine;Xanthine,All cell types
Amino Sugar Metabolism (KEGG),0.049295070492950704,0.3868527432970989,0.06338771148360935,0.3651219414009926,1.789802930985322,16,Pyruvic Acid;Uridine 5'-Diphosphate;Udp-Β-D-Glucose (Sodium Salt);D-Glucose 6-Phosphate;Adenosine 5'-Diphosphate;L-Glutamic Acid;D-Glucose;N-Acetyl-D-Glucosamine 6-Phosphate;Cytidine-5'-Monophospho-N-Acetylneuraminic Acid;Udp-N-Acetylglucosamine;Glucose 1-Phosphate,All cell types
The phototransduction cascade (Reactome),0.051994800519948,0.3868527432970989,0.06163081466707631,0.5514739674630311,1.865478317336612,5,Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;L-(-)-Methionine;Guanosine 5'-Diphosphate (Gdp),All cell types
beta-Alanine metabolism (KEGG),0.05319468053194681,0.3868527432970989,0.06089253270699512,0.4411508010173811,1.810016745826684,9,Anserine;L-Histidine;D-Pantothenic Acid;1-Methylhistidine;L-Glutamic Acid;L-Aspartic Acid,All cell types
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",0.05349465053494651,0.3868527432970989,0.06071178617529305,0.48298608346181066,1.8228509444634837,7,Guanosine-5'-Monophosphate;L-Glutamic Acid;D-Glucose;Guanosine 5'-Diphosphate (Gdp);L-Aspartic Acid,All cell types
T cell modulation in pancreatic cancer (WikiPathways),0.054094590540945904,0.3868527432970989,0.060354733338943714,0.48240140908912804,1.8206443089745084,7,L-Ornithine;Dl-Arginine;Tryptophan,All cell types
