pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Acetylcholine synthesis (WikiPathways),0.001979418849352148,0.3840072567743167,0.4317076958033464,0.7110460188530112,2.4822486187675614,6,Pyruvic Acid;Dl-Dipalmitoylphosphatidylcholine;Glycerophosphocholine;Cytidine 5'-Diphosphocholine,EN-IT-Immature
Organic anion transporters (Reactome),0.0287971202879712,0.9602039796020398,0.08385350613623484,0.5663610637118917,1.9771560923586151,6,Pyruvic Acid;L-Glutamic Acid;N-Acetyl-Neuraminic Acid,EN-IT-Immature
Nicotinate and nicotinamide metabolism (KEGG),0.035896410358964105,0.9602039796020398,0.07481738407724575,0.49700855035845365,1.9104054259971779,8,"L-Glutamic Acid;Maleic Acid;2,6-Dihydroxypyridine Hcl",EN-IT-Immature
Sialic acid metabolism (Reactome),0.05729427057294271,0.9602039796020398,0.058544441155085856,0.5170580721944633,1.8050402526656228,6,Pyruvic Acid;N-Acetyl-Neuraminic Acid;Cytidine 5'-Triphosphate;Uridine 5'-Diphosphate,EN-IT-Immature
Synthesis of substrates in N-glycan biosythesis (Reactome),0.06319368063193681,0.9602039796020398,0.055567847676256846,0.36405013057278296,1.7071863064977473,15,Pyruvic Acid;L-Glutamic Acid;N-Acetyl-Neuraminic Acid;Uridine Monophosphate;Cytidine 5'-Triphosphate;D-Mannose;N-Acetyl-D-Glucosamine 6-Phosphate;Uridine 5'-Diphosphate;Glucose 1-Phosphate,EN-IT-Immature
Serine biosynthesis (Reactome),0.06419358064193581,0.9602039796020398,0.05510360701536134,0.5418511023044195,1.787035689989895,5,Pyruvic Acid;L-Glutamic Acid;Phosphoserine,EN-IT-Immature
Lactate shuttle in glial cells (WikiPathways),0.06519348065193481,0.9602039796020398,0.054649854011676484,0.47670605517456005,1.7548506137881033,7,Pyruvic Acid;Udp-Β-D-Glucose (Sodium Salt);Dl-Lactic Acid,EN-IT-Immature
KEGG:map01120 (KEGG),0.0780921907809219,0.9602039796020398,0.04958412531380979,0.46273418425353186,1.7034173542450577,7,"Maleic Acid;2,6-Dihydroxypyridine Hcl;Mesaconic Acid;D-Gluconic Acid;2-Furoic Acid",EN-IT-Immature
Metabolic disorders of biological oxidation enzymes (Reactome),0.07929207079292071,0.9602039796020398,0.04917526063972247,0.4202727179452904,1.6813677197728611,9,Vitamin D3;L-Glutamic Acid;Progesterone,EN-IT-Immature
Nicotinate metabolism (Reactome),0.12588741125887412,0.9602039796020398,0.03802265683649372,0.42590760367239383,1.5678513239103629,7,Pyruvic Acid;L-Glutamic Acid,EN-IT-Immature
GABA metabolism (aka GHB) (WikiPathways),0.131986801319868,0.9602039796020398,0.037003589184246365,0.3682490017926065,1.525713162091341,10,L-Glutamic Acid;Γ-Aminobutyric Acid;N-Acetylputrescine,EN-IT-Immature
Carnitine synthesis (Reactome),0.14038596140385962,0.9602039796020398,0.03570515527595619,0.43984220907297833,1.5354810898291127,6,"N6,N6,N6-Trimethyl-L-Lysine;Dl-Carnitine;Ne,Ne,Ne-Trimethyllysine;Succinic Acid;L-Ascorbic Acid;Glycine",EN-IT-Immature
Lysine catabolism (Reactome),0.1553844615538446,0.9602039796020398,0.03364025594013364,0.4064032963910805,1.4960520563479,7,L-Glutamic Acid;2-Oxoadipic Acid;L-2-Aminoadipic Acid;L-Lysine;L-Pipecolinic Acid;Guanosine 5'-Diphosphate (Gdp),EN-IT-Immature
Cannabinoid receptor signaling (WikiPathways),0.1561843815618438,0.9602039796020398,0.033538078140941,0.42795665627770246,1.4939888428758794,6,L-Glutamic Acid;Γ-Aminobutyric Acid,EN-IT-Immature
Arachidonic Acid Metabolism (KEGG),0.1623837616238376,0.9602039796020398,0.03277040320469783,0.42420233957056797,1.480882592065653,6,Dl-Dipalmitoylphosphatidylcholine;L-Glutamic Acid;Arachidonic Acid;L-Glutathione Oxidized;1-Myristoyl-Sn-Glycero-3-Phosphocholine,EN-IT-Immature
Trans-sulfuration pathway (WikiPathways),0.16618338166183383,0.9602039796020398,0.03231993570512057,0.37958085582281054,1.4590359180854193,8,Pyruvic Acid;L-Glutamic Acid,EN-IT-Immature
Tyrosine metabolism (KEGG),0.17428257174282571,0.9602039796020398,0.03140615144364875,0.3947898516383822,1.4533006366181798,7,L-Glutamic Acid;Maleic Acid;L-Aspartic Acid;L-Ascorbic Acid;Ethyl Acetoacetate,EN-IT-Immature
"Cerebral organic acidurias, including diseases (WikiPathways)",0.17538246175382463,0.9602039796020398,0.031286630054567735,0.4445786102085751,1.4662290804060796,5,2-Oxoadipic Acid;L-2-Aminoadipic Acid;Tryptophan;L-Aspartic Acid,EN-IT-Immature
tRNA modification in the nucleus and cytosol (Reactome),0.17888211178882113,0.9602039796020398,0.030913179318951028,0.4161735700197239,1.4528543047262008,6,Pyruvic Acid;Guanine;Succinic Acid;L-(-)-Methionine;5'-S-Methyl-5'-Thioadenosine,EN-IT-Immature
Vitamin B6-dependent and responsive disorders (WikiPathways),0.1790820917908209,0.9602039796020398,0.030892146868861048,0.44119960170776357,1.455085043304284,5,L-Glutamic Acid;L-2-Aminoadipic Acid;L-Lysine;L-Pipecolinic Acid,EN-IT-Immature
Glycolysis in senescence (WikiPathways),0.18268173182681732,0.9602039796020398,0.03051906004552157,0.43914232728113256,1.4483001114127405,5,Pyruvic Acid;Dl-Lactic Acid,EN-IT-Immature
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),0.18948105189481051,0.9602039796020398,0.029841432742462242,0.38764587842837567,1.4270022381892462,7,Pyruvic Acid;L-Glutamic Acid,EN-IT-Immature
Biogenic amine synthesis (WikiPathways),0.18958104189581043,0.9602039796020398,0.029831719780965656,0.3875049872489774,1.4264835894958625,7,L-Glutamic Acid;Γ-Aminobutyric Acid,EN-IT-Immature
Serine metabolism (WikiPathways),0.20767923207679231,0.9602039796020398,0.02818187876736154,0.3783098682928041,1.3926345121263992,7,Pyruvic Acid;L-Glutamic Acid;Phosphoserine,EN-IT-Immature
Phenylalanine and tyrosine metabolism (Reactome),0.21477852214778523,0.9602039796020398,0.027587661552443153,0.374865439048948,1.379954877145641,7,Pyruvic Acid;L-Glutamic Acid,EN-IT-Immature
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),0.2243775622437756,0.9602039796020398,0.026825482121188664,0.41535433070866146,1.3698468265756814,5,Pyruvic Acid;Succinic Acid;L-(-)-Methionine;5'-S-Methyl-5'-Thioadenosine,EN-IT-Immature
"Leucine, isoleucine and valine metabolism (WikiPathways)",0.2415758424157584,0.9602039796020398,0.02556453805178303,0.31905443643580456,1.3218923899972823,10,Leucine;Dl-Valine;Meglutol;Biotin;Malonic Acid;Ethyl Acetoacetate;3-Hydroxybutyric Acid;Beta-Alanine,EN-IT-Immature
Lysine degradation (KEGG),0.24277572242775722,0.9602039796020398,0.0254810920647875,0.3620404118267764,1.3327433793088121,7,L-Glutamic Acid;2-Oxoadipic Acid;L-2-Aminoadipic Acid;L-Lysine;L-Pipecolinic Acid,EN-IT-Immature
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),0.24467553244675533,0.9602039796020398,0.025350093068995473,0.3826882034689669,1.335957503864252,6,Pyruvic Acid;Dl-Lactic Acid,EN-IT-Immature
Free fatty acid receptors (Reactome),0.25137486251374863,0.9602039796020398,0.0248987847007365,0.3796569046801421,1.3253752953543585,6,"Palmitic Acid;Myristic Acid;Palmitoleic Acid;7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid",EN-IT-Immature
Metabolic pathways of fibroblasts (WikiPathways),0.25337466253374663,0.9602039796020398,0.024767165117003324,0.2867957008843683,1.2889478452439453,13,Pyruvic Acid;L-Glutamic Acid;Udp-Β-D-Glucose (Sodium Salt),EN-IT-Immature
Gluconeogenesis (Reactome),0.2582741725827417,0.9602039796020398,0.024450454004778126,0.33487853397752726,1.2872087771915468,8,Pyruvic Acid;L-Glutamic Acid,EN-IT-Immature
Phospholipid Biosynthesis (KEGG),0.26317368263173685,0.9602039796020398,0.024141612207546344,0.3739940546246665,1.3056063896073482,6,Dl-Dipalmitoylphosphatidylcholine;Cytidine 5'-Diphosphocholine,EN-IT-Immature
KEGG:map01100 (KEGG),0.26577342265773424,0.9602039796020398,0.023980807668029017,0.2643988502654881,1.2617066470033618,16,"Maleic Acid;2,6-Dihydroxypyridine Hcl;Mesaconic Acid;D-Mannitol 1-Phosphate",EN-IT-Immature
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.26887311268873115,0.9602039796020398,0.02379176981813069,0.35010771065379254,1.2888167126548866,7,L-Glutamic Acid;Γ-Aminobutyric Acid;L-Lysine;L-Ornithine;L(+)-Ornithine;D-(+)-Tryptophan;D-Glucose,EN-IT-Immature
T cell modulation in pancreatic cancer (WikiPathways),0.26987301269873015,0.9602039796020398,0.02373140120648082,0.34980237154150196,1.2876926981331485,7,Adenosine;Dl-Arginine;Tryptophan;L-Ornithine;L(+)-Ornithine;Adenine;D-(+)-Tryptophan,EN-IT-Immature
Methionine metabolism leading to sulfur amino acids and related disorders (WikiPathways),0.2725727427257274,0.9602039796020398,0.023569864413160484,0.3288724626738383,1.2641225924584711,8,Sarcosine;Hypotaurine;Adenosine;L-(-)-Methionine;Taurine;Glycine,EN-IT-Immature
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),0.27587241275872415,0.9602039796020398,0.023375259707737385,0.36826217147675777,1.285596490599989,6,Pyruvic Acid;Dl-Lactic Acid,EN-IT-Immature
"Transport of vitamins, nucleosides, and related molecules (Reactome)",0.29187081291870814,0.9602039796020398,0.02247303826806378,0.24296819923314444,1.2217322298443807,19,Palmitic Acid;Cytidine;Linoleic Acid;D-Pantothenic Acid;Guanine;Myristic Acid;Adenosine;Uridine Monophosphate,EN-IT-Immature
Metabolism overview (WikiPathways),0.2980701929807019,0.9602039796020398,0.02214051262653225,0.24594362998577568,1.215627608009505,18,Pyruvic Acid;L-Glutamic Acid;Udp-Β-D-Glucose (Sodium Salt);Palmitic Acid;Glucose 1-Phosphate;L-Aspartic Acid;Succinic Acid;L-Ornithine;Ethyl Acetoacetate;3-Hydroxybutyric Acid;L(+)-Ornithine;D-(+)-Glucose;L-Glutamine;Citric Acid;L-Malic Acid;D-Glucose;Dihydroxyacetone Phosphate,EN-IT-Immature
Sensory perception of taste (Reactome),0.3003699630036996,0.9602039796020398,0.022019416075025718,0.31881188118811876,1.2254516491816532,8,L-Glutamic Acid;L-Aspartic Acid;Guanosine-5'-Monophosphate;Guanosine 5'-Diphosphate (Gdp);D-(+)-Tryptophan;Citric Acid;D-Glucose,EN-IT-Immature
Aspirin ADME (Reactome),0.3267673232676732,0.9602039796020398,0.020709050566061937,0.3247401367423556,1.1954335844869441,7,Pyruvic Acid;Uridine 5'-Diphosphate;L-(+)-Lactic Acid;Ethyl Acetoacetate;3-Hydroxybutyric Acid;Glycine,EN-IT-Immature
Orexin receptor pathway (WikiPathways),0.32896710328967105,0.9602039796020398,0.02060593632673585,0.3237636562527045,1.1918389639277636,7,L-Glutamic Acid;Progesterone,EN-IT-Immature
Biomarkers for urea cycle disorders (WikiPathways),0.3314668533146685,0.9602039796020398,0.02048980635264571,0.2874997223051873,1.1911562781795884,10,L-Glutamic Acid;Creatine;L-Threonine;L-Aspartic Acid;L-(-)-Methionine;L-Ornithine;Beta-Alanine;L(+)-Ornithine;L-Glutamine,EN-IT-Immature
Degradation of cysteine and homocysteine (Reactome),0.3354664533546645,0.9602039796020398,0.020306260343188325,0.29483117391166314,1.1795189110094457,9,Pyruvic Acid;L-Glutamic Acid;Hypotaurine,EN-IT-Immature
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",0.34366563343665635,0.9602039796020398,0.01993837645825695,0.31818181818181823,1.1712910983019038,7,L-Glutamic Acid;L-Aspartic Acid;Guanosine-5'-Monophosphate;Guanosine 5'-Diphosphate (Gdp);D-(+)-Tryptophan;D-Glucose,EN-IT-Immature
