pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
MTHFR deficiency (WikiPathways),0.022297770222977704,0.8112545888268317,0.095636421370719,0.6240157480314961,2.0371324192426083,5,L-(-)-Methionine;Nervonic Ceramide;Cytidine 5'-Diphosphocholine;Choline,EN-L6b
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),0.027297270272972702,0.8112545888268317,0.08619696191371143,0.6082677165354331,1.985722137368978,5,Pyruvic Acid;L-(-)-Methionine;Succinic Acid;5'-S-Methyl-5'-Thioadenosine,EN-L6b
Orexin receptor pathway (WikiPathways),0.0491950804919508,0.8112545888268317,0.06345549930017466,0.4980237154150198,1.8135367403576956,7,D-Glucose;Progesterone;Adenosine 3'5'-Cyclic Monophosphate;Arachidonic Acid;2-Arachidonoyl Glycerol;L-Glutamic Acid;D-(+)-Glucose,EN-L6b
Serine metabolism (WikiPathways),0.0514948505149485,0.8112545888268317,0.061945887634562026,0.49604743083003955,1.8063401659911968,7,"Pyruvic Acid;Nervonic Ceramide;Phosphoserine;Glycine;L-Glutamic Acid;D,L-Serine;L-Serine",EN-L6b
tRNA modification in the nucleus and cytosol (Reactome),0.053394660533946606,0.8112545888268317,0.0607718687747803,0.5266272189349113,1.8185780164938983,6,Pyruvic Acid;L-(-)-Methionine;Succinic Acid;5'-S-Methyl-5'-Thioadenosine;Guanine,EN-L6b
Metabolic disorders of biological oxidation enzymes (Reactome),0.05799420057994201,0.8112545888268317,0.05816817074117651,0.44527454701352975,1.7618492217766153,9,Progesterone;L-(-)-Methionine;Arachidonic Acid;L-Pyroglutamic Acid;Glycine;Vitamin D3;L-Glutamic Acid,EN-L6b
Peptide hormone metabolism (Reactome),0.07029297070292971,0.8112545888268317,0.052485005744846026,0.4163973217679191,1.705977724418917,10,D-Glucose;Myristic Acid;Palmitic Acid;Palmitoleic Acid;L-Lysine,EN-L6b
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),0.07579242075792421,0.8112545888268317,0.05039399698837353,0.4980999993668458,1.7200662561578066,6,Dl-Lactic Acid;D-Glucose;Pyruvic Acid,EN-L6b
Glyoxylate metabolism and glycine degradation (Reactome),0.0776922307769223,0.8112545888268317,0.04972245535114438,0.4449613441110937,1.6917045072115768,8,Glycolic Acid;Pyruvic Acid;L-Hydroxyproline;Sarcosine;Glycine;Dl-Alanine,EN-L6b
Disorders of folate metabolism and transport (WikiPathways),0.08199180081991801,0.8112545888268317,0.048287438416321875,0.49309664694280075,1.7027884049568334,6,"L-(-)-Methionine;Glycine;L-Glutamic Acid;D,L-Serine;L-Serine",EN-L6b
