pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",0.010498950104989501,0.9367843703434533,0.14038920200174856,0.6812040080946813,1.5741969849875037,11,Glycine;Adenosine;Sarcosine;Dl-Alanine;L-Serine,EN-Non-IT-Immature
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),0.016698330166983303,0.9367843703434533,0.11087177518307077,0.6758960851990207,1.537273113657234,10,Glycine;Dl-Alanine;L-(-)-Methionine;L-Glutamine;L-Serine,EN-Non-IT-Immature
Pyruvate metabolism (Reactome),0.021097890210978902,0.9367843703434533,0.09838492536965289,0.6620278330019881,1.5057308519060972,10,"L-(+)-Lactic Acid;Dl-Alanine;Adenosine 5'-Diphosphate;D-Fructose-1,6-Bisphosphate;L-Glutathione (Reduced);L-Glutamic Acid",EN-Non-IT-Immature
16p11.2 proximal deletion syndrome (WikiPathways),0.039196080391960805,0.9367843703434533,0.07147213780589295,0.626826186908676,1.4256674438160923,10,"D-Sphingosine;Dihydroxyacetone Phosphate;Palmitoyl Ethanolamide;1-Palmitoyl-Sn-Glycero-3-Phosphocholine;Glycerophosphocholine;Palmitic Acid;D-Fructose-1,6-Bisphosphate;Choline",EN-Non-IT-Immature
Aspirin ADME (Reactome),0.0435956404359564,0.9367843703434533,0.06761016403656743,0.6897233201581028,1.465165890916188,7,L-(+)-Lactic Acid;Glycine;Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate;Ethyl Acetoacetate,EN-Non-IT-Immature
Nicotinamide salvaging (Reactome),0.045495450454954504,0.9367843703434533,0.06611612031994309,0.7736220472440944,1.5337292619925331,5,L-(+)-Lactic Acid;Adenosine 5'-Diphosphate,EN-Non-IT-Immature
Glucose metabolism (Reactome),0.0552944705529447,0.9367843703434533,0.05965782560574734,0.6043737574552683,1.374601138076437,10,"Dihydroxyacetone Phosphate;Adenosine 5'-Diphosphate;D-Fructose-1,6-Bisphosphate;L-Glutamic Acid;Citric Acid;D-Glucose;Guanosine 5'-Diphosphate (Gdp)",EN-Non-IT-Immature
Amino acid metabolism in triple-negative breast cancer cells (WikiPathways),0.05549445055494451,0.9367843703434533,0.05954383670265279,0.623015873015873,1.3893421829666728,9,"L-Glutamine;L-Serine;L-Glutathione (Reduced);L-Glutamic Acid;Citric Acid;D,L-Serine",EN-Non-IT-Immature
Nicotinate metabolism (Reactome),0.06719328067193281,0.9367843703434533,0.05377224601181772,0.6600790513833992,1.4021931448882714,7,L-(+)-Lactic Acid;L-Glutamine;Adenosine 5'-Diphosphate;L-Glutamic Acid,EN-Non-IT-Immature
Metabolic disorders of biological oxidation enzymes (Reactome),0.0675932406759324,0.9367843703434533,0.0536013074154146,0.6111111111111112,1.362794243164762,9,Glycine;L-(-)-Methionine;L-Glutathione (Reduced);L-Glutamic Acid;L-Pyroglutamic Acid,EN-Non-IT-Immature
Kennedy pathway from sphingolipids (WikiPathways),0.07579242075792421,0.9367843703434533,0.05039399698837353,0.6217821782178218,1.3565424435836158,8,"Cytidine 5'-Diphosphocholine;L-Serine;Adenosine 5'-Diphosphate;Choline;D,L-Serine",EN-Non-IT-Immature
"mRNA, protein, and metabolite inducation pathway by cyclosporin A (WikiPathways)",0.08289171082891711,0.9367843703434533,0.04800090436215639,0.5966798900617425,1.3306122313990785,9,Dl-Alanine;L-Glutamine;Adenosine 5'-Diphosphate,EN-Non-IT-Immature
Gluconeogenesis (Reactome),0.09569043095690431,0.9367843703434533,0.04436101246920242,0.6039603960396039,1.317660653799372,8,"Dihydroxyacetone Phosphate;Adenosine 5'-Diphosphate;D-Fructose-1,6-Bisphosphate;L-Glutamic Acid;D-Glucose;Guanosine 5'-Diphosphate (Gdp)",EN-Non-IT-Immature
Serine metabolism (WikiPathways),0.10428957104289571,0.9367843703434533,0.042289364661447525,0.6225296442687747,1.322427666586244,7,"Glycine;L-Serine;Nervonic Ceramide;L-Glutamic Acid;D,L-Serine",EN-Non-IT-Immature
Organic anion transporters (Reactome),0.10528947105289471,0.9367843703434533,0.042064487219663625,0.6489151873767258,1.3361618740310124,6,L-(+)-Lactic Acid;L-Glutamic Acid;Citric Acid,EN-Non-IT-Immature
Glycolysis (Reactome),0.10938906109389061,0.9367843703434533,0.041173709625441146,0.6185770750988142,1.3140313004491886,7,"Dihydroxyacetone Phosphate;Adenosine 5'-Diphosphate;D-Fructose-1,6-Bisphosphate;Citric Acid;D-Glucose",EN-Non-IT-Immature
