pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis
Aspirin ADME (Reactome),0.0012425561311410456,0.08035196314712095,0.45505986738722953,0.9901185770750988,1.5319843989537694,7,Uridine 5'-Diphosphate;Pyruvic Acid,OPC
Late SARS-CoV-2 Infection Events (Reactome),0.0012425561311410456,0.08035196314712095,0.45505986738722953,0.9901185770750988,1.5319843989537694,7,Uridine 5'-Diphosphate;D-(+)-Glucose,OPC
Translation of Structural Proteins (Reactome),0.0012425561311410456,0.08035196314712095,0.45505986738722953,0.9901185770750988,1.5319843989537694,7,Uridine 5'-Diphosphate;D-(+)-Glucose,OPC
Glycosphingolipid metabolism (Reactome),0.0023997600239976003,0.11638836116388361,0.2972329219997305,0.9901380670611439,1.5165529448084945,6,Uridine 5'-Diphosphate;D-Glucose,OPC
Abacavir ADME (Reactome),0.0044995500449955,0.1454854514548545,0.2157828589665743,0.9901574803149606,1.5069730743554028,5,Uridine 5'-Diphosphate;Adenosine,OPC
Abacavir metabolism (Reactome),0.0044995500449955,0.1454854514548545,0.2157828589665743,0.9901574803149606,1.5069730743554028,5,Uridine 5'-Diphosphate;Adenosine,OPC
The phototransduction cascade (Reactome),0.006899310068993101,0.19120945048352309,0.17371321926215616,0.984251968503937,1.497985163375152,5,Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate,OPC
Organic cation/anion/zwitterion transport (Reactome),0.013298670132986702,0.3224927507249275,0.12449997625338785,0.9367588932806324,1.4494223654772191,7,Creatinine;Uric Acid;Dl-Carnitine,OPC
Cell recruitment (pro-inflammatory response) (Reactome),0.0192980701929807,0.3403477834034778,0.10297648075354626,0.9150197628458498,1.415785981468254,7,Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate,OPC
Glucose homeostasis (WikiPathways),0.0192980701929807,0.3403477834034778,0.10297648075354626,0.7755511022044088,1.28749107001358,14,L-Histidine;L-Lysine;L-Ornithine;Pyruvic Acid,OPC
Purinergic signaling in leishmaniasis infection (Reactome),0.0192980701929807,0.3403477834034778,0.10297648075354626,0.9150197628458498,1.415785981468254,7,Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate,OPC
Organic cation transport (Reactome),0.030296970302969704,0.4898010198980103,0.0816849181752493,0.9350393700787402,1.4230859052063944,5,Creatinine;Dl-Carnitine;Histamine,OPC
Purine catabolism (Reactome),0.038696130386961305,0.577465330390038,0.07195166788926238,0.7647954539287725,1.2499945911759756,12,5'-Xanthylic Acid;Guanosine-5'-Monophosphate;Uric Acid;Guanine;D-Ribose 5-Phosphate,OPC
MTHFR deficiency (WikiPathways),0.0741925807419258,0.9724420228134255,0.05097885897178931,0.8759842519685039,1.3332067954038853,5,Nervonic Ceramide;Choline,OPC
Mitochondrial biogenesis (Reactome),0.0892910708929107,0.9724420228134255,0.04608621648154816,0.8582677165354331,1.3062430624631325,5,Linoleic Acid;Palmitic Acid;Adenosine 5'-Diphosphate,OPC
Transcriptional activation of mitochondrial biogenesis (Reactome),0.0892910708929107,0.9724420228134255,0.04608621648154816,0.8582677165354331,1.3062430624631325,5,Linoleic Acid;Palmitic Acid;Adenosine 5'-Diphosphate,OPC
Sialic acid metabolism (Reactome),0.10578942105789421,0.9724420228134255,0.04195319987443899,0.8145956607495068,1.2476820043942396,6,Uridine 5'-Diphosphate;Cytidine 5'-Triphosphate;Pyruvic Acid,OPC
Synthesis of PC (Reactome),0.10668933106689331,0.9724420228134255,0.04175478081354874,0.7885375494071146,1.2200833835979124,7,Cytidine 5'-Triphosphate;Acetylcholine;Choline,OPC
Purine metabolism (WikiPathways),0.11648835116488351,0.9724420228134255,0.039739442847676915,0.667916347942213,1.1229326204774372,16,5'-Xanthylic Acid;Guanosine-5'-Monophosphate;Uric Acid;Guanine;D-Ribose 5-Phosphate,OPC
Acetylcholine synthesis (WikiPathways),0.1344865513448655,0.9724420228134255,0.03660512472169988,0.7909270216962525,1.2114297427653513,6,Dl-Dipalmitoylphosphatidylcholine;Glycerophosphocholine;Acetylcholine;Pyruvic Acid,OPC
Glycolysis and gluconeogenesis (WikiPathways),0.1354864513548645,0.9724420228134255,0.03644867803328043,0.7281746031746033,1.15419024784124,9,"L-Aspartic Acid;D-Fructose-1,6-Bisphosphate;Pyruvic Acid",OPC
Phospholipid Biosynthesis (KEGG),0.13708629137086292,0.9724420228134255,0.036201748643269,0.7889546351084813,1.208408720962944,6,Dl-Dipalmitoylphosphatidylcholine;Acetylcholine;Choline,OPC
Regulation of insulin secretion (Reactome),0.13708629137086292,0.9724420228134255,0.036201748643269,0.7889546351084813,1.208408720962944,6,Palmitic Acid;Acetylcholine;D-Glucose,OPC
Phosphate bond hydrolysis by NTPDase proteins (Reactome),0.13888611138886112,0.9724420228134255,0.03592880225441394,0.7120665986235356,1.141479978977244,10,Uridine 5'-Diphosphate;Guanosine-5'-Monophosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Cytidine 5'-Triphosphate,OPC
Glycine metabolism (WikiPathways),0.1967803219678032,0.9724420228134255,0.029150445008678683,0.7531490246378542,1.153566769313647,6,"Creatine;L-Serine;D,L-Serine;Pyruvic Acid",OPC
Glycolysis (Reactome),0.20317968203179682,0.9724420228134255,0.028573087851872597,0.7272727272727273,1.1252899377544654,7,"D-Fructose-1,6-Bisphosphate;Pyruvic Acid",OPC
Creatine pathway (WikiPathways),0.21627837216278373,0.9724420228134255,0.02746554672729081,0.741460226077651,1.1356635268594262,6,Creatine;Creatinine;Phosphocreatine,OPC
Disorders of fructose metabolism (WikiPathways),0.24147585241475852,0.9724420228134255,0.02557151696161447,0.7278106508875739,1.1147570450883157,6,"D-Fructose-1,6-Bisphosphate;Pyruvic Acid",OPC
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),0.24147585241475852,0.9724420228134255,0.02557151696161447,0.7278106508875739,1.1147570450883157,6,"D-Fructose-1,6-Bisphosphate;Pyruvic Acid",OPC
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),0.24147585241475852,0.9724420228134255,0.02557151696161447,0.7278106508875739,1.1147570450883157,6,"D-Fructose-1,6-Bisphosphate;Pyruvic Acid",OPC
Glucose metabolism (Reactome),0.2595740425957404,0.9724420228134255,0.024367764741697977,0.6640159045725647,1.0644522046915659,10,"D-Fructose-1,6-Bisphosphate;L-Glutamic Acid;Pyruvic Acid",OPC
T cell modulation in pancreatic cancer (WikiPathways),0.2632736726327367,0.9724420228134255,0.02413538867413396,0.6996047430830039,1.082479994470328,7,Dl-Arginine;L-Ornithine;Adenine;L(+)-Ornithine,OPC
Urea cycle and metabolism of amino groups (WikiPathways),0.2916708329167083,0.9724420228134255,0.02248391655464825,0.6540755467196819,1.0485172914476801,10,Creatine;Creatinine;Putrescine;Sarcosine;L-Aspartic Acid;L-Ornithine;L-Glutamic Acid;Phosphocreatine,OPC
Metabolic disorders of biological oxidation enzymes (Reactome),0.292970702929707,0.9724420228134255,0.02241337959324764,0.6646825396825398,1.053552406067617,9,L-Pyroglutamic Acid;L-Glutamic Acid;L-(-)-Methionine,OPC
Sensory perception of taste (Reactome),0.32066793320667936,0.9724420228134255,0.020999590625255547,0.6673267326732673,1.0453948807617979,8,Guanosine-5'-Monophosphate;L-Aspartic Acid;L-Glutamic Acid;Citric Acid,OPC
Gluconeogenesis (Reactome),0.32566743325667435,0.9724420228134255,0.02076093549004285,0.6653465346534653,1.0422928188010805,8,"D-Fructose-1,6-Bisphosphate;L-Glutamic Acid;Pyruvic Acid",OPC
Glycogen metabolism (Reactome),0.3347665233476652,0.9724420228134255,0.020338182891109485,0.6899123020104635,1.0567097338041893,6,Uridine 5'-Diphosphate;Uridine Monophosphate;Uridine 5'-Triphosphate Sodium Salt;D-Glucose,OPC
Glyoxylate metabolism and glycine degradation (Reactome),0.3531646835316468,0.9724420228134255,0.019525521854286004,0.6590876036513507,1.0324879449539908,8,Glycolic Acid;Sarcosine;L-Aspartic Acid;L-Hydroxyproline;Dl-Alanine;Pyruvic Acid,OPC
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",0.3554644535546445,0.9724420228134255,0.019427618696864477,0.6679841897233201,1.0335543450027427,7,Guanosine-5'-Monophosphate;L-Aspartic Acid;L-Glutamic Acid;D-Glucose,OPC
Orexin receptor pathway (WikiPathways),0.3675632436756324,0.9724420228134255,0.01892499316113968,0.6640316205533596,1.0274386388192944,7,L-Glutamic Acid;D-(+)-Glucose,OPC
Creatine metabolism (Reactome),0.38906109389061094,0.9724420228134255,0.018079298501484344,0.6475247524752475,1.0143742611546231,8,Creatine;Creatinine;L-Ornithine;Phosphocreatine,OPC
Urea cycle (Reactome),0.39476052394760525,0.9724420228134255,0.017864379978427235,0.6686390532544378,1.024126391016095,6,L-Aspartic Acid;L-Ornithine;L-Glutamic Acid;L(+)-Ornithine,OPC
Citric acid cycle (TCA cycle) (Reactome),0.39676032396760325,0.9724420228134255,0.017789833156009044,0.6561264822134387,1.0152072264523981,7,Succinic Acid;Citric Acid,OPC
Organic anion transporters (Reactome),0.40735926407359263,0.9724420228134255,0.017401924634275485,0.6646942800788955,1.0180843474112804,6,L-Glutamic Acid;Pyruvic Acid,OPC
Purine salvage (Reactome),0.4163583641635836,0.9724420228134255,0.01708162731957526,0.6309523809523809,1.0000885526253795,9,Guanosine-5'-Monophosphate;Guanine;Adenine;2'-Deoxyadenosine,OPC
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",0.41845815418458154,0.9724420228134255,0.01700803312616366,0.5755102040816327,0.9963168277789101,23,"L-Serine;Putrescine;Sarcosine;Hypotaurine;Ophthalmate;Acetylcholine;L-Ornithine;Phosphoserine;L-Pyroglutamic Acid;L-Glutathione Oxidized;Cytidine 2'_3'-Cyclic Phosphate;Cytidine 2',3'-Cyclic Monophosphoric Acid;D,L-Serine;2-Oxobutanoic Acid",OPC
tRNA modification in the nucleus and cytosol (Reactome),0.42125787421257876,0.9724420228134255,0.016910559799289432,0.6607495069033531,1.0120423038064656,6,Guanine;5'-S-Methyl-5'-Thioadenosine;Succinic Acid;Pyruvic Acid,OPC
