pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
"Cerebral organic acidurias, including diseases (WikiPathways)",5,5,Inf,0.014457030995683916,N-Acetyl-L-Aspartic Acid;2-Oxoadipic Acid;L-2-Aminoadipic Acid;Tryptophan;L-Aspartic Acid,0.5231493868550474,WikiPathways
Tryptophan catabolism (Reactome),8,10,5.429875548226582,0.01945226256936657,Pyruvic Acid;Dl-Alanine;L-Glutamic Acid;Leucine;L-Histidine;Tryptophan;L-(-)-Methionine;L-Kynurenine,0.5231493868550474,Reactome
Purine metabolism and related disorders (WikiPathways),14,21,2.748200690106084,0.02291080041402315,Xanthine;D-Ribose 5-Phosphate;5'-Xanthylic Acid;L-Glutamic Acid;Guanine;2'-Deoxyadenosine;Inosine;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);L-Aspartic Acid;Xanthosine;L-(-)-Methionine;Uric Acid;Guanosine-5'-Monophosphate,0.5231493868550474,WikiPathways
Purine catabolism (Reactome),9,12,4.078904456350168,0.024759394045127125,Xanthine;D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;2'-Deoxyadenosine;Inosine;Adenosine 5'-Diphosphate;Uric Acid;Guanosine-5'-Monophosphate,0.5231493868550474,Reactome
Nucleotide catabolism (Reactome),16,25,2.449887720570893,0.025531108109288603,Pyruvic Acid;Dl-Alanine;Xanthine;D-Ribose 5-Phosphate;Cytidine;5'-Xanthylic Acid;Guanine;2'-Deoxyadenosine;Inosine;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Uric Acid;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.5231493868550474,Reactome
Cell recruitment (pro-inflammatory response) (Reactome),6,7,8.092228379133006,0.027389078616526133,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Uridine Monophosphate;Guanosine-5'-Monophosphate,0.5231493868550474,Reactome
Lactate shuttle in glial cells (WikiPathways),6,7,8.092228379133006,0.027389078616526133,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate;Adenosine 5'-Diphosphate;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate,0.5231493868550474,WikiPathways
Lysine catabolism (Reactome),6,7,8.092228379133006,0.027389078616526133,L-Lysine;2-Oxoadipic Acid;L-Glutamic Acid;L-2-Aminoadipic Acid;L-Saccharopine;Guanosine 5'-Diphosphate (Gdp),0.5231493868550474,Reactome
Metabolic reprogramming in pancreatic cancer (WikiPathways),6,7,8.092228379133006,0.027389078616526133,"Pyruvic Acid;Dl-Lactic Acid;D-Ribose 5-Phosphate;Udp-N-Acetylglucosamine;D-Fructose 1,6-Bisphosphate;N-Acetyl-D-Glucosamine 6-Phosphate",0.5231493868550474,WikiPathways
Purinergic signaling in leishmaniasis infection (Reactome),6,7,8.092228379133006,0.027389078616526133,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Uridine Monophosphate;Guanosine-5'-Monophosphate,0.5231493868550474,Reactome
Amino Sugar Metabolism (KEGG),11,16,3.000291373946694,0.032527423016894146,Pyruvic Acid;D-Glucose;D-Glucose 6-Phosphate;Udp-N-Acetylglucosamine;Cytidine-5'-Monophospho-N-Acetylneuraminic Acid;L-Glutamic Acid;N-Acetyl-D-Glucosamine 6-Phosphate;Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate,0.5231493868550474,KEGG
Purine metabolism (WikiPathways),11,16,3.000291373946694,0.032527423016894146,Xanthine;D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;2'-Deoxyadenosine;Inosine;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);Xanthosine;Uric Acid;Guanosine-5'-Monophosphate,0.5231493868550474,WikiPathways
Cori cycle (WikiPathways),7,9,4.729582424070965,0.037408012951819315,Pyruvic Acid;Dl-Alanine;Dl-Lactic Acid;Dihydroxyacetone Phosphate;D-Glucose;D-Glucose 6-Phosphate;Adenosine 5'-Diphosphate,0.55536511536162525,WikiPathways
Glycogen metabolism (Reactome),5,6,6.713339627986659,0.056006765747059,D-Glucose;Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate;Glucose 1-Phosphate;Uridine Monophosphate,0.6959928338657617,Reactome
