pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,cell_type,pathway_short
Nitrogen metabolism (KEGG),3,12,6.571295436819489,0.020844858163899065,L-Histidine;Adenosine 5'-Diphosphate;Biotin,0.47079012450989716,KEGG,Astrocyte-Immature,Nitrogen metabolism
Purine catabolism (Reactome),3,12,6.571295436819489,0.020844858163899065,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Uric Acid,0.47079012450989716,Reactome,Astrocyte-Immature,Purine catabolism
Carnosine metabolism of glial cells (WikiPathways),2,5,12.699975311972462,0.024202997623630467,L-Histidine;Adenosine 5'-Diphosphate,0.47079012450989716,WikiPathways,Astrocyte-Immature,Carnosine metabolism of glial cells
Serine biosynthesis (Reactome),2,5,20.05242261681988,0.010936630939885712,Pyruvic Acid;L-Glutamic Acid,0.23423600519087703,Reactome,EN-IT-Immature,Serine biosynthesis
Acetylcholine synthesis (WikiPathways),2,6,15.070504986555317,0.016063777167073343,Pyruvic Acid;Dl-Dipalmitoylphosphatidylcholine,0.23423600519087703,WikiPathways,EN-IT-Immature,Acetylcholine synthesis
Arachidonic Acid Metabolism (KEGG),2,6,15.070504986555317,0.016063777167073343,L-Glutamic Acid;Dl-Dipalmitoylphosphatidylcholine,0.23423600519087703,KEGG,EN-IT-Immature,Arachidonic Acid Metabolism
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),2,6,9.531672541328563,0.035130419739600134,Dl-Lactic Acid;D-Glucose,0.5543096781514499,WikiPathways,EN-L6b,Warburg effect modulated by deubiquit...
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),2,7,7.625346994659378,0.04759673325415009,L-Ornithine;D-Glucose,0.5543096781514499,Reactome,EN-L6b,Class C/3 (Metabotropic glutamate/phe...
T cell modulation in pancreatic cancer (WikiPathways),2,7,7.625346994659378,0.04759673325415009,L-Ornithine;Dl-Arginine,0.5543096781514499,WikiPathways,EN-L6b,T cell modulation in pancreatic cancer
"Cerebral organic acidurias, including diseases (WikiPathways)",2,5,10.499947458608398,0.03351977715850185,N-Acetyl-L-Aspartic Acid;Tryptophan,0.6308975567450662,WikiPathways,EN-Newborn,"Cerebral organic acidurias, including..."
16p11.2 proximal deletion syndrome (WikiPathways),2,10,10.09417054328167,0.02749044409779964,Dihydroxyacetone Phosphate;D-Sphingosine,0.34686305512224913,WikiPathways,EN-Non-IT-Immature,16p11.2 proximal deletion syndrome
KEGG:map01120 (KEGG),3,7,9.413900355301235,0.012368801538755265,Isobutyric Acid;2-Furoic Acid;Mesaconic Acid,0.6649434801837838,KEGG,IN-CGE-Immature,KEGG:map01120
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),3,9,6.266304810727642,0.026575933931054757,Cytidine;Pseudouridine;Inosine,0.6649434801837838,WikiPathways,IN-CGE-Immature,Modified nucleosides derived from tRN...
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",3,11,4.687167094201249,0.046763768238581464,Dl-Alanine;2-Oxobutanoic Acid;Sarcosine,0.6779012715389982,Reactome,IN-MGE-Immature,"Metabolism of ingested SeMet, Sec, Me..."
Lysine catabolism (Reactome),4,7,18.227364129620724,7.683297738121269e-4,L-Lysine;2-Oxoadipic Acid;L-Saccharopine;Guanosine 5'-Diphosphate (Gdp),0.09988287059557649,Reactome,IN-MGE-SST,Lysine catabolism
Glucose homeostasis (WikiPathways),5,14,7.778458522788869,0.002097477170278763,Pyruvic Acid;L-Ornithine;L-Lysine;D-Glucose;L-(-)-Methionine,0.13633601606811957,WikiPathways,IN-MGE-SST,Glucose homeostasis
Disorders of fructose metabolism (WikiPathways),3,6,13.316262591142536,0.006438878041564557,Pyruvic Acid;D-Glucose 6-Phosphate;Glucose 1-Phosphate,0.14069485511461,WikiPathways,IN-MGE-SST,Disorders of fructose metabolism
Cell recruitment (pro-inflammatory response) (Reactome),4,7,9.13512156641231,0.007278772832400733,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.35599933085418617,Reactome,OPC,Cell recruitment (pro-inflammatory re...
Purinergic signaling in leishmaniasis infection (Reactome),4,7,9.13512156641231,0.007278772832400733,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.35599933085418617,Reactome,OPC,Purinergic signaling in leishmaniasis...
Nucleotide catabolism (Reactome),8,25,3.3455598229210124,0.010632220571067713,D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uric Acid;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.35599933085418617,Reactome,OPC,Nucleotide catabolism
