pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Nitrogen metabolism (KEGG),3,12,6.571295436819489,0.020844858163899065,L-Histidine;Adenosine 5'-Diphosphate;Biotin,0.47079012450989716,KEGG
Purine catabolism (Reactome),3,12,6.571295436819489,0.020844858163899065,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Uric Acid,0.47079012450989716,Reactome
Carnosine metabolism of glial cells (WikiPathways),2,5,12.699975311972462,0.024202997623630467,L-Histidine;Adenosine 5'-Diphosphate,0.47079012450989716,WikiPathways
Synthesis of UDP-N-acetyl-glucosamine (Reactome),2,5,12.699975311972462,0.024202997623630467,N-Acetyl-D-Glucosamine 6-Phosphate;Adenosine 5'-Diphosphate,0.47079012450989716,Reactome
"Alanine, aspartate and glutamate metabolism (KEGG)",4,23,4.253127660873602,0.02708031432738531,N-Acetyl-L-Aspartic Acid;N-Acetyl-D-Glucosamine 6-Phosphate;Adenosine 5'-Diphosphate;Biotin,0.47079012450989716,KEGG
Nucleotide salvage (Reactome),3,15,4.907799247917677,0.03874988016629185,Pseudouridine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate,0.47079012450989716,Reactome
Amino Sugar Metabolism (KEGG),3,16,4.523063525249985,0.04603071797710292,Cytidine-5'-Monophospho-N-Acetylneuraminic Acid;N-Acetyl-D-Glucosamine 6-Phosphate;Adenosine 5'-Diphosphate,0.47079012450989716,KEGG
Purine metabolism (WikiPathways),3,16,4.523063525249985,0.04603071797710292,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Uric Acid,0.47079012450989716,WikiPathways
Metabolic reprogramming in pancreatic cancer (WikiPathways),2,7,7.625346994659378,0.04759673325415009,"D-Fructose 1,6-Bisphosphate;N-Acetyl-D-Glucosamine 6-Phosphate",0.47079012450989716,WikiPathways
Pyrimidine salvage (Reactome),2,7,7.625346994659378,0.04759673325415009,Pseudouridine;Adenosine 5'-Diphosphate,0.47079012450989716,Reactome
Histidine catabolism (Reactome),2,8,6.349125730840097,0.06142218701024023,L-Histidine;Adenosine 5'-Diphosphate,0.47079012450989716,Reactome
"Transport of vitamins, nucleosides, and related molecules (Reactome)",3,19,3.6557332588878526,0.07163309451748172,2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Biotin,0.47079012450989716,Reactome
Citric Acid Cycle (KEGG),2,9,5.437021042939645,0.07644050169860986,Adenosine 5'-Diphosphate;Biotin,0.47079012450989716,KEGG
Propanoate metabolism (KEGG),2,9,5.437021042939645,0.07644050169860986,Adenosine 5'-Diphosphate;Biotin,0.47079012450989716,KEGG
Purine salvage (Reactome),2,9,5.437021042939645,0.07644050169860986,2'-Deoxyadenosine;Adenosine 5'-Diphosphate,0.47079012450989716,Reactome
Pyruvate metabolism (KEGG),2,9,5.437021042939645,0.07644050169860986,Adenosine 5'-Diphosphate;Biotin,0.47079012450989716,KEGG
