pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Metabolism overview (WikiPathways),2,18,3.499785380433708,0.1397242600960027,L-Aspartic Acid;Glucose 1-Phosphate,0.48635954259851133,WikiPathways
"Cerebral organic acidurias, including diseases (WikiPathways)",1,5,6.743993959376693,0.17259077535362977,L-Aspartic Acid,0.48635954259851133,WikiPathways
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases (WikiPathways)",1,5,6.743993959376693,0.17259077535362977,Dl-Pyroglutamic Acid,0.48635954259851133,WikiPathways
Glycogen synthesis and degradation (WikiPathways),1,5,6.743993959376693,0.17259077535362977,Glucose 1-Phosphate,0.48635954259851133,WikiPathways
Pyrimidine biosynthesis (Reactome),1,5,6.743993959376693,0.17259077535362977,L-Aspartic Acid,0.48635954259851133,Reactome
Disorders of fructose metabolism (WikiPathways),1,6,5.394188737421201,0.20353718336205695,Glucose 1-Phosphate,0.48635954259851133,WikiPathways
Glycogen metabolism (Reactome),1,6,5.394188737421201,0.20353718336205695,Glucose 1-Phosphate,0.48635954259851133,Reactome
Urea cycle (Reactome),1,6,5.394188737421201,0.20353718336205695,L-Aspartic Acid,0.48635954259851133,Reactome
Urea cycle and related diseases (WikiPathways),1,6,5.394188737421201,0.20353718336205695,L-Aspartic Acid,0.48635954259851133,WikiPathways
Lactate shuttle in glial cells (WikiPathways),1,7,4.491933486859219,0.23338490232876474,Glucose 1-Phosphate,0.48635954259851133,WikiPathways
Phenylalanine and tyrosine metabolism (Reactome),1,7,4.491933486859219,0.23338490232876474,L-Aspartic Acid,0.48635954259851133,Reactome
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",1,7,4.491933486859219,0.23338490232876474,L-Aspartic Acid,0.48635954259851133,Reactome
Tyrosine metabolism (KEGG),1,7,4.491933486859219,0.23338490232876474,L-Aspartic Acid,0.48635954259851133,KEGG
Glyoxylate metabolism and glycine degradation (Reactome),1,8,3.8463826356921436,0.2621708447314398,L-Aspartic Acid,0.48635954259851133,Reactome
Sensory perception of taste (Reactome),1,8,3.8463826356921436,0.2621708447314398,L-Aspartic Acid,0.48635954259851133,Reactome
Thiamine metabolic pathways (WikiPathways),1,8,3.8463826356921436,0.2621708447314398,Glucose 1-Phosphate,0.48635954259851133,WikiPathways
Aspartate and asparagine metabolism (Reactome),1,9,3.3610415653101233,0.2899307535435237,L-Aspartic Acid,0.48635954259851133,Reactome
Glucuronidation (WikiPathways),1,9,3.3610415653101233,0.2899307535435237,Glucose 1-Phosphate,0.48635954259851133,WikiPathways
Glycolysis and gluconeogenesis (WikiPathways),1,9,3.3610415653101233,0.2899307535435237,L-Aspartic Acid,0.48635954259851133,WikiPathways
Metabolic disorders of biological oxidation enzymes (Reactome),1,9,3.3610415653101233,0.2899307535435237,Vitamin D3,0.48635954259851133,Reactome
beta-Alanine metabolism (KEGG),1,9,3.3610415653101233,0.2899307535435237,L-Aspartic Acid,0.48635954259851133,KEGG
