pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
"Cerebral organic acidurias, including diseases (WikiPathways)",2,5,10.499947458608398,0.03351977715850185,N-Acetyl-L-Aspartic Acid;Tryptophan,0.6308975567450662,WikiPathways
Biogenic amine synthesis (WikiPathways),2,7,6.29832278236175,0.06505863471865048,Γ-Aminobutyric Acid;Tryptophan,0.6308975567450662,WikiPathways
Metabolic reprogramming in pancreatic cancer (WikiPathways),2,7,6.29832278236175,0.06505863471865048,Udp-N-Acetylglucosamine;N-Acetyl-D-Glucosamine 6-Phosphate,0.6308975567450662,WikiPathways
Amino Sugar Metabolism (KEGG),3,16,3.707663900454626,0.07085388777969681,Udp-N-Acetylglucosamine;N-Acetyl-D-Glucosamine 6-Phosphate;Udp-Β-D-Glucose (Sodium Salt),0.6308975567450662,KEGG
Na+/Cl- dependent neurotransmitter transporters (Reactome),3,19,2.9964670860639133,0.10792748783473699,Γ-Aminobutyric Acid;Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
Defective SLC6A19 causes Hartnup disorder (HND) (Reactome),2,10,3.9234649240178316,0.12402231789627044,Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
Tryptophan catabolism (Reactome),2,10,3.9234649240178316,0.12402231789627044,Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
Amino acid transport across the plasma membrane (Reactome),3,21,2.6533756342719252,0.1361311484266431,Γ-Aminobutyric Acid;Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
"Alanine, aspartate and glutamate metabolism (KEGG)",3,23,2.3788021563174993,0.16664757239987368,Γ-Aminobutyric Acid;N-Acetyl-L-Aspartic Acid;N-Acetyl-D-Glucosamine 6-Phosphate,0.6308975567450662,KEGG
Variant SLC6A14 may confer susceptibility towards obesity (Reactome),2,12,3.1287726636511914,0.16839530197720765,Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
Cytosolic tRNA aminoacylation (Reactome),2,16,2.2189686974803315,0.2629554589018277,Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
Mitochondrial tRNA aminoacylation (Reactome),2,16,2.2189686974803315,0.2629554589018277,Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
tRNA Aminoacylation (Reactome),2,16,2.2189686974803315,0.2629554589018277,Tryptophan;L-(-)-Methionine,0.6308975567450662,Reactome
Ethanol effects on histone modifications (WikiPathways),1,5,3.828541785906516,0.2762777609177479,L-(-)-Methionine,0.6308975567450662,WikiPathways
Glycogen synthesis and degradation (WikiPathways),1,5,3.828541785906516,0.2762777609177479,Udp-Β-D-Glucose (Sodium Salt),0.6308975567450662,WikiPathways
MTHFR deficiency (WikiPathways),1,5,3.828541785906516,0.2762777609177479,L-(-)-Methionine,0.6308975567450662,WikiPathways
Maternal to zygotic transition (MZT) (Reactome),1,5,3.828541785906516,0.2762777609177479,5-Methylcytosine,0.6308975567450662,Reactome
