pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Cell recruitment (pro-inflammatory response) (Reactome),5,7,19.851358692676072,3.549077640115062e-4,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.02519845124481694,Reactome
Purinergic signaling in leishmaniasis infection (Reactome),5,7,19.851358692676072,3.549077640115062e-4,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.02519845124481694,Reactome
Purine catabolism (Reactome),6,12,8.047853857237378,0.0011629654729841275,D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanosine-5'-Monophosphate,0.04152269585796647,Reactome
Nucleotide catabolism (Reactome),9,25,4.693581415476005,0.0011696534044497596,D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;2'-Deoxyadenosine;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.04152269585796647,Reactome
Phosphate bond hydrolysis by NTPDase proteins (Reactome),5,10,7.922644689482737,0.003193542315930079,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.09013725427794038,Reactome
"Transport of vitamins, nucleosides, and related molecules (Reactome)",7,19,4.7297764269712745,0.0038086163779411427,Guanine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Biotin;Uridine Monophosphate;Guanosine-5'-Monophosphate;Linoleic Acid,0.09013725427794038,Reactome
Purine metabolism (WikiPathways),6,16,4.797753162434733,0.006834678277728695,D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanosine-5'-Monophosphate,0.1386463307767821,WikiPathways
Interconversion of nucleotide di- and triphosphates (Reactome),5,12,5.643238504350744,0.008290566230074169,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.1471575505838165,Reactome
Purine salvage (Reactome),4,9,6.233864522271753,0.014456454984081194,Guanine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanosine-5'-Monophosphate,0.22809073419328108,Reactome
Nucleotide salvage (Reactome),5,15,3.930460527493746,0.023630639913619685,Guanine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.3183257390466688,Reactome
Glycogen metabolism (Reactome),3,6,7.684993939923848,0.0246590361233335,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate;Uridine Monophosphate,0.3183257390466688,Reactome
Purine metabolism and related disorders (WikiPathways),6,21,3.167692297875043,0.028565483399611295,D-Ribose 5-Phosphate;5'-Xanthylic Acid;Guanine;2'-Deoxyadenosine;Adenosine 5'-Diphosphate;Guanosine-5'-Monophosphate,0.33802488689540033,WikiPathways
Nucleotide biosynthesis (Reactome),4,11,4.440397380297936,0.031476109628503036,5'-Xanthylic Acid;Adenosine 5'-Diphosphate;Uridine Monophosphate;Guanosine-5'-Monophosphate,0.34381596671134085,Reactome
Histidine catabolism (Reactome),3,8,4.601757412822468,0.057954600461078545,L-Histidine;Anserine;Adenosine 5'-Diphosphate,0.5377915962845631,Reactome
Biomarkers for pyrimidine metabolism disorders (WikiPathways),4,14,3.0918304811494,0.07254519485323213,Creatine;Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine Monophosphate,0.5377915962845631,WikiPathways
Synthesis of substrates in N-glycan biosythesis (Reactome),4,15,2.8053882366623393,0.09033230574036383,Uridine 5'-Diphosphate;Cytidine 5'-Diphosphate;Adenosine 5'-Diphosphate;Uridine Monophosphate,0.5377915962845631,Reactome
Histidine metabolism (KEGG),3,10,3.2766569537751753,0.10444879167246102,L-Histidine;Anserine;Adenosine 5'-Diphosphate,0.5377915962845631,KEGG
Purine ribonucleoside monophosphate biosynthesis (Reactome),3,10,3.2766569537751753,0.10444879167246102,5'-Xanthylic Acid;Adenosine 5'-Diphosphate;Guanosine-5'-Monophosphate,0.5377915962845631,Reactome
Abacavir ADME (Reactome),2,5,5.04658417521785,0.10983067811445303,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.5377915962845631,Reactome
Abacavir metabolism (Reactome),2,5,5.04658417521785,0.10983067811445303,Uridine 5'-Diphosphate;Adenosine 5'-Diphosphate,0.5377915962845631,Reactome
Carnosine metabolism of glial cells (WikiPathways),2,5,5.04658417521785,0.10983067811445303,L-Histidine;Adenosine 5'-Diphosphate,0.5377915962845631,WikiPathways
Deadenylation-dependent mRNA decay (Reactome),2,5,5.04658417521785,0.10983067811445303,Uridine Monophosphate;Guanosine-5'-Monophosphate,0.5377915962845631,Reactome
Mitochondrial biogenesis (Reactome),2,5,5.04658417521785,0.10983067811445303,Adenosine 5'-Diphosphate;Linoleic Acid,0.5377915962845631,Reactome
Nucleotide salvage defects (Reactome),2,5,5.04658417521785,0.10983067811445303,Guanine;2'-Deoxyadenosine,0.5377915962845631,Reactome
