pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
"Cerebral organic acidurias, including diseases (WikiPathways)",5,5,Inf,0.0028255452063565742,N-Acetyl-L-Aspartic Acid;2-Oxoadipic Acid;L-2-Aminoadipic Acid;Tryptophan;L-Aspartic Acid,0.41065718110602223,WikiPathways
Lysine catabolism (Reactome),6,7,13.647503687999611,0.004463665012021981,L-Lysine;2-Oxoadipic Acid;L-Glutamic Acid;L-2-Aminoadipic Acid;L-Saccharopine;Guanosine 5'-Diphosphate (Gdp),0.41065718110602223,Reactome
Glyoxylate metabolism and glycine degradation (Reactome),6,8,6.809500434509554,0.013232631964335067,Glycolic Acid;Pyruvic Acid;Dl-Alanine;Sarcosine;L-Hydroxyproline;L-Aspartic Acid,0.7113450931763676,Reactome
Metabolism overview (WikiPathways),10,18,2.8683481394075416,0.025350524165506746,Pyruvic Acid;L-Ornithine;Dihydroxyacetone Phosphate;Citric Acid;D-Glucose;L-Glutamic Acid;Udp-Β-D-Glucose (Sodium Salt);L-Aspartic Acid;Glucose 1-Phosphate;Palmitic Acid,0.7113450931763676,WikiPathways
Cori cycle (WikiPathways),6,9,4.530445842165986,0.029485608335354973,Pyruvic Acid;Dl-Alanine;Dl-Lactic Acid;Dihydroxyacetone Phosphate;D-Glucose;D-Glucose 6-Phosphate,0.7113450931763676,WikiPathways
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),5,7,5.639801618954452,0.03309009906279891,Γ-Aminobutyric Acid;L-Ornithine;L-Lysine;D-Glucose;L-Glutamic Acid,0.7113450931763676,Reactome
Lactate shuttle in glial cells (WikiPathways),5,7,5.639801618954452,0.03309009906279891,Pyruvic Acid;Dl-Lactic Acid;D-Glucose 6-Phosphate;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate,0.7113450931763676,WikiPathways
Lysine degradation (KEGG),5,7,5.639801618954452,0.03309009906279891,L-Lysine;2-Oxoadipic Acid;L-Glutamic Acid;L-2-Aminoadipic Acid;L-Saccharopine,0.7113450931763676,KEGG
Vitamin B6-dependent and responsive disorders (WikiPathways),4,5,8.984876829827005,0.0347940534705832,L-Lysine;L-Glutamic Acid;L-2-Aminoadipic Acid;L-Saccharopine,0.7113450931763676,WikiPathways
Glucose metabolism (Reactome),6,10,3.3901084443787295,0.05488088391507351,Pyruvic Acid;Dihydroxyacetone Phosphate;Citric Acid;D-Glucose;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),0.7665926342871588,Reactome
Glutamate and glutamine metabolism (Reactome),6,10,3.3901084443787295,0.05488088391507351,Pyruvic Acid;Dl-Alanine;L-Ornithine;N-Acetyl-L-Aspartic Acid;L-Glutamic Acid;L-Aspartic Acid,0.7665926342871588,Reactome
Tryptophan catabolism (Reactome),6,10,3.3901084443787295,0.05488088391507351,Pyruvic Acid;Dl-Alanine;L-Glutamic Acid;Leucine;Tryptophan;L-(-)-Methionine,0.7665926342871588,Reactome
Gluconeogenesis (Reactome),5,8,3.7524026547814193,0.06618587756023858,Pyruvic Acid;Dihydroxyacetone Phosphate;D-Glucose;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp),0.7665926342871588,Reactome
Sensory perception of taste (Reactome),5,8,3.7524026547814193,0.06618587756023858,Citric Acid;D-Glucose;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp);L-Aspartic Acid,0.7665926342871588,Reactome
Disorders of fructose metabolism (WikiPathways),4,6,4.485281956781599,0.0790968680729761,Pyruvic Acid;Dihydroxyacetone Phosphate;D-Glucose 6-Phosphate;Glucose 1-Phosphate,0.7665926342871588,WikiPathways
Warburg effect modulated by deubiquitinating enzymes and their substrates (WikiPathways),4,6,4.485281956781599,0.0790968680729761,Pyruvic Acid;Dl-Lactic Acid;D-Glucose;D-Glucose 6-Phosphate,0.7665926342871588,WikiPathways
Amino acid transport across the plasma membrane (Reactome),10,21,2.0695384653300857,0.08090426847933498,Dl-Alanine;Γ-Aminobutyric Acid;L-Ornithine;L-Lysine;L-Glutamic Acid;L-Hydroxyproline;Leucine;Asparagine;Tryptophan;L-(-)-Methionine,0.7665926342871588,Reactome
Amino Sugar Metabolism (KEGG),8,16,2.265743909094354,0.08749155065233877,Pyruvic Acid;D-Glucose;D-Glucose 6-Phosphate;Udp-N-Acetylglucosamine;L-Glutamic Acid;N-Acetyl-D-Glucosamine 6-Phosphate;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate,0.7665926342871588,KEGG
Cytosolic tRNA aminoacylation (Reactome),8,16,2.265743909094354,0.08749155065233877,Dl-Alanine;L-Lysine;L-Glutamic Acid;Leucine;Asparagine;Tryptophan;L-Aspartic Acid;L-(-)-Methionine,0.7665926342871588,Reactome
Mitochondrial tRNA aminoacylation (Reactome),8,16,2.265743909094354,0.08749155065233877,Dl-Alanine;L-Lysine;L-Glutamic Acid;Leucine;Asparagine;Tryptophan;L-Aspartic Acid;L-(-)-Methionine,0.7665926342871588,Reactome
tRNA Aminoacylation (Reactome),8,16,2.265743909094354,0.08749155065233877,Dl-Alanine;L-Lysine;L-Glutamic Acid;Leucine;Asparagine;Tryptophan;L-Aspartic Acid;L-(-)-Methionine,0.7665926342871588,Reactome
Glycolysis and gluconeogenesis (WikiPathways),5,9,2.8081547241412075,0.11206121409134319,Pyruvic Acid;Dihydroxyacetone Phosphate;D-Glucose;D-Glucose 6-Phosphate;L-Aspartic Acid,0.9372392451275976,WikiPathways
Amino acid metabolism pathway excerpt: histidine catabolism extension (WikiPathways),4,7,2.9842829038790066,0.14043922675321222,Pyruvic Acid;Dl-Alanine;Citric Acid;L-Glutamic Acid,0.9570673230589277,WikiPathways
Glycolysis (Reactome),4,7,2.9842829038790066,0.14043922675321222,Pyruvic Acid;Dihydroxyacetone Phosphate;Citric Acid;D-Glucose,0.9570673230589277,Reactome
Metabolic reprogramming in pancreatic cancer (WikiPathways),4,7,2.9842829038790066,0.14043922675321222,Pyruvic Acid;Dl-Lactic Acid;Udp-N-Acetylglucosamine;N-Acetyl-D-Glucosamine 6-Phosphate,0.9570673230589277,WikiPathways
Phenylalanine and tyrosine metabolism (Reactome),4,7,2.9842829038790066,0.14043922675321222,Pyruvic Acid;Dl-Alanine;L-Glutamic Acid;L-Aspartic Acid,0.9570673230589277,Reactome
"Sensory perception of sweet, bitter, and umami (glutamate) taste (Reactome)",4,7,2.9842829038790066,0.14043922675321222,D-Glucose;L-Glutamic Acid;Guanosine 5'-Diphosphate (Gdp);L-Aspartic Acid,0.9570673230589277,Reactome
Alanine and aspartate metabolism (WikiPathways),5,10,2.2412717032026097,0.16924154426761268,Pyruvic Acid;Dl-Alanine;Citric Acid;Asparagine;L-Aspartic Acid,0.9844128699427507,WikiPathways
Urea cycle and metabolism of amino groups (WikiPathways),5,10,2.2412717032026097,0.16924154426761268,L-Ornithine;Sarcosine;Creatinine;L-Glutamic Acid;L-Aspartic Acid,0.9844128699427507,WikiPathways
Glycogen synthesis and degradation (WikiPathways),3,5,3.344909253619792,0.17814328798023632,D-Glucose;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate,0.9844128699427507,WikiPathways
Metabolic pathways of fibroblasts (WikiPathways),6,13,1.9231772751569292,0.18808683365682896,Pyruvic Acid;D-Glucose;D-Glucose 6-Phosphate;L-Glutamic Acid;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate,0.9844128699427507,WikiPathways
Na+/Cl- dependent neurotransmitter transporters (Reactome),8,19,1.6346815134854762,0.21049661168162057,Dl-Alanine;Γ-Aminobutyric Acid;L-Lysine;L-Hydroxyproline;Leucine;Asparagine;Tryptophan;L-(-)-Methionine,0.9844128699427507,Reactome
Glyoxylate metabolism (WikiPathways),4,8,2.2333233954122096,0.21469257594618582,Glycolic Acid;Pyruvic Acid;Dl-Alanine;L-Hydroxyproline,0.9844128699427507,WikiPathways
Thiamine metabolic pathways (WikiPathways),4,8,2.2333233954122096,0.21469257594618582,Pyruvic Acid;Dihydroxyacetone Phosphate;D-Glucose 6-Phosphate;Glucose 1-Phosphate,0.9844128699427507,WikiPathways
"Alanine, aspartate and glutamate metabolism (KEGG)",9,23,1.4421638066384197,0.2654991788145886,Pyruvic Acid;Dl-Alanine;Γ-Aminobutyric Acid;N-Acetyl-L-Aspartic Acid;L-Glutamic Acid;Asparagine;N-Acetyl-D-Glucosamine 6-Phosphate;Guanosine 5'-Diphosphate (Gdp);L-Aspartic Acid,0.9844128699427507,KEGG
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),3,6,2.2254763031304416,0.2771897078874967,Pyruvic Acid;Dihydroxyacetone Phosphate;D-Glucose,0.9844128699427507,WikiPathways
Hereditary leiomyomatosis and renal cell carcinoma pathway (WikiPathways),3,6,2.2254763031304416,0.2771897078874967,Pyruvic Acid;Dl-Lactic Acid;Citric Acid,0.9844128699427507,WikiPathways
NAD biosynthesis II from tryptophan (WikiPathways),3,6,2.2254763031304416,0.2771897078874967,Dl-Alanine;L-Glutamic Acid;Tryptophan,0.9844128699427507,WikiPathways
Organic anion transporters (Reactome),3,6,2.2254763031304416,0.2771897078874967,Pyruvic Acid;Citric Acid;L-Glutamic Acid,0.9844128699427507,Reactome
Regulation of insulin secretion (Reactome),3,6,2.2254763031304416,0.2771897078874967,D-Glucose;Guanosine 5'-Diphosphate (Gdp);Palmitic Acid,0.9844128699427507,Reactome
Tryptophan metabolism (KEGG),3,6,2.2254763031304416,0.2771897078874967,Dl-Alanine;L-Glutamic Acid;Tryptophan,0.9844128699427507,KEGG
Urea cycle (Reactome),3,6,2.2254763031304416,0.2771897078874967,L-Ornithine;L-Glutamic Acid;L-Aspartic Acid,0.9844128699427507,Reactome
Urea cycle and related diseases (WikiPathways),3,6,2.2254763031304416,0.2771897078874967,L-Ornithine;L-Glutamic Acid;L-Aspartic Acid,0.9844128699427507,WikiPathways
Aspartate and asparagine metabolism (Reactome),4,9,1.782341789830133,0.2967976654300603,N-Acetyl-L-Aspartic Acid;L-Glutamic Acid;Asparagine;L-Aspartic Acid,0.9844128699427507,Reactome
Glucuronidation (WikiPathways),4,9,1.782341789830133,0.2967976654300603,D-Glucose;D-Glucose 6-Phosphate;Udp-Β-D-Glucose (Sodium Salt);Glucose 1-Phosphate,0.9844128699427507,WikiPathways
Krebs cycle disorders (WikiPathways),4,9,1.782341789830133,0.2967976654300603,Pyruvic Acid;Dl-Alanine;Dl-Lactic Acid;Guanosine 5'-Diphosphate (Gdp),0.9844128699427507,WikiPathways
Modified nucleosides derived from tRNA as urinary cancer markers (WikiPathways),4,9,1.782341789830133,0.2967976654300603,Cytidine;Pseudouridine;Inosine;1-Methyladenosine,0.9844128699427507,WikiPathways
beta-Alanine metabolism (KEGG),4,9,1.782341789830133,0.2967976654300603,L-Glutamic Acid;1-Methylhistidine;L-Aspartic Acid;D-Pantothenic Acid,0.9844128699427507,KEGG
