label,Name,Compound.ID,Super.Class,Class
3-Hydroxybutyric Acid,3-Hydroxybutyric Acid,Amide-Neg-000118,Organic acids and derivatives,Hydroxy acids and derivatives
Dgdg(18:0_11:1),Dgdg(18:0_11:1),C8-Neg-003439,Lipids and lipid-like molecules,Glycerolipids
Pe(O-26:3_7:0),Pe(O-26:3_7:0),C8-Pos-003685,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Arginine,Dl-Arginine,Amide-Neg-000697,Organic acids and derivatives,Carboxylic acids and derivatives
L-Ornithine,L-Ornithine,Amide-Neg-000344,Organic acids and derivatives,Carboxylic acids and derivatives
L-Lysine,L-Lysine,Amide-Neg-000484,Organic acids and derivatives,Carboxylic acids and derivatives
Progesterone,Progesterone,C8-Pos-000616,Lipids and lipid-like molecules,Steroids and steroid derivatives
2-Furoic Acid,2-Furoic Acid,Amide-Neg-000149,Organoheterocyclic compounds,Furans
Meglumine,Meglumine,Amide-Pos-000710,Organic oxygen compounds,Organooxygen compounds
Pe(19:1cooh_28:3),Pe(19:1cooh_28:3),C8-Neg-003656,Lipids and lipid-like molecules,Glycerophospholipids
Palmitic Acid,Palmitic Acid,C8-Pos-000342,Lipids and lipid-like molecules,Fatty Acyls
Glutaric Anhydride,Glutaric Anhydride,Amide-Neg-000171,Organoheterocyclic compounds,Lactones
Palmitoleic Acid,Palmitoleic Acid,C8-Pos-000148,Lipids and lipid-like molecules,Fatty Acyls
Pe(O-20:1_22:6),Pe(O-20:1_22:6),C8-Pos-004759,Lipids and lipid-like molecules,Glycerophospholipids
Mesaconic Acid,Mesaconic Acid,Amide-Neg-000314,Lipids and lipid-like molecules,Fatty Acyls
"17-(1-Hydroxyethyl)-10,13-Dime…","17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",C8-Pos-000495,Lipids and lipid-like molecules,Steroids and steroid derivatives
Isobutyric Acid,Isobutyric Acid,Amide-Neg-000078,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetylglycine,N-Acetylglycine,Amide-Neg-000219,Organic acids and derivatives,Carboxylic acids and derivatives
Methanesulfonic Acid,Methanesulfonic Acid,Amide-Neg-000089,Organic acids and derivatives,Organic sulfonic acids and derivatives
Ethyl Acetoacetate,Ethyl Acetoacetate,Amide-Neg-000104,Organic acids and derivatives,Keto acids and derivatives
Geranylgeranylacetone,Geranylgeranylacetone,C8-Pos-000740,Lipids and lipid-like molecules,Prenol lipids
Pc(18:1_22:6),Pc(18:1_22:6),C8-Pos-004991,Lipids and lipid-like molecules,Glycerophospholipids
Glycolic Acid,Glycolic Acid,Amide-Neg-000015,Organic acids and derivatives,Hydroxy acids and derivatives
2-Methylsuccinic Acid,2-Methylsuccinic Acid,Amide-Neg-000333,Lipids and lipid-like molecules,Fatty Acyls
Pc O-42:6,Pc O-42:6,C8-Pos-004947,Lipids and lipid-like molecules,Glycerophospholipids
