label,Name,Compound.ID,Super.Class,Class
Pc(22:5cooh_25:8),Pc(22:5cooh_25:8),C8-Pos-005561,Lipids and lipid-like molecules,Glycerophospholipids
Methanesulfonic Acid,Methanesulfonic Acid,Amide-Neg-000089,Organic acids and derivatives,Organic sulfonic acids and derivatives
Meglumine,Meglumine,Amide-Pos-000710,Organic oxygen compounds,Organooxygen compounds
Pi(22:0_12:1),Pi(22:0_12:1),C8-Neg-003398,Lipids and lipid-like molecules,Glycerophospholipids
3-Hydroxybutyric Acid,3-Hydroxybutyric Acid,Amide-Neg-000118,Organic acids and derivatives,Hydroxy acids and derivatives
Pe(19:1cooh_28:3),Pe(19:1cooh_28:3),C8-Neg-003656,Lipids and lipid-like molecules,Glycerophospholipids
Palmitoleic Acid,Palmitoleic Acid,C8-Pos-000148,Lipids and lipid-like molecules,Fatty Acyls
1-Aminocyclopropanecarboxylic …,1-Aminocyclopropanecarboxylic Acid,Amide-Pos-000091,Organic acids and derivatives,Carboxylic acids and derivatives
Dgdg(18:0_11:1),Dgdg(18:0_11:1),C8-Neg-003439,Lipids and lipid-like molecules,Glycerolipids
Progesterone,Progesterone,C8-Pos-000616,Lipids and lipid-like molecules,Steroids and steroid derivatives
Ps(23:2_21:0),Ps(23:2_21:0),C8-Neg-003596,Lipids and lipid-like molecules,Glycerophospholipids
Dipropyleneglycol Dibenzoate,Dipropyleneglycol Dibenzoate,C8-Pos-000855,Benzenoids,Benzene and substituted derivatives
Adenosine 3'5'-Cyclic Monophos…,Adenosine 3'5'-Cyclic Monophosphate,C18-Pos-002092,"Nucleosides, nucleotides, and analogues",Purine nucleotides
"N6,N6,N6-Trimethyl-L-Lysine","N6,N6,N6-Trimethyl-L-Lysine",Amide-Pos-000686,Organic acids and derivatives,Carboxylic acids and derivatives
"17-(1-Hydroxyethyl)-10,13-Dime…","17-(1-Hydroxyethyl)-10,13-Dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-Tetradecahydro-1h-Cyclopenta[A]Phenanthren-3-One",C8-Pos-000495,Lipids and lipid-like molecules,Steroids and steroid derivatives
Pc(28:6_10:0cooh),Pc(28:6_10:0cooh),C8-Pos-005016,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Arginine,Dl-Arginine,Amide-Neg-000697,Organic acids and derivatives,Carboxylic acids and derivatives
Geranylgeranylacetone,Geranylgeranylacetone,C8-Pos-000740,Lipids and lipid-like molecules,Prenol lipids
Mesaconic Acid,Mesaconic Acid,Amide-Neg-000314,Lipids and lipid-like molecules,Fatty Acyls
Pe(O-20:1_22:6),Pe(O-20:1_22:6),C8-Pos-004759,Lipids and lipid-like molecules,Glycerophospholipids
L-Lysine,L-Lysine,Amide-Neg-000484,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetyl-1-Aspartylglutamic Ac…,N-Acetyl-1-Aspartylglutamic Acid,C18-Pos-001811,Organic acids and derivatives,Carboxylic acids and derivatives
Ps(23:4_21:5),Ps(23:4_21:5),C8-Neg-003546,Lipids and lipid-like molecules,Glycerophospholipids
Gly-Asp,Gly-Asp,Amide-Pos-000690,Organic acids and derivatives,Carboxylic acids and derivatives
N-Acetyl-L-Methionine,N-Acetyl-L-Methionine,Amide-Neg-000866,Organic acids and derivatives,Carboxylic acids and derivatives
