sample,factor,value,group,GW,Sex,batch1_frac
SSD02_tissue2,Factor1,-0.785355806350708,group1,21,F,0.14153846153846153
SSD03_tissue3,Factor1,-0.7095828652381897,group1,22,F,0.23132969034608378
SSD06_tissue6,Factor1,0.15852601826190948,group1,21,F,0.6296296296296297
SSD07_tissue7,Factor1,2.1577441692352295,group1,22,M,0.4447024673439768
SSD15_tissue15,Factor1,5.206532001495361,group1,21,M,0.3424657534246575
SSD17_tissue17,Factor1,-0.260464072227478,group1,18,M,0.11738401341531582
SSD18_tissue18,Factor1,-0.6756924390792847,group1,23,F,0.0205761316872428
SSD21_tissue21,Factor1,-0.6532169580459595,group1,23,F,0
SSD23_tissue23,Factor1,-0.06300362199544907,group1,18,M,0.3431098696461825
SSD24_tissue24,Factor1,-0.021864287555217743,group1,17,F,0.10211764705882354
SSD26_tissue26,Factor1,-0.7169785499572754,group1,24,M,0.9989664082687338
SSD31_tissue31,Factor1,0.21489596366882324,group1,17,F,0.4593513993780542
SSD33_tissue33,Factor1,-0.11707638204097748,group1,16,F,0.3500256805341551
SSD37_tissue37,Factor1,-0.08987602591514587,group1,23,M,0.5490727234840592
SSD40_tissue40,Factor1,0.5349879860877991,group1,19,F,0.5965018094089264
SSD41_tissue41,Factor1,0.49755147099494934,group1,23,M,1
SSD42_tissue42,Factor1,-0.6079497337341309,group1,24,F,0.21207658321060383
SSD43_tissue43,Factor1,-0.17875516414642334,group1,19,F,0.2711017112093828
SSD46_tissue46,Factor1,-0.12777981162071228,group1,17,M,0.6117689271618227
SSD47_tissue47,Factor1,0.371139258146286,group1,19,M,0.3740685543964232
SSD49_tissue49,Factor1,0.3317878842353821,group1,19,M,0.6220111921315923
SSD50_tissue50,Factor1,-0.5354928374290466,group1,21,M,0.45469893078221724
SSD02_tissue2,Factor2,-0.25137409567832947,group1,21,F,0.14153846153846153
SSD03_tissue3,Factor2,-0.4993912875652313,group1,22,F,0.23132969034608378
SSD06_tissue6,Factor2,-0.2774762213230133,group1,21,F,0.6296296296296297
SSD07_tissue7,Factor2,-1.7530348300933838,group1,22,M,0.4447024673439768
SSD15_tissue15,Factor2,-0.07106943428516388,group1,21,M,0.3424657534246575
SSD17_tissue17,Factor2,-0.39867231249809265,group1,18,M,0.11738401341531582
SSD18_tissue18,Factor2,-0.6608001589775085,group1,23,F,0.0205761316872428
SSD21_tissue21,Factor2,-0.4687076210975647,group1,23,F,0
SSD23_tissue23,Factor2,0.8730970025062561,group1,18,M,0.3431098696461825
SSD24_tissue24,Factor2,0.9071705341339111,group1,17,F,0.10211764705882354
SSD26_tissue26,Factor2,-0.5763050317764282,group1,24,M,0.9989664082687338
SSD31_tissue31,Factor2,-0.03917509317398071,group1,17,F,0.4593513993780542
SSD33_tissue33,Factor2,1.226925253868103,group1,16,F,0.3500256805341551
SSD37_tissue37,Factor2,-0.29064372181892395,group1,23,M,0.5490727234840592
SSD40_tissue40,Factor2,0.8922744989395142,group1,19,F,0.5965018094089264
SSD41_tissue41,Factor2,0.19533146917819977,group1,23,M,1
SSD42_tissue42,Factor2,-1.8719823360443115,group1,24,F,0.21207658321060383
