feature,factor,value,view
XIST_Astrocyte-Immature,Factor1,-0.04731147363781929,Astrocyte-Immature
TSIX_Astrocyte-Immature,Factor1,-0.06321781128644943,Astrocyte-Immature
UTY_Astrocyte-Immature,Factor1,0.05828087031841278,Astrocyte-Immature
TTTY14_Astrocyte-Immature,Factor1,0.06734499335289001,Astrocyte-Immature
ENSG00000243620_Astrocyte-Immature,Factor1,-0.07772337645292282,Astrocyte-Immature
LINC00609_Astrocyte-Immature,Factor1,-0.03902410343289375,Astrocyte-Immature
USP9Y_Astrocyte-Immature,Factor1,0.056569904088974,Astrocyte-Immature
NLGN4Y_Astrocyte-Immature,Factor1,0.05760728940367699,Astrocyte-Immature
CTNNA2,Factor1,-0.06316591054201126,Astrocyte-Immature
NTRK2_Astrocyte-Immature,Factor1,-0.028823167085647583,Astrocyte-Immature
NR2F2-AS1_Astrocyte-Immature,Factor1,0.048645153641700745,Astrocyte-Immature
LUZP2_Astrocyte-Immature,Factor1,-0.15647655725479126,Astrocyte-Immature
SPON1_Astrocyte-Immature,Factor1,-0.12586741149425507,Astrocyte-Immature
ENSG00000287704_Astrocyte-Immature,Factor1,-0.03689710050821304,Astrocyte-Immature
ENSG00000231918_Astrocyte-Immature,Factor1,-0.1319173276424408,Astrocyte-Immature
ENSG00000290853_Astrocyte-Immature,Factor1,0.07068625092506409,Astrocyte-Immature
OBI1-AS1_Astrocyte-Immature,Factor1,-0.07011457532644272,Astrocyte-Immature
PTPRT_Astrocyte-Immature,Factor1,-0.0764322280883789,Astrocyte-Immature
ENSG00000275443_Astrocyte-Immature,Factor1,0.06709246337413788,Astrocyte-Immature
SLC26A3_Astrocyte-Immature,Factor1,-0.13137595355510712,Astrocyte-Immature
NRXN3_Astrocyte-Immature,Factor1,0.09946431964635849,Astrocyte-Immature
ADCY8_Astrocyte-Immature,Factor1,-0.09923046827316284,Astrocyte-Immature
GREB1L_Astrocyte-Immature,Factor1,-0.022619197145104408,Astrocyte-Immature
GALNTL6_Astrocyte-Immature,Factor1,0.07899411022663116,Astrocyte-Immature
KCNIP4_Astrocyte-Immature,Factor1,-5.612593304249458e-5,Astrocyte-Immature
GRIK4_Astrocyte-Immature,Factor1,-0.10227213054895401,Astrocyte-Immature
SGCZ_Astrocyte-Immature,Factor1,0.08324046432971954,Astrocyte-Immature
LINC01965_Astrocyte-Immature,Factor1,0.031834203749895096,Astrocyte-Immature
PTCSC3_Astrocyte-Immature,Factor1,-0.07534279674291611,Astrocyte-Immature
PAX3_Astrocyte-Immature,Factor1,-0.06608074903488159,Astrocyte-Immature
ARMC3_Astrocyte-Immature,Factor1,-0.12267272174358368,Astrocyte-Immature
CDON_Astrocyte-Immature,Factor1,-0.09413585066795349,Astrocyte-Immature
MOXD1_Astrocyte-Immature,Factor1,0.027786625549197197,Astrocyte-Immature
SFRP1_Astrocyte-Immature,Factor1,0.038887809962034225,Astrocyte-Immature
TTTY10_Astrocyte-Immature,Factor1,0.02636413462460041,Astrocyte-Immature
SLIT2_Astrocyte-Immature,Factor1,0.022281792014837265,Astrocyte-Immature
DCC_Astrocyte-Immature,Factor1,-0.1076313704252243,Astrocyte-Immature
