pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,analysis,direction,top_n
Nucleotide salvage defects (Reactome),3,5,13.360252123499805,0.009369785413207573,Adenosine;Adenine;Guanine,0.49659862690000134,Reactome,Factor2 top 100 |weight| (negative),negative,100
Diseases of nucleotide metabolism (Reactome),3,7,6.675719820679476,0.02812229819927484,Adenosine;Adenine;Guanine,0.49682726818718886,Reactome,Factor2 top 100 |weight| (negative),negative,100
T cell modulation in pancreatic cancer (WikiPathways),3,7,6.675719820679476,0.02812229819927484,Adenosine;Adenine;Dl-Arginine,0.49682726818718886,WikiPathways,Factor2 top 100 |weight| (negative),negative,100
Nucleotide salvage (Reactome),4,16,2.984228175777074,0.07550877477284615,Adenosine;Pseudouridine;Adenine;Guanine,0.5918283623658823,Reactome,Factor2 top 100 |weight| (negative),negative,100
Purine salvage (Reactome),3,10,3.8001044180688486,0.07676803919585345,Adenosine;Adenine;Guanine,0.5918283623658823,Reactome,Factor2 top 100 |weight| (negative),negative,100
Purine metabolism (WikiPathways),4,17,2.7495746909154053,0.09124012924179101,Adenosine;Adenine;Xanthosine;Guanine,0.5918283623658823,WikiPathways,Factor2 top 100 |weight| (negative),negative,100
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",3,11,3.320056630527827,0.09790622288604947,Adenosine;2-Oxobutanoic Acid;Histamine,0.5918283623658823,Reactome,Factor2 top 100 |weight| (negative),negative,100
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane (Reactome),3,12,2.946118326469793,0.12112806670653736,Adenosine;Adenine;Guanine,0.5918283623658823,Reactome,Factor2 top 100 |weight| (negative),negative,100
Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS) (Reactome),2,6,4.3757326349732315,0.12283230162310764,Adenosine;Adenine,0.5918283623658823,Reactome,Factor2 top 100 |weight| (negative),negative,100
Omega-3 / omega-6 fatty acid synthesis (WikiPathways),2,6,4.3757326349732315,0.12283230162310764,"All-Cis-4,7,10,13,16-Docosapentaenoic Acid;Docosahexaenoic Acid",0.5918283623658823,WikiPathways,Factor2 top 100 |weight| (negative),negative,100
