pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,analysis,direction,top_n
"Metabolism of ingested SeMet, Sec, MeSec into H2Se (Reactome)",2,11,4.716051572886987,0.09201930564966201,Adenosine;Pyruvic Acid,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Methionine de novo and salvage pathway (WikiPathways),2,12,4.238955298907985,0.10725969267621839,Adenosine;Pyruvic Acid,0.5098295380427743,WikiPathways,Factor2 top 25 |weight| (all),all,25
Cysteine and methionine catabolism (WikiPathways),2,13,3.848109101885877,0.12314015975333192,Adenosine;Pyruvic Acid,0.5098295380427743,WikiPathways,Factor2 top 25 |weight| (all),all,25
Sulfur amino acid metabolism (Reactome),2,14,3.5216204266689988,0.13957117036681016,Adenosine;Pyruvic Acid,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Methionine Metabolism (KEGG),2,17,2.8030154979779036,0.19136694698597786,Adenosine;Pyruvic Acid,0.5098295380427743,KEGG,Factor2 top 25 |weight| (all),all,25
15q25 copy number variation (WikiPathways),1,5,5.132385043992927,0.21722408883822508,Adenosine,0.5098295380427743,WikiPathways,Factor2 top 25 |weight| (all),all,25
Abacavir ADME (Reactome),1,5,5.132385043992927,0.21722408883822508,Adenosine,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Abacavir metabolism (Reactome),1,5,5.132385043992927,0.21722408883822508,Adenosine,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Glycolysis in senescence (WikiPathways),1,5,5.132385043992927,0.21722408883822508,Pyruvic Acid,0.5098295380427743,WikiPathways,Factor2 top 25 |weight| (all),all,25
Nicotinamide salvaging (Reactome),1,5,5.132385043992927,0.21722408883822508,Pyruvic Acid,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Nucleotide salvage defects (Reactome),1,5,5.132385043992927,0.21722408883822508,Adenosine,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Phenylalanine metabolism (Reactome),1,5,5.132385043992927,0.21722408883822508,Pyruvic Acid,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Serine biosynthesis (Reactome),1,5,5.132385043992927,0.21722408883822508,Pyruvic Acid,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Synthesis of wybutosine at G37 of tRNA(Phe) (Reactome),1,5,5.132385043992927,0.21722408883822508,Pyruvic Acid,0.5098295380427743,Reactome,Factor2 top 25 |weight| (all),all,25
Acetylcholine synthesis (WikiPathways),1,6,4.10418051676171,0.2548575461056185,Pyruvic Acid,0.5098295380427743,WikiPathways,Factor2 top 25 |weight| (all),all,25
