pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source,analysis,direction,top_n
Pyrimidine catabolism (Reactome),2,9,7.405618374566957,0.0463361781337443,Pyruvic Acid;Uridine Monophosphate,0.44814939314527913,Reactome,Factor2 top 50 |weight| (positive),positive,50
Sphingolipid metabolism: integrated pathway (WikiPathways),2,9,7.405618374566957,0.0463361781337443,N-Nervonoyl-D-Erythro-Sphingosylphosphorylcholine;Palmitoyl Sphingomyelin,0.44814939314527913,WikiPathways,Factor2 top 50 |weight| (positive),positive,50
Aerobic glycolysis - augmented (WikiPathways),2,12,5.16628173296789,0.07901027820383252,Pyruvic Acid;Phosphocreatine,0.44814939314527913,WikiPathways,Factor2 top 50 |weight| (positive),positive,50
Urea cycle and associated pathways (WikiPathways),2,13,4.690126295424549,0.0911556742760297,Pyruvic Acid;Uridine Monophosphate,0.44814939314527913,WikiPathways,Factor2 top 50 |weight| (positive),positive,50
Biomarkers for pyrimidine metabolism disorders (WikiPathways),2,14,4.293021573541549,0.10382491962542939,Uridine Monophosphate;Phosphocreatine,0.44814939314527913,WikiPathways,Factor2 top 50 |weight| (positive),positive,50
Arginine and proline metabolism (KEGG),2,15,3.956757893514863,0.1169614184914034,Pyruvic Acid;Phosphocreatine,0.44814939314527913,KEGG,Factor2 top 50 |weight| (positive),positive,50
Synthesis of substrates in N-glycan biosythesis (Reactome),2,15,3.956757893514863,0.1169614184914034,Pyruvic Acid;Uridine Monophosphate,0.44814939314527913,Reactome,Factor2 top 50 |weight| (positive),positive,50
Deadenylation-dependent mRNA decay (Reactome),1,5,6.198644740574042,0.18527796335269997,Uridine Monophosphate,0.44814939314527913,Reactome,Factor2 top 50 |weight| (positive),positive,50
Glycolysis in senescence (WikiPathways),1,5,6.198644740574042,0.18527796335269997,Pyruvic Acid,0.44814939314527913,WikiPathways,Factor2 top 50 |weight| (positive),positive,50
Nicotinamide salvaging (Reactome),1,5,6.198644740574042,0.18527796335269997,Pyruvic Acid,0.44814939314527913,Reactome,Factor2 top 50 |weight| (positive),positive,50
Phenylalanine metabolism (Reactome),1,5,6.198644740574042,0.18527796335269997,Pyruvic Acid,0.44814939314527913,Reactome,Factor2 top 50 |weight| (positive),positive,50
Pyrimidine biosynthesis (Reactome),1,5,6.198644740574042,0.18527796335269997,Uridine Monophosphate,0.44814939314527913,Reactome,Factor2 top 50 |weight| (positive),positive,50
Serine biosynthesis (Reactome),1,5,6.198644740574042,0.18527796335269997,Pyruvic Acid,0.44814939314527913,Reactome,Factor2 top 50 |weight| (positive),positive,50
