gene,cell_type,Sex,cor,pval,padj
AGRN,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
SSU72,Div,F,0.8127881071535283,1.3299851163509955e-5,1.888321863263563e-4
PER3,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
EMC1-AS1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
MICOS10,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
TMEM222,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
PPP1R8,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
KIAA1522,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
YARS,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
AK2,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
ADPRHL2,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
AL603839.3,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
SCMH1,Div,F,-0.6699656813910667,0.00123004184657898,0.01685358035942015
PTPRF,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
AGBL4,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
ZYG11B,Div,F,0.6329202672784695,0.002742811860866996,0.036229771052081354
SLC35D1,Div,F,0.6259878088595907,0.003151787124907944,0.03646890692954507
LINC01725,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
RPF1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
DPYD-AS1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
PALMD,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
PSMA5,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
LAMTOR5,Div,F,0.6259878088595907,0.003151787124907944,0.03646890692954507
LINC00624,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
HIST2H2BE,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
VPS45,Div,F,0.7145927488425193,3.998696051768584e-4,0.0055174496226046334
CREB3L4,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
HAX1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
CKS1B,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
EFNA3,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
PIGM,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
IGSF8,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
UAP1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
POGK,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
MPZL1,Div,F,0.6259878088595907,0.003151787124907937,0.03646890692954507
SFT2D2,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
PRDX6,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
COLGALT2,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
TRMT1L,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
BRINP3,Div,F,0.8248562956428555,7.652331699175372e-6,1.1024609246998244e-4
GLRX2,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
RNPEP,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
SRGAP2,Div,F,-0.7594312277882904,1.0291890757982266e-4,0.0014472663606559751
MIR29B2CHG,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
INTS7,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
NENF,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
DEGS1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
URB2,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
COA6,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
GPR137B,Div,F,0.8127881071535283,1.3299851163509955e-5,1.888321863263563e-4
SH3YL1,Div,F,0.6259878088595907,0.003151787124907944,0.03646890692954507
RNF144A,Div,F,0.6259878088595907,0.003151787124907944,0.03646890692954507
ROCK2,Div,F,-0.7594312277882904,1.0291890757982266e-4,0.0014472663606559751
E2F6,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
TTC32,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
FAM228B,Div,F,0.6259878088595907,0.003151787124907944,0.03646890692954507
PTRHD1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
SELENOI,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
ATRAID,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
YPEL5,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
LCLAT1,Div,F,0.9435182507338934,4.5222424277751547e-10,6.678829394588533e-9
LTBP1,Div,F,-0.7496352796535434,1.4173004545204308e-4,0.00198354573135026
