"cell_type","n_samples","mean_count","median_count","sd_count","min_count","max_count","samples_below_25","pct_below_25"
"L4",27,481.444444444444,404,442.780144552865,15,1405,3,11.1111111111111
"L2/3",15,162.066666666667,132,149.521363340621,13,543,3,20
"L6/SP",22,119.227272727273,75,114.377375309473,11,377,3,13.6363636363636
"L5",19,60.1052631578947,38,73.0425254650727,11,300,6,31.5789473684211
"IN-MGE",29,56.5862068965517,35,48.6309111290482,12,179,10,34.4827586206897
"IPC",22,43.1363636363636,28.5,37.707262726664,10,136,10,45.4545454545455
"IN-CGE",26,33.0769230769231,22,27.5229694283492,11,104,15,57.6923076923077
"RG",27,28.7407407407407,22,14.8779459722529,10,62,14,51.8518518518519
"Div",15,19.1333333333333,17,8.28825905092488,10,35,11,73.3333333333333
"OPC",5,18,16,5.24404424085076,12,24,5,100
