"cell_type","n_samples","mean_count","median_count","sd_count","min_count","max_count","samples_below_25","pct_below_25"
"L4",26,474.423076923077,347.5,451.907793522256,15,1405,3,11.5384615384615
"L2/3",13,146.461538461538,97,151.997047879564,13,543,3,23.0769230769231
"L6/SP",21,117.809523809524,74,117.760188114498,11,377,4,19.047619047619
"L5",18,64.2222222222222,41.5,73.8381023556072,11,300,4,22.2222222222222
"IPC",21,44.7142857142857,31,37.8868616503701,11,136,9,42.8571428571429
"IN-MGE",28,55.0714285714286,28.5,49.9020734160108,12,179,11,39.2857142857143
"RG",26,29.4615384615385,26.5,14.6839525175772,12,62,13,50
"IN-CGE",25,33.6,22,27.9672427433715,11,104,14,56
"Div",15,19.1333333333333,17,8.28825905092488,10,35,11,73.3333333333333
"OPC",5,18,16,5.24404424085076,12,24,5,100
