"cell_type","n_samples","mean_count","median_count","sd_count","min_count","max_count","samples_below_25","pct_below_25"
"L4",29,437.931034482759,268,443.72239801757,15,1405,3,10.3448275862069
"L2/3",16,151.25,114.5,149.012080047223,12,543,4,25
"L6/SP",24,109.791666666667,68.5,112.191210679015,11,377,4,16.6666666666667
"L5",19,60.2631578947368,38,72.9542033708386,11,300,6,31.5789473684211
"IPC",24,49.1666666666667,34.5,41.9146821496972,10,136,10,41.6666666666667
"IN-MGE",31,53.5161290322581,29,47.8392244695654,12,179,11,35.4838709677419
"RG",29,31.2068965517241,28,19.6402998783202,10,101,14,48.2758620689655
"IN-CGE",26,32.9230769230769,22,27.6447797269909,10,104,15,57.6923076923077
"Div",17,24.1764705882353,18,20.5463965639892,10,97,12,70.5882352941177
"OPC",6,16.6666666666667,15.5,5.71547606649408,10,24,6,100
