gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AL627309.1,0.02390010039549312,0.19983115357760817,0.9605940383027738,0.3426430348536913,0.9006309199802517,-5.639530995421777
AL627309.5,0.001972716955925021,0.9132755305781844,0.08132247165720435,0.9355992146748444,0.9946905839159038,-6.137519100353417
LINC01409,3.254996668607589e-6,4.484388353262848,3.834876561438676e-4,0.9996959656706659,0.9999781922675969,-6.80070003719136
LINC01128,-0.005979324779781458,4.481233703203706,-0.7559459313876832,0.45419957076454087,0.9303350618030158,-6.516865996957476
LINC00115,-0.004713671550034621,1.9589011726763488,-0.26561209363524463,0.791929614180229,0.9816187343375828,-6.299278259799867
FAM41C,-0.025380841911370827,0.2355586672076483,-0.8894334093743151,0.37919496856145685,0.9067989884298169,-5.65381271601184
AL645608.6,-0.011821217019543544,1.7660542931655938,-0.7147210944614909,0.47901548011310213,0.9358054615030886,-6.05733338135066
AL645608.2,0.027736434749342315,0.23503137208190464,0.9712418108998248,0.33738166998913444,0.898858492724852,-5.608892045621661
SAMD11,0.018164658365266782,-0.6560751648066244,0.5871312619395165,0.5604815085841162,0.950719984801416,-5.737094036241844
NOC2L,-0.024759611143937495,4.273627224923717,-2.1945923490347696,0.03418098930860164,0.6750961788865457,-4.457901546271726
KLHL17,0.014023936827329421,1.9489562663484699,0.9631485366688317,0.3413758432412759,0.9004692381567225,-5.974968040020822
PLEKHN1,0.015006573135177056,-0.5237021480026578,0.6048254962757557,0.5487795150735175,0.9498610537493536,-5.781438608004752
AL645608.7,0.015740154591055946,0.2813405031245252,0.7181776351999376,0.47690563691780585,0.9353653210407883,-5.858908082640968
HES4,-0.024361462982124465,6.008002761273547,-1.403000896401873,0.1684861959219268,0.8091593897623146,-6.00800142428337
ISG15,-0.03408435618893972,1.6800958871448313,-1.7062431831503144,0.09587312757305683,0.7278062516461139,-4.8865469663949535
AL645608.1,0.04885711735320847,-0.3663760783062267,1.8581628130901315,0.07066582118514117,0.7072000725579894,-4.390581052617516
AGRN,-0.027291804398630493,3.747764494958258,-2.786463352157437,0.008170688078346961,0.6750961788865457,-3.116383699312063
C1orf159,0.0017044978913154482,5.029790975196188,0.21660724352730026,0.8296375373191549,0.9852851704570857,-6.856799238866033
AL390719.3,0.0010825887301574516,2.1844274243908344,0.07347356185321142,0.9418028400416881,0.9952935415098207,-6.434799393305765
LINC01342,0.03672771556529132,-0.1253987363068923,0.9426423251448797,0.35163617848344475,0.9008620274606541,-5.6063639149009985
SDF4,-0.008424773660794109,4.835292667841668,-0.9947209376673676,0.32597151600637086,0.8952813514746748,-6.350699142077654
B3GALT6,-0.04973312817581291,3.865876900449572,-2.4360867077909485,0.01949073439098693,0.6750961788865457,-3.896123200558602
UBE2J2,-0.023715997691798094,4.042506415759176,-2.359978182872345,0.023346230533704777,0.6750961788865457,-4.098659232657862
LINC01786,-0.009954500635259928,1.111593212621353,-0.5476740361679392,0.5870201738785927,0.955211085421104,-6.085060357995845
SCNN1D,-0.032472391222763006,1.239585285433,-1.5515395531789737,0.12880769717044235,0.7661447588265089,-5.022897603256688
ACAP3,-0.008127523078892744,5.393596571058078,-0.9801158981641426,0.33303814662099807,0.8981657741215456,-6.435360689959382
PUSL1,-0.037387706048795405,0.8491424658742647,-1.666859856634769,0.10351212656428814,0.7369908337030403,-4.808727362720111
INTS11,0.006746143657643424,4.0470312863822215,0.8404996284870094,0.4057248039238688,0.9199697130330365,-6.387067409957525
CPTP,-0.024056517461325252,2.3398025710055723,-1.4360697668868332,0.15891354065404836,0.8014650596971138,-5.398678628429968
TAS1R3,-0.028075891539107653,-0.5389636476398516,-0.8365837837219505,0.4078965164259567,0.920616764473359,-5.585392974986194
DVL1,-0.032787710124440476,2.9538013950847857,-2.570741645893894,0.014056801862430402,0.6750961788865457,-3.5022885016696876
MXRA8,0.05267362227379279,0.7913046852620697,1.3134642332171687,0.1966610607065776,0.8289250053603822,-5.262550971074809
AURKAIP1,-0.056555668848590666,4.834728349405173,-2.2181498993803883,0.032404821610460884,0.6750961788865457,-4.460132248981266
CCNL2,0.009580510464159368,6.141837416537864,1.0254215998476082,0.31144932107127643,0.8902119925169726,-6.47667481696415
MRPL20-AS1,-0.027667451980067995,2.0722050300889716,-1.5044304687074797,0.14048407368678534,0.7822705468331218,-5.301204917897296
MRPL20,-0.04127935157679668,5.276841118764892,-2.603919876337841,0.012950682938944072,0.6750961788865457,-3.713845292812065
AL391244.2,-0.0013759843541372794,0.4663185521420887,-0.057751096738598184,0.9542402146795622,0.996394065588402,-6.084507957900412
ANKRD65,0.004754176294959284,0.06162594920694411,0.16208325763899106,0.8720726993517389,0.9892696050575575,-6.011941644930994
VWA1,-0.021165155268787265,0.9243440473195667,-0.623627055329273,0.5364839235770007,0.9491861884401012,-5.917786907370463
ATAD3C,0.007086422744792949,0.6773739310578796,0.24809690077055807,0.8053542258539194,0.9825894066957835,-6.059885653338716
ATAD3B,-0.0019696344918682805,3.0723275716753413,-0.1811978431401261,0.8571457309768445,0.9884974255988747,-6.561826855028161
ATAD3A,0.003629786738626544,2.695551996015584,0.2426973798338575,0.8095049721807398,0.982830826437216,-6.526341050447542
TMEM240,-0.03073737123591883,3.7382060204923375,-1.8641320770415568,0.06980298207081295,0.7072000725579894,-4.98993850237068
