"","Div","Endo","IN-CGE","IN-MGE","IPC","L2/3","L4","L5","L6/SP","MG","OPC","RG"
"tissue1",10,2,32,62,13,146,268,30,109,7,9,34
"tissue10",20,0,11,15,19,3,5,3,3,0,2,43
"tissue11",3,1,15,26,6,1,333,38,8,3,2,16
"tissue12",16,6,97,154,38,132,640,47,174,5,24,62
"tissue13",0,0,1,2,1,0,0,0,2,0,1,13
"tissue14",35,0,12,15,99,3,2,1,1,1,2,36
"tissue15",1,0,6,4,5,1,7,0,3,0,0,2
"tissue16",4,0,21,32,6,25,397,14,45,0,1,4
"tissue17",37,0,5,19,112,163,82,6,62,3,3,31
"tissue18",1,0,6,6,4,4,7,0,5,0,0,8
"tissue19",13,0,18,29,131,24,2,0,11,1,7,21
"tissue2",12,0,7,12,11,8,26,0,9,0,1,17
"tissue20",16,2,77,179,38,543,1405,44,377,5,15,55
"tissue21",0,0,0,0,0,0,3,1,0,0,0,1
"tissue22",30,1,31,24,101,2,4,0,3,1,5,48
"tissue23",6,0,41,75,8,0,1318,300,211,3,8,13
"tissue24",28,0,5,9,70,4,15,4,4,1,2,46
"tissue25",6,3,77,131,136,0,513,81,98,2,23,35
"tissue26",8,0,12,27,7,62,221,6,21,1,0,12
"tissue27",19,1,104,160,59,318,1011,18,347,5,16,40
"tissue3",3,0,12,22,5,8,77,2,30,0,2,19
"tissue30",3,1,24,70,14,3,456,43,26,0,4,17
"tissue31",22,1,10,36,53,1,59,23,12,1,10,28
"tissue32",0,0,0,0,0,0,5,0,2,0,0,0
"tissue33",97,5,8,26,126,12,111,9,71,0,3,101
"tissue34",10,1,6,5,26,3,25,2,4,1,0,32
"tissue35",0,0,14,63,1,186,551,20,133,0,3,4
"tissue36",17,3,62,113,15,140,1402,40,353,2,12,34
"tissue37",4,0,47,87,4,97,853,23,159,0,4,9
"tissue38",1,1,13,23,1,0,362,56,22,1,4,5
"tissue39",1,0,19,59,10,341,475,22,38,0,3,10
"tissue40",3,0,16,21,0,1,242,60,29,1,3,4
"tissue41",2,0,26,47,5,84,731,14,74,0,4,6
"tissue42",0,0,2,4,2,2,6,3,0,3,3,8
"tissue43",3,1,22,47,6,7,442,88,50,2,4,6
"tissue44",0,0,13,13,7,3,404,27,16,0,1,2
"tissue45",3,0,6,4,50,5,8,1,6,1,0,17
"tissue46",11,0,7,12,22,43,112,11,32,0,0,19
"tissue47",1,0,8,22,8,280,119,28,76,0,2,3
"tissue48",35,0,11,13,59,4,1,1,2,0,3,43
"tissue49",1,0,31,82,31,1,1125,208,193,0,7,16
"tissue50",32,0,7,4,60,3,3,0,7,1,4,31
"tissue6",7,0,22,35,11,22,188,7,66,4,6,22
"tissue7",2,0,3,5,2,1,5,0,0,1,0,4
"tissue8",8,1,12,13,12,13,24,2,8,1,2,15
"tissue9",18,1,14,28,23,7,23,1,5,6,2,46
