"Model","R_squared","Adj_R_squared","P_value","AIC"
"TT Combined - Linear",0.0474764882825392,0.0210175018459431,0.188793576080836,-82.8662835057073
"TT Combined - Polynomial",0.0862816713059597,0.0340691953805861,0.206165452913187,-82.4467962732331
"TT Male - Linear",0.00107621498383892,-0.0544195508503922,0.89079269270263,-59.9898631986207
"TT Male - Polynomial",0.300485031082463,0.218189152386283,0.0479484536186327,-65.1156890212869
"TT Female - Linear",0.0291162433459571,-0.0315639914449204,0.498430644625885,-35.4606296766069
"TT Female - Polynomial",0.0603296029848882,-0.0649597832837934,0.627070816278914,-34.0488260039243
"E2 Combined - Linear",0.0222140238765449,-0.00654438718590944,0.385633916623422,88.8707480319184
"E2 Combined - Polynomial",0.0930206409451423,0.0380521949418177,0.199690386910061,88.164587881403
"E2 Male - Linear",0.10292333231452,0.0530857396653268,0.167853605483502,45.6718186804951
"E2 Male - Polynomial",0.21973652129815,0.127940817921462,0.12135310055664,44.88162520498
"E2 Female - Linear",0.00115167392136388,-0.0701946350842531,0.90070659886375,46.8556446731407
"E2 Female - Polynomial",0.0658225330081086,-0.0778970772983361,0.642378533144623,47.7846604537954
"P4 Combined - Linear",0.0121229472270735,-0.0169322602074242,0.522654403213597,247.227333463976
"P4 Combined - Polynomial",0.0431490060213287,-0.014841963310712,0.482982231597487,248.078552895998
"P4 Male - Linear",0.0248933581580336,-0.029279233055409,0.506469742223165,146.078055950499
"P4 Male - Polynomial",0.0590989362064328,-0.0515953065928103,0.595831769895685,147.363879017699
"P4 Female - Linear",0.00256928905180257,-0.0686757617302116,0.852111953253151,103.01150598777
"P4 Female - Polynomial",0.0636859171841583,-0.080362403249048,0.65198876325161,103.999798709554
