gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
LINC01409,-0.1620939599309867,4.692715592182386,-1.2108473628866423,0.24189956964164708,0.9275948107892394,-4.5563146207638585,Div,F
LINC01128,-0.0649402341097799,4.53655597405113,-0.5043596454504125,0.6202392453007166,0.973464561394658,-4.746626693401982,Div,F
NOC2L,-0.11475221566963781,4.294720186402562,-0.7206143395989008,0.4805715341840091,0.9727807662823287,-4.701078075394989,Div,F
HES4,0.12276780408925093,6.136783753620974,1.6170192117615083,0.12358452169885964,0.8831786285137609,-4.331610871704271,Div,F
C1orf159,-0.014709930082327963,5.069739378711337,-0.14583666699223496,0.8857009662932982,0.9994024243583366,-4.912986873928759,Div,F
SDF4,0.03163773285947943,4.763602067732673,0.30090198081148517,0.7670008315257602,0.9928115467910168,-4.919928102534923,Div,F
UBE2J2,0.19778857489477084,4.17025494826149,2.00322627736504,0.06073433180896897,0.8562148798271337,-4.017801651464428,Div,F
ACAP3,-0.08337467514005717,5.162598121213763,-0.690919675235798,0.49859210016287325,0.9727807662823287,-4.770067899471496,Div,F
AURKAIP1,-0.0947603196182377,5.2631411007936935,-0.8431633666369432,0.4104050103831448,0.955769721228898,-4.730707281356372,Div,F
CCNL2,-0.2373373638296589,6.1856542750299575,-2.560406467255534,0.019857032745015452,0.8562148798271337,-3.6606808185865223,Div,F
MRPL20,0.039005631544738704,5.47595016342098,0.5481983369134615,0.5904143717332646,0.9727807662823287,-4.994210926774445,Div,F
SSU72,-0.026973135881327662,4.952457106005267,-0.22847099307320629,0.821903042668521,0.997416018921036,-4.899870111156356,Div,F
CDK11B,-0.13154299892548582,4.870500684957138,-1.1658753340455505,0.2591598315141164,0.9353091846077185,-4.573360493608857,Div,F
SLC35E2B,0.11500959622375675,5.25493457310599,1.8104994143070339,0.08725522313385242,0.8562148798271337,-4.119186386608159,Div,F
CDK11A,-0.21693441164408567,4.7782632793499635,-1.4151032948099829,0.17441900525123602,0.89476694300634,-4.475488425567669,Div,F
SLC35E2A,0.10546527816206548,5.759483396830216,1.8623933527810275,0.07925970043552766,0.8562148798271337,-4.057838540477935,Div,F
GNB1,-0.09635400784939209,7.8313272071612055,-2.1641023544064475,0.044411439886696207,0.8562148798271337,-3.687250767407483,Div,F
PRKCZ,-0.06038200750358047,4.559812786002545,-0.381062359479104,0.7076994512268202,0.9848468839930329,-4.771035955288929,Div,F
FAAP20,-0.05148458037881428,4.7847201706706555,-0.4070017373582677,0.6888940906646661,0.9831662093681383,-4.8178951308836035,Div,F
SKI,0.02655073740587883,5.123070454997238,0.24742497419726311,0.8074312028185473,0.997416018921036,-4.968197596811468,Div,F
RER1,0.02674166267727203,5.080511648409666,0.2641102410231888,0.794750411042048,0.9960122865639287,-4.973659556855394,Div,F
PRDM16-DT,0.06001755292594242,4.687865740413267,0.5815195811785171,0.5682346789909254,0.9727807662823287,-4.84767443643757,Div,F
PRDM16,0.13245859655489037,6.070436851493592,1.3581786608078672,0.19149535628769865,0.9058526262343648,-4.611000680123795,Div,F
LRRC47,0.03925765644968875,4.3612114212521735,0.33677610145223064,0.7402521792231584,0.9864910505160894,-4.828778856261716,Div,F
CEP104,-0.01309568152752697,4.92434042565902,-0.133706950085307,0.8951452166353955,0.9994024243583366,-4.8971492039736475,Div,F
C1orf174,0.032842769780853674,4.2960037515942044,0.3412564187965114,0.7369345812450343,0.9862908200527682,-4.832507523393935,Div,F
NPHP4,-0.010999297325817645,4.780851142532525,-0.09615375395896816,0.9244804996481739,0.9994024243583366,-4.891977715682369,Div,F
CHD5,0.07537828351090785,4.941656108794693,0.3878811964019279,0.7027365544914743,0.9838672898866897,-4.870133982725127,Div,F
RPL22,-0.08917692210870758,8.482360572798441,-1.7542030065242438,0.0967200793568987,0.8621193866778659,-4.238404270696504,Div,F
GPR153,-0.13049388429919623,3.917470890021444,-0.8370577753544962,0.4137373173381258,0.9580510792855577,-4.669168053539881,Div,F
ACOT7,0.03541755352638763,5.600248133049097,0.4425990355603233,0.6634255180807431,0.9779541335970824,-5.030900688042229,Div,F
TNFRSF25,-0.2639620141299408,5.106060496834838,-2.1540654870628773,0.04529895635366693,0.8562148798271337,-4.111839302593723,Div,F
NOL9,0.03996747207426384,4.882786359735691,0.5141094873478377,0.6135445483036563,0.9727807662823287,-4.889605542936819,Div,F
DNAJC11,-0.03500155245751321,5.1704871353441595,-0.3956927009208709,0.6970680619885153,0.9838579979775586,-4.861999601678318,Div,F
CAMTA1,-0.013121350681416089,8.277806538864667,-0.3395694538229063,0.7381831286090048,0.9862908200527682,-5.4308084394714085,Div,F
PER3,0.03314709885225523,4.647747473801491,0.279607869485793,0.7830247088266475,0.9941948656241363,-4.884589797496996,Div,F
PARK7,-0.05919483124161707,6.978870281942275,-1.063691386583505,0.3017882523449109,0.9353091846077185,-4.825372775372736,Div,F
RERE,0.03631613490843005,9.936050286777354,1.0211717088818046,0.3209503076254181,0.944191232637855,-5.158678103657155,Div,F
ENO1,0.02113921702006267,6.382025805803508,0.32579399364219475,0.7484063629516899,0.9886866240410779,-5.180314764244268,Div,F
H6PD,-0.05102365917631832,4.7836486997986425,-0.461004930661411,0.6504182409512087,0.976575936852729,-4.780648707319177,Div,F
CLSTN1,-0.006838146024976557,6.543077775284166,-0.13627860578410292,0.8931415142149406,0.9994024243583366,-5.219679818532465,Div,F
CTNNBIP1,0.018986300807345133,5.403668022236386,0.23852466331340338,0.8142182460417526,0.997416018921036,-5.0134580553934445,Div,F
