gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
LINC01409,0.06532074423256536,4.232560091009462,0.7610294908666543,0.45780131495127274,0.9994210966669326,-4.798538629875099,Div,M
LINC01128,0.10500064348560158,4.476913870971793,1.2872858550631425,0.2164564478040386,0.9994210966669326,-4.545666460664723,Div,M
NOC2L,0.11562098395837979,4.24120893975046,1.3768511250344337,0.18767575731571445,0.9994210966669326,-4.48086838978489,Div,M
HES4,0.14449608049835205,5.344489742038541,1.5196965742621251,0.14826196919295145,0.9994210966669326,-4.3984466414347185,Div,M
AGRN,-0.2811823867702653,3.6650642550593906,-1.718287814151542,0.1051915308211851,0.9994210966669326,-4.386719843230157,Div,M
C1orf159,-0.07291129497711085,5.432969785282773,-0.9046032060123075,0.379206184199389,0.9994210966669326,-4.758829218873507,Div,M
SDF4,0.043077191554550996,4.581380539312121,0.45214854454508074,0.6572820279138742,0.9994210966669326,-4.9003484880824715,Div,M
B3GALT6,-0.107259142665224,3.404281155487749,-0.7819324215153264,0.4457666837140608,0.9994210966669326,-4.7006973400653305,Div,M
UBE2J2,-0.04646822864089342,3.9711939570585693,-0.30869857372268833,0.7615670252136947,0.9994210966669326,-4.856840308371003,Div,M
ACAP3,-0.010196890266745213,5.1887628599054665,-0.12386063474657932,0.9029811123434022,0.9994210966669326,-4.950861209379187,Div,M
INTS11,0.04579820774133829,4.1677440551570495,0.40602356213494467,0.6901483618122028,0.9994210966669326,-4.866991326749345,Div,M
AURKAIP1,0.036883126382606886,4.1222589335057185,0.1517643336252361,0.8812857185048169,0.9994210966669326,-4.865710195323889,Div,M
CCNL2,-0.04586388906692314,6.372259605394127,-0.8484403163844252,0.4088106397695751,0.9994210966669326,-4.9335750961809275,Div,M
MRPL20,0.03398295804917341,4.896758461160575,0.28714238966090444,0.7777193442838058,0.9994210966669326,-4.939039516120176,Div,M
ATAD3A,0.19558905895847822,3.024045987448047,1.574208567033772,0.13516530080080336,0.9994210966669326,-4.40305143895366,Div,M
TMEM240,0.004875504876770252,2.962632187934197,0.02848461460700507,0.977630837483884,0.9994210966669326,-4.785106711419051,Div,M
SSU72,0.11843874134231723,5.005602422626474,1.558166269446798,0.13891397298572386,0.9994210966669326,-4.353322769969912,Div,M
MIB2,-0.008374091116489965,3.344661786103035,-0.06900264065606829,0.9458496446715736,0.9994210966669326,-4.810435412932057,Div,M
CDK11B,-0.09404580523474118,5.090152396360278,-0.7878236352116409,0.44241087881225116,0.9994210966669326,-4.7831806216262525,Div,M
SLC35E2B,0.06533676190920919,5.225500296932453,1.0438637232591115,0.312192334158226,0.9994210966669326,-4.717482624541958,Div,M
CDK11A,0.0363288584972091,4.720352065533572,0.5023428344493626,0.62232619912364,0.9994210966669326,-4.932131923893902,Div,M
SLC35E2A,0.13018547974427783,4.982520107081241,1.678767312112341,0.11277904787715645,0.9994210966669326,-4.25407051541752,Div,M
NADK,-0.05314229216033658,3.7381252691781164,-0.38280846098644683,0.7069414133211488,0.9994210966669326,-4.8075620955953,Div,M
GNB1,0.015524588380735595,7.708681168252554,0.34463623362241774,0.7348935280530167,0.9994210966669326,-5.239274398075951,Div,M
PRKCZ,-0.0757242401041147,3.918775541531503,-0.6487669068524888,0.5257684775563757,0.9994210966669326,-4.779602284774611,Div,M
FAAP20,0.08643231280709918,4.9673641303311244,0.8675202431454307,0.3985876406062173,0.9994210966669326,-4.78173806618833,Div,M
SKI,0.032408813311013834,4.993730430507049,0.46263755679091517,0.6499053934602448,0.9994210966669326,-4.937910493430177,Div,M
MORN1,0.05619323137365585,4.161506640483542,0.661534898177117,0.517761647716914,0.9994210966669326,-4.815326104827088,Div,M
RER1,-0.029768448633475133,4.927814553469045,-0.2214662706455387,0.8275544298674529,0.9994210966669326,-4.955331864338595,Div,M
