gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
LINC01409,-0.007715103091415936,4.692715592182386,-0.6081120133063984,0.5509448961202568,0.992999360050403,-6.4436478228154614,Div,F
LINC01128,-0.005863004791342748,4.53655597405113,-0.49129547953491026,0.6293380481378421,0.992999360050403,-6.483722486018566,Div,F
NOC2L,-0.01900817183468639,4.294720186402562,-1.3383355757158732,0.19796127975763983,0.9227523583398457,-5.7246962928003535,Div,F
HES4,0.014281374203096428,6.136783753620974,2.283195924128622,0.035198040886660405,0.867857171182685,-5.153916033021662,Div,F
C1orf159,2.5349785896521465e-4,5.069739378711337,0.029120193317724113,0.9770991085436826,0.998376315284071,-6.9982435917275705,Div,F
SDF4,-0.0029366056508176256,4.763602067732673,-0.26933032972750676,0.7908335334238836,0.9938085667874815,-6.8403635997429575,Div,F
UBE2J2,0.019920778331533242,4.17025494826149,2.485257381449949,0.023345582688374476,0.867857171182685,-4.336132738611683,Div,F
ACAP3,-0.014065655372104179,5.162598121213763,-1.2017465174313366,0.2455140518149481,0.9428494372432294,-6.048466220882798,Div,F
AURKAIP1,-0.01356338972413769,5.2631411007936935,-1.2259155284238086,0.23651415068499823,0.9403910295398799,-6.0419241241268304,Div,F
CCNL2,-0.021681548983645424,6.1856542750299575,-2.431771258492397,0.0260529562978258,0.867857171182685,-4.216912858069767,Div,F
MRPL20,0.0015086461414353458,5.47595016342098,0.21465366478441622,0.8325252459120053,0.9939276436577068,-7.167015646409285,Div,F
SSU72,-0.0028743327368348837,4.952457106005267,-0.26178436301169167,0.7965519899115736,0.9938085667874815,-6.880614401105279,Div,F
CDK11B,-0.009091347265295969,4.870500684957138,-0.8547714985454997,0.4042579761870825,0.9827471286005524,-6.277286600854195,Div,F
SLC35E2B,0.010944801319524303,5.25493457310599,1.9126642144178307,0.0723437093913288,0.867857171182685,-5.547305252836081,Div,F
CDK11A,-0.022574340179513454,4.7782632793499635,-1.619581939278748,0.12324811334769294,0.889457320213439,-5.369332675042295,Div,F
SLC35E2A,0.009775227333614646,5.759483396830216,1.8551014971299409,0.08055224009687363,0.867857171182685,-5.757507119664405,Div,F
GNB1,-0.009331214808244642,7.8313272071612055,-2.238193934414614,0.03850878136724511,0.867857171182685,-5.242809693841702,Div,F
PRKCZ,0.0015932307790181488,4.559812786002545,0.11464336951492289,0.9100363033965837,0.9945308069750213,-6.68083796435338,Div,F
FAAP20,0.0015360735723505075,4.7847201706706555,0.14992887379037992,0.8825396174277653,0.9939276436577068,-6.9083776176939,Div,F
SKI,0.004561896994405915,5.123070454997238,0.48567107792487024,0.6332409410368753,0.992999360050403,-6.9916428127253765,Div,F
RER1,0.0037896431640398963,5.080511648409666,0.4336201435122281,0.669876099574957,0.9938085667874815,-7.0433186762499735,Div,F
PRDM16-DT,0.0018294698652811636,4.687865740413267,0.17167172618010318,0.8656702507294283,0.9939276436577068,-6.854325874781811,Div,F
PRDM16,0.009944002788248342,6.070436851493592,1.0224363664651417,0.32053728036533535,0.9646573657139431,-6.9720781668250495,Div,F
LRRC47,0.004962986285165008,4.3612114212521735,0.49184952478864136,0.6289541903938403,0.992999360050403,-6.71907117071896,Div,F
CEP104,7.081367343879595e-4,4.92434042565902,0.08373074076139303,0.9342233496136446,0.9952140001038806,-6.958838671222571,Div,F
C1orf174,0.0021769916492239594,4.2960037515942044,0.2392704607745337,0.813682915536041,0.9939276436577068,-6.743308426258118,Div,F
NPHP4,0.006914242899241495,4.780851142532525,0.8034997204574224,0.432492828884562,0.9842510303608474,-6.736270916097563,Div,F
CHD5,0.005637458999527358,4.941656108794693,0.2886781034694975,0.7762280690153411,0.9938085667874815,-6.793037854263915,Div,F
RPL22,-0.010080042951942335,8.482360572798441,-2.145787091440743,0.04622537247065954,0.867857171182685,-5.532711812780779,Div,F
GPR153,-0.01035789040123049,3.917470890021444,-0.7073833491837602,0.4886664488093969,0.9896012358621057,-6.323441930223346,Div,F
ACOT7,0.006987066344136581,5.600248133049097,1.050199190425801,0.3079506305956985,0.9597025312260958,-6.767062643975767,Div,F
TNFRSF25,-0.023829111691191812,5.106060496834838,-2.09892329581591,0.05065822253222654,0.867857171182685,-4.6201374344982815,Div,F
NOL9,0.0035891362490508834,4.882786359735691,0.49141020238336774,0.6292585560530355,0.992999360050403,-6.874669060876233,Div,F
DNAJC11,-0.003229258236288622,5.1704871353441595,-0.393547973260971,0.6986806589185559,0.9938085667874815,-6.805231946260626,Div,F
CAMTA1,-5.676736799264824e-4,8.277806538864667,-0.1577536054712349,0.8764616085211459,0.9939276436577068,-7.749814165586891,Div,F
PER3,0.004668247710180201,4.647747473801491,0.4800980621233381,0.6371191618418948,0.992999360050403,-6.88631118846255,Div,F
PARK7,-0.007537254569859889,6.978870281942275,-1.443748372704608,0.16651950319376585,0.9160499073945872,-6.3853806487441975,Div,F
RERE,0.0026719719222290713,9.936050286777354,0.7962113901613874,0.43660522906712684,0.9863922206053101,-7.599722968932064,Div,F
ENO1,0.0021273314532501363,6.382025805803508,0.3558096060299684,0.7262471758986593,0.9938085667874815,-7.369804915951892,Div,F
H6PD,-0.0038903752999717685,4.7836486997986425,-0.3720281478897899,0.7143501218719748,0.9938085667874815,-6.610084069918532,Div,F
CLSTN1,-0.0011579258434942822,6.543077775284166,-0.24553656192893805,0.8089048520756686,0.9938085667874815,-7.390349851376241,Div,F
CTNNBIP1,0.005184486890291991,5.403668022236386,0.7708681179335449,0.4510946923073986,0.98930642833766,-6.906053524254983,Div,F
LZIC,-0.008509973393458594,5.225686703719308,-0.8494190898879925,0.4071483223628296,0.9827471286005524,-6.466879049699802,Div,F
UBE4B,0.005313934549032515,6.3900777351709355,0.9339664866068406,0.3630628351316769,0.97149667868865075,-7.040339558537013,Div,F
KIF1B,0.0019279445538362115,9.077777331580656,0.585674353404408,0.5655909515424256,0.992999360050403,-7.678893454102207,Div,F
PGD,-0.001380731671812574,5.292338132005009,-0.1491483240718588,0.8831463437967737,0.9939276436577068,-6.943432288794988,Div,F
DFFA,4.403908885639642e-4,4.8099851200379184,0.03299952923005145,0.9740493978411175,0.9982281661530008,-6.8800518170444125,Div,F
PEX14,-0.009986615452170548,5.469802027724812,-0.7996899271890222,0.43463943373533787,0.9853869456260712,-6.531324184762912,Div,F
TARDBP,0.0051990695751960945,6.220462415470484,0.7111280907818154,0.48640031833832853,0.9896012358621057,-7.179585940397613,Div,F
SRM,-0.008229768013479574,5.723921042194228,-0.8139016138270727,0.42666603493964017,0.983944863693893,-6.580051689278387,Div,F
EXOSC10,-0.0016825631341658583,5.594402587253777,-0.20886583775729808,0.8369711074414304,0.9939276436577068,-7.071330988008828,Div,F
MTOR,0.0016069369524635711,6.17265321879284,0.30036382785536037,0.7674477441993963,0.9938085667874815,-7.337752776352653,Div,F
UBIAD1,-0.0020311322997124386,4.106100345352737,-0.15782541680970053,0.8764058637748136,0.9939276436577068,-6.563777463703702,Div,F
DISP3,0.0012586411326074621,5.93936742485586,0.20207638247869097,0.8421935778526155,0.9939276436577068,-7.290225097360905,Div,F
MAD2L2,-0.030894646123968878,4.437353285041248,-2.393572875982281,0.02816415116618596,0.867857171182685,-4.055035057284783,Div,F
DRAXIN,0.0017690325785124457,5.1048912202133945,0.11894957627020931,0.9066736130964246,0.9941024596110256,-6.776004019299925,Div,F
CLCN6,-0.005682549511766677,4.711134683921701,-0.4764486440496804,0.6396646459476271,0.992999360050403,-6.51789079771707,Div,F
VPS13D,0.0036243101505981316,7.276356034373524,0.757105993168193,0.4590855622816429,0.9896012358621057,-7.358168652124699,Div,F
PDPN,-0.024211966055720166,4.055844227957527,-1.6552335745668962,0.11574535279507757,0.8890189464604247,-5.2812567908440355,Div,F
PRDM2,0.004284777501964187,7.171654727090388,0.8260671632784866,0.4199147876681696,0.9838783829070656,-7.293890676547781,Div,F
KAZN,-0.001173497821950911,9.420501741188117,-0.24038971668811057,0.8128288945248275,0.9939276436577068,-7.839435291009047,Div,F
DDI2,0.00644063407955976,4.909635652353415,0.8977461904142756,0.3815376823152865,0.9763585105938463,-6.716978811930155,Div,F
PLEKHM2,-0.006984903940332251,5.03714476197164,-0.731838794882977,0.4739794308268269,0.9896012358621057,-6.556083813479109,Div,F
AL450998.2,7.434234608775254e-4,5.652225663697013,0.10726068894261759,0.9158054392030182,0.9947540031395433,-7.214846164496129,Div,F
SPEN,-0.00494430564082826,7.4613875102339495,-1.081456565566367,0.29421000925145846,0.9588732030225051,-6.958643210163494,Div,F
ZBTB17,0.009381235421504224,4.0649934856451475,0.9475897621051872,0.3562741048790079,0.97149667868865075,-6.378725205278654,Div,F
FBXO42,0.007701941091551302,6.236937896342566,1.5795980372582705,0.1321497706996558,0.8978943222530462,-6.270381102863729,Div,F
SZRD1,0.0026157419826586133,4.415960200782424,0.27023243076887216,0.7901507184148905,0.9938085667874815,-6.766139546802035,Div,F
NECAP2,-0.010642687729741505,4.863062970005458,-0.972694102694468,0.3439934604373074,0.9708688461476646,-6.149229869844341,Div,F
NBPF1,0.004988301881653174,5.58800797233226,0.7891208142020076,0.4406294826267143,0.9870908741709478,-6.956607312804055,Div,F
CROCC,9.777408226172772e-4,6.050965986571889,0.1447325189843751,0.8865801712855259,0.9939276436577068,-7.302213005401878,Div,F
MFAP2,0.003212045106870545,4.511049844457869,0.3073804690200713,0.7621911123084636,0.9938085667874815,-6.843363028513367,Div,F
ATP13A2,-0.012610815972159009,4.89325001426007,-1.163817090103956,0.2601610195192703,0.9541353297772611,-5.952747516367245,Div,F
SDHB,0.0070403615655834926,5.489614263852429,1.1103252053538375,0.2819215828648839,0.9578059204027832,-6.6688989138985715,Div,F
RCC2,0.008025310652721308,5.817311803743598,1.3892294507190057,0.18223325987758626,0.9171897981034561,-6.4324839513729275,Div,F
ARHGEF10L,-0.001017993693350409,5.618279142285157,-0.1299063325902188,0.898125902778473,0.9939392604392255,-7.189143855058686,Div,F
IGSF21,-0.0045066971434329145,5.134230127405688,-0.37253836865414103,0.7139770546483918,0.9938085667874815,-6.640577719584791,Div,F
UBR4,-0.0016871063718680666,5.63779880942876,-0.171153660442833,0.8660714570202881,0.9939276436577068,-7.175358961899192,Div,F
EMC1-AS1,0.0031035785926164993,5.433625237079437,0.4416938676599556,0.6641341499779649,0.9938085667874815,-7.089556018991064,Div,F
EMC1,0.012501743003681171,4.352191640355016,1.4227053386698578,0.1724485301255319,0.9171897981034561,-6.025876412863575,Div,F
MRTO4,0.0012953167844639455,4.345599501060446,0.1338710525886758,0.8950360083446935,0.9939276436577068,-6.759004551040997,Div,F
CAPZB,0.010339826949256265,6.375319423535982,2.4394357703936325,0.02564764446146307,0.867857171182685,-4.868596265494625,Div,F
MICOS10,0.0024694639227747584,5.283005869580698,0.24642417591733765,0.8082286451161957,0.9938085667874815,-7.151820168653342,Div,F
OTUD3,0.019562560661360532,4.73759096666997,2.9006160811789656,0.009753281024980473,0.867857171182685,-3.673006723966708,Div,F
CAMK2N1,-2.2070500738144837e-4,6.859729824366488,-0.03006141892478683,0.9763591358107762,0.9982813660361566,-7.472306159698818,Div,F
DDOST,-0.0043368667855129255,5.451222627549919,-0.4559056681757578,0.6540789648086722,0.9938085667874815,-6.905990445663841,Div,F
HP1BP3,0.00290397154860867,8.683129563411622,0.920929224882118,0.36964151470486306,0.9728218698764566,-7.392899912254369,Div,F
EIF4G3,0.00306199678564258,9.002344565729452,0.9802917096573829,0.34033541177239524,0.9708688461476646,-7.364585277037595,Div,F
ECE1,0.0060329459973199025,4.1762098138330135,0.47119555571791555,0.6433368076826016,0.992999360050403,-6.671522469998285,Div,F
USP48,0.0032964143219754087,6.821174261884302,0.6332510082944521,0.5347797919912674,0.992999360050403,-7.35297290944828,Div,F
CDC42,-0.0012019952097041785,7.206028538885697,-0.21389747358169872,0.8331057792488687,0.9939276436577068,-7.543624138492497,Div,F
ZBTB40,0.01717010963835873,4.777163029944217,2.435524679171474,0.02585372328510947,0.867857171182685,-4.5967309161736,Div,F
EPHB2,-0.013498423264327212,6.182743526348907,-1.5800789799818757,0.13203955836653183,0.8978943222530462,-5.726552651795126,Div,F
KDM1A,-9.079834030740206e-4,7.396175608874113,-0.16249758751808738,0.8727804605200729,0.9939276436577068,-7.602360238437079,Div,F
AL031428.1,0.004607015935727853,6.67477034434314,0.8881133599163442,0.3865550818364286,0.9779212314059145,-7.136252534239924,Div,F
LUZP1,0.006802610591796029,4.822111639703693,0.808662447602357,0.4295945976588873,0.983944863693893,-6.751224911402662,Div,F
HNRNPR,0.0030630558241651314,7.9156838160970695,0.8267535091991551,0.4195359459324064,0.9838783829070656,-7.399073807839538,Div,F
RPL11,-0.006275725952469298,9.454910496374836,-1.5248364190572026,0.14521456809874916,0.9002016614582007,-6.689916517842796,Div,F
ELOA-AS1,0.0016069807491738259,5.089195690604209,0.1552431327914459,0.8784108216941384,0.9939276436577068,-6.924939516639794,Div,F
ELOA,0.0022348438361708936,4.5304585496695,0.21731969834009165,0.8304793079777479,0.9939276436577068,-6.883394310010871,Div,F
PITHD1,-0.010692255675762678,5.215525021258771,-0.8771119843379372,0.3923386472426953,0.9793211907494455,-6.271505735274337,Div,F
PNRC2,0.012791638463104802,4.886213858825023,1.3353557478567317,0.19891468671011428,0.9227523583398457,-6.330156294540931,Div,F
SRSF10,9.913961457278962e-4,7.844506452870355,0.24559903191865085,0.8088572557588968,0.9938085667874815,-7.683913181457727,Div,F
SRRM1,-0.0015502796487088324,6.912696095900374,-0.2827285117869454,0.7807104917930477,0.9938085667874815,-7.439138774273828,Div,F
CLIC4,0.013780410944654336,6.564923357492754,2.6893768580602635,0.015266260294338259,0.867857171182685,-4.45931850806009,Div,F
SYF2,9.830935113082989e-4,5.506005838942883,0.09873799860231548,0.9224714104198172,0.9948222326557769,-7.169006323374525,Div,F
RSRP1,0.008904768111842437,6.692265653793964,1.5275687640060802,0.1445380549072362,0.9002016614582007,-6.461950677042375,Div,F
TMEM50A,-0.014001752646522514,6.254634069310759,-1.6926636496844116,0.10829187059875103,0.8890189464604247,-5.666201193290236,Div,F
MACO1,-0.0021223714931519265,7.378581497566622,-0.5308995315569018,0.6021790844236686,0.992999360050403,-7.446990356796697,Div,F
MAN1C1,0.011360588123607143,4.9208755736297825,1.4522777235668438,0.16416422520750198,0.9160499073945872,-6.193501486338105,Div,F
