gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
LINC01409,0.0013272217346543644,4.189327394341871,0.20033391455046726,0.8427216093220978,0.9847240317867035,-7.279345788456959,Div,M
LINC01128,0.009627106518072784,4.329149344644931,1.6702648708716146,0.10642766544883199,0.7960657576606133,-6.125443261247456,Div,M
NOC2L,-0.0011758952880381141,4.473236844710491,-0.19620065847962387,0.845923183774936,0.9854456075313665,-7.369083323826027,Div,M
HES4,-0.005209275879398772,5.693720203153903,-1.2157208507183357,0.23462013689967928,0.8878666140346853,-7.0143107809075,Div,M
AGRN,-0.015548444447751063,3.893435221702887,-2.1458290572589913,0.041039330325102354,0.644116452074969,-5.052540607985746,Div,M
C1orf159,-9.207951885462219e-5,5.360165508203458,-0.018304947322156692,0.9855302557883898,0.9974058740783509,-7.467512259556198,Div,M
SDF4,0.0025850371366872055,4.502863844445973,0.45515858734829157,0.6526361580827655,0.9675165813288366,-7.322492958483232,Div,M
UBE2J2,-0.011739488402974174,4.313999356516799,-2.279099964562785,0.03079062823032789,0.601553805929275,-5.014071497885679,Div,M
ACAP3,-0.007443711593737871,5.21784950108016,-1.2666515836883905,0.21610419556539315,0.8878666140346853,-6.590793320888003,Div,M
INTS11,0.008746449848605927,4.446918061329129,1.4543024628318906,0.15739589402202994,0.8484273579360098,-6.328849368646173,Div,M
DVL1,0.0019110601336479465,3.277993033094993,0.32277540355736006,0.7493530589639649,0.9775302701371944,-7.265359533734266,Div,M
AURKAIP1,-0.01413781025185707,4.779740450405583,-2.4169113383622847,0.02268638819016163,0.5514116083242505,-4.716638918550133,Div,M
CCNL2,6.826306919419562e-4,5.993678439200379,0.15652521549265488,0.8767842153966563,0.9896783542146291,-7.738365998072374,Div,M
MRPL20,-0.009319901655867548,5.064254204793128,-1.9041806200196447,0.06759993156388097,0.725481197371154,-5.802439185047099,Div,M
TMEM240,0.005969685973108815,3.267899277423289,0.7917739727804864,0.43539756904429994,0.9297789007519028,-6.905193802117668,Div,M
SSU72,-8.36293426344813e-4,4.877870277687615,-0.15667410950785673,0.8766679970394251,0.9896783542146291,-7.547050540596071,Div,M
AL691432.2,-7.25291825257717e-4,3.4759510499633737,-0.10070761557560282,0.9205270843461038,0.9944344651509031,-7.268000297255833,Div,M
