gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
LINC01409,-6.63264642535191,4.407301707147835,-2.2715961652015766,0.03374247856426809,0.9997962892797427,-4.593603550612407,Div,F
LINC01128,-0.580858336923835,4.268196654914728,-0.26075917858272124,0.7968172893184222,0.9997962892797427,-4.595821779852637,Div,F
LINC00115,5.145357062832597,2.1858728642133722,1.070167490008802,0.2966861330181282,0.9997962892797427,-4.5950677600326,Div,F
AL645608.6,2.594062800583283,2.0707449430616807,0.672041929040873,0.5088812765761344,0.9997962892797427,-4.595275291643302,Div,F
NOC2L,4.4754838274805895,4.254477833631122,1.7626402113918525,0.09250531987818279,0.9997962892797427,-4.592948808894704,Div,F
KLHL17,-2.7672918909419,2.3490052490934907,-0.6019427215413704,0.5536539962759299,0.9997962892797427,-4.5952435027304475,Div,F
HES4,-1.3371422597711355,6.351378648205306,-0.6232367943298446,0.539836985235659,0.9997962892797427,-4.596211560191184,Div,F
AGRN,-0.36136536756724136,3.5584442752884944,-0.12952389357763894,0.8981752637587601,0.9997962892797427,-4.5955949997934145,Div,F
C1orf159,-4.903883585255408,5.148697096192016,-2.2897296774064118,0.032489075651160305,0.9997962892797427,-4.592516537118346,Div,F
SDF4,-1.9900058602756927,4.597249407060866,-0.6062756032980714,0.5508275319775648,0.9997962892797427,-4.595625886708623,Div,F
B3GALT6,1.679770416811195,3.7742931505706894,0.5079505014553958,0.6167801266692026,0.9997962892797427,-4.595616262520705,Div,F
UBE2J2,-4.011735609219295,4.2809523972793215,-1.2533993710031546,0.22383121022098623,0.9997962892797427,-4.594860703556673,Div,F
ACAP3,-0.6494223325416928,5.159243744129524,-0.354030663842732,0.7268445301808251,0.9997962892797427,-4.596151007113591,Div,F
INTS11,1.407999940615467,4.052614691860485,0.4932891359738118,0.6269255605374672,0.9997962892797427,-4.595723473452651,Div,F
CPTP,2.717843317627933,2.320205594110299,0.6733149055513087,0.5080874027764606,0.9997962892797427,-4.5953026580626775,Div,F
DVL1,2.3162859862576295,2.383284158255973,0.6746964958147061,0.5072265828353455,0.9997962892797427,-4.595309329336057,Div,F
MXRA8,7.9927788888935245,2.157297815551326,2.25686351476906,0.03479328019457548,0.9997962892797427,-4.5934900113403465,Div,F
AURKAIP1,-0.5135475088514726,4.969989191302276,-0.20357506637522102,0.8406446235739574,0.9997962892797427,-4.596189817522854,Div,F
CCNL2,-0.5829537365362699,6.003885402199259,-0.3230181559447,0.7498746571402721,0.9997962892797427,-4.596669757591623,Div,F
MRPL20-AS1,3.329179296206376,2.643005379710568,0.9782216981048318,0.3390961936881036,0.9997962892797427,-4.59513725303515,Div,F
MRPL20,1.034485760945777,5.42377934204596,0.6615763076061854,0.5154343668180632,0.9997962892797427,-4.595964861244132,Div,F
ATAD3B,-0.05288571741638168,3.281264984366593,-0.019076899967887383,0.984959788642107,0.9997962892797427,-4.595561773025004,Div,F
ATAD3A,-1.0361987319573236,3.1080763444034414,-0.31109625360946735,0.7587933988374485,0.9997962892797427,-4.5954587778548515,Div,F
TMEM240,-2.302385481422199,4.001295328310545,-0.7756674246245876,0.44659014047760415,0.9997962892797427,-4.595323560356679,Div,F
SSU72,0.9861987733455003,5.322464335165089,0.5961891364951794,0.5574189705392503,0.9997962892797427,-4.5960364420753965,Div,F
AL691432.2,-0.3209374596476801,2.737937819242765,-0.09665040352881145,0.9239201533762081,0.9997962892797427,-4.5954314895485036,Div,F
MIB2,-7.166277780020663,3.1649650583257136,-1.3714353745863572,0.1847114045008769,0.9997962892797427,-4.594961808910451,Div,F
