gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cell_type,sex
HES4,-0.95200636029433094,5.8996061027148965,-0.43821717507288865,0.6686497443715099,0.9996057829155077,-4.5966091846273205,Div,M
C1orf159,0.6346128648791894,5.242848084567889,0.3983728962791708,0.6970252330794849,0.9996057829155077,-4.5961542158427635,Div,M
UBE2J2,2.5343326147840974,4.78583825617574,1.160253903883528,0.267463647808433,0.9996057829155077,-4.594725128429051,Div,M
ACAP3,2.747704136341383,5.295351128561465,1.2810735008436072,0.2232504705925198,0.9996057829155077,-4.594475038124025,Div,M
AURKAIP1,1.7490153015862897,5.161797608095327,0.6141450380973323,0.5500508178810757,0.9996057829155077,-4.595799698967275,Div,M
CCNL2,-0.9459700657460541,6.113928364688656,-0.594853829095491,0.5624746341539048,0.9996057829155077,-4.596414080749699,Div,M
MRPL20,1.6678413220857533,5.3290773481046285,0.825429433468218,0.4244847154854636,0.9996057829155077,-4.595558941560465,Div,M
CDK11B,2.070015476414842,5.669123872370573,1.2000635126756862,0.2521983626832743,0.9996057829155077,-4.594544588063854,Div,M
SLC35E2B,-2.4398098629691347,5.239477415050195,-1.227783614418683,0.24197735790680863,0.9996057829155077,-4.5946428171353215,Div,M
CDK11A,-2.4530183328733854,4.997614293577931,-1.1744184622689158,0.2619521945456643,0.9996057829155077,-4.594824054376969,Div,M
GNB1,0.30329042634862385,7.709633506756203,0.2555289576274397,0.8024394237318395,0.9996057829155077,-4.597614087571662,Div,M
FAAP20,-1.8117543832724645,5.426232260272819,-1.0342669043251125,0.3204599514768461,0.9996057829155077,-4.595041758819054,Div,M
RER1,2.5016539263913296,5.393537569920199,1.5933108932831073,0.13586187160690724,0.9996057829155077,-4.592936389261298,Div,M
PRDM16,-0.052921656616828176,7.10838646112747,-0.042675884248560836,0.9666289318332881,0.9996057829155077,-4.597587519497626,Div,M
CEP104,-4.949250730736986,5.149608044856044,-1.8759793850861368,0.08401798833513004,0.9996057829155077,-4.59385602798205,Div,M
NPHP4,-1.653857036814619,4.938637308842797,-0.7818226162972872,0.4487652691318559,0.9996057829155077,-4.5954931263271215,Div,M
RPL22,2.8993961463482885,8.411881186185067,1.3599539230463018,0.19768783971480614,0.9996057829155077,-4.592956303639063,Div,M
ACOT7,-1.5463917252753399,5.336344095595849,-0.8455145294173224,0.41359616327712145,0.9996057829155077,-4.59544831596337,Div,M
NOL9,2.0036990793674883,5.031129074590841,1.1488087285343578,0.27198199766471426,0.9996057829155077,-4.59467104441849,Div,M
CAMTA1,-1.202531963254219,8.295562002422326,-0.9667558684372426,0.3518612548194021,0.9996057829155077,-4.595294933159069,Div,M
