"Compound.ID","Name","Formula","GW_bucket","mean_intensity","display_name"
"Amide-Pos-000001","Choline","C5 H13 N O","16-18",26904782228.3422,"Choline"
"Amide-Pos-000002","CHOLINE","C5 H13 N O","16-18",13782263561.7183,"CHOLINE"
"C18-Pos-000001","Choline","C5 H13 N O","16-18",8304537176.19046,"Choline"
"C8-Pos-000001","1-Palmitoylglycerol","C19 H38 O4","16-18",1941809729.61035,"1-Palmitoylglycerol"
"C8-Pos-000002","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","C40 H78 N O8 P","16-18",1755730890.25184,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14"
"C18-Pos-000002","Creatine","C4 H9 N3 O2","16-18",1094947752.68198,"Creatine"
"C8-Pos-000003","Erucamide","C22 H43 N O","16-18",1010383198.37583,"Erucamide"
"C8-Pos-000005","1-Stearoylglycerol","C21 H42 O4","16-18",929834202.513439,"1-Stearoylglycerol"
"C8-Pos-000004","2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine","C42 H82 N O8 P","16-18",891113067.073606,"2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100001",NA,"C7 H10 O7 P2","16-18",835876448.000529,"Amide-Pos-100001"
"C8-Pos-000007","PC 14:0_16:1","C38 H74 N O8 P","16-18",834081123.664112,"PC 14:0_16:1"
"Amide-Pos-000023","PHOSPHOCHOLINE","C5 H14 N O4 P","16-18",775691152.450108,"PHOSPHOCHOLINE"
"C18-Pos-100001",NA,"C7 H5 N6 O P","16-18",722153996.543121,"C18-Pos-100001"
"C8-Pos-000008","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P","16-18",707441351.33134,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100006",NA,"C3 H5 P S","16-18",699524364.977478,"Amide-Pos-100006"
"Amide-Pos-000025","Creatine","C4 H9 N3 O2","16-18",643500021.187546,"Creatine"
"C8-Pos-000011","1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine","C42 H80 N O8 P","16-18",580991080.385578,"1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-000019","Hypoxanthine","C5 H4 N4 O","16-18",559666018.196106,"Hypoxanthine"
"Amide-Pos-000028","Taurine","C2 H7 N O3 S","16-18",547866714.89844,"Taurine"
"Amide-Neg-100001",NA,"C10 H14 Cl N5 O4","16-18",506892723.376254,"Amide-Neg-100001"
"C8-Pos-000010","1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine","C38 H76 N O8 P","16-18",497083971.927025,"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100003",NA,"C12 H18 N6","16-18",436273876.226026,"Amide-Pos-100003"
"C8-Pos-000015","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P","16-18",436047552.433007,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000014","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P","16-18",428968673.674903,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"C8-Pos-000012","1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine","C44 H80 N O8 P","16-18",417937390.330671,"1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine"
"C18-Pos-000006","Glutathione, oxidized","C20 H32 N6 O12 S2","16-18",394842641.905357,"Glutathione, oxidized"
"C18-Pos-100005",NA,"C4 H N4 O3 P","16-18",386460751.111294,"C18-Pos-100005"
"Amide-Neg-100003",NA,"C6 H9 Cl O7","16-18",365781251.681194,"Amide-Neg-100003"
"Amide-Pos-100008",NA,"C12 H18 N6","16-18",364407153.926856,"Amide-Pos-100008"
"Amide-Pos-000022","N,N-Diethylethanolamine","C6 H15 N O","16-18",363532648.106203,"N,N-Diethylethanolamine"
"C18-Pos-000003","L-Glutathione (reduced)","C10 H17 N3 O6 S","16-18",362116708.335984,"L-Glutathione (reduced)"
"C8-Pos-100001",NA,"C21 H33 N3 O3","16-18",352329767.026744,"C8-Pos-100001"
"C8-Pos-100002",NA,"C32 H69 N10 O5 P","16-18",341269339.225755,"C8-Pos-100002"
"C18-Pos-000004","L-Glutamic acid","C5 H9 N O4","16-18",332076605.780036,"L-Glutamic acid"
"C8-Pos-000020","Palmitoyleicosapentaenoyl phosphatidylcholine","C44 H78 N O8 P","16-18",313139511.657671,"Palmitoyleicosapentaenoyl phosphatidylcholine"
"Amide-Pos-000035","Adenine","C5 H5 N5","16-18",309977794.500959,"Adenine"
"C8-Pos-000019","1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine","C46 H84 N O8 P","16-18",295830880.618991,"1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine"
"Amide-Neg-100002",NA,"C6 H9 Cl O7","16-18",290669230.560525,"Amide-Neg-100002"
"C18-Pos-100007",NA,"C7 H12 O4 P2","16-18",290526219.264713,"C18-Pos-100007"
"C8-Neg-100001",NA,"C8 H9 N3 O5 P2","16-18",285000081.617602,"C8-Neg-100001"
