"Compound.ID","Name","Formula","Sex","mean_intensity","display_name"
"Amide-Pos-000001","Choline","C5 H13 N O","F",24224989519.6549,"Choline"
"Amide-Pos-000002","CHOLINE","C5 H13 N O","F",13991961398.7966,"CHOLINE"
"C18-Pos-000001","Choline","C5 H13 N O","F",6090499538.33112,"Choline"
"C8-Pos-000001","1-Palmitoylglycerol","C19 H38 O4","F",1973973005.93296,"1-Palmitoylglycerol"
"C8-Pos-000002","Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14","C40 H78 N O8 P","F",1752547387.77326,"Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14"
"C18-Pos-000002","Creatine","C4 H9 N3 O2","F",1343408108.56513,"Creatine"
"C8-Pos-000004","2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine","C42 H82 N O8 P","F",1032176805.67834,"2-Oleoyl-1-palmitoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100001",NA,"C7 H10 O7 P2","F",875249438.78198,"Amide-Pos-100001"
"C8-Pos-000003","Erucamide","C22 H43 N O","F",863659171.741334,"Erucamide"
"C8-Pos-000005","1-Stearoylglycerol","C21 H42 O4","F",858066036.980164,"1-Stearoylglycerol"
"C8-Pos-000007","PC 14:0_16:1","C38 H74 N O8 P","F",821713231.841841,"PC 14:0_16:1"
"Amide-Neg-100001",NA,"C10 H14 Cl N5 O4","F",719665613.426423,"Amide-Neg-100001"
"C18-Pos-100001",NA,"C7 H5 N6 O P","F",714669501.009651,"C18-Pos-100001"
"Amide-Pos-100006",NA,"C3 H5 P S","F",711711108.240932,"Amide-Pos-100006"
"Amide-Pos-000019","Hypoxanthine","C5 H4 N4 O","F",703253536.449853,"Hypoxanthine"
"Amide-Pos-000025","Creatine","C4 H9 N3 O2","F",693293267.126722,"Creatine"
"Amide-Pos-000023","PHOSPHOCHOLINE","C5 H14 N O4 P","F",686439032.574725,"PHOSPHOCHOLINE"
"C8-Pos-000008","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P","F",615466495.325817,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100004",NA,"C12 H18 N6","F",613135044.234085,"Amide-Pos-100004"
"Amide-Pos-000028","Taurine","C2 H7 N O3 S","F",588874293.337094,"Taurine"
"Amide-Pos-100003",NA,"C12 H18 N6","F",572204280.039201,"Amide-Pos-100003"
"C8-Pos-000012","1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine","C44 H80 N O8 P","F",508959214.517276,"1-Hexadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine"
"C8-Pos-000011","1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine","C42 H80 N O8 P","F",508057570.462716,"1-Palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000010","1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine","C38 H76 N O8 P","F",499719002.291193,"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine"
"Amide-Pos-100005",NA,"C12 H18 N6","F",449330229.451411,"Amide-Pos-100005"
"C8-Pos-000015","1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine","C40 H76 N O8 P","F",417846546.501451,"1,2-Dipalmitoleoyl-sn-glycero-3-phosphocholine"
"C18-Pos-000003","L-Glutathione (reduced)","C10 H17 N3 O6 S","F",414260206.800641,"L-Glutathione (reduced)"
"C18-Pos-100005",NA,"C4 H N4 O3 P","F",389379722.366201,"C18-Pos-100005"
"C18-Pos-100004",NA,"C7 H5 N6 O P","F",380355912.821872,"C18-Pos-100004"
"C8-Pos-000009","1-Palmitoyl-sn-glycero-3-phosphocholine","C24 H50 N O7 P","F",373564928.403927,"1-Palmitoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000014","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P","F",367391989.905761,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"Amide-Pos-000033","Creatinine","C4 H7 N3 O","F",362990675.616834,"Creatinine"
"Amide-Pos-000035","Adenine","C5 H5 N5","F",356076040.59827,"Adenine"
"C18-Pos-000004","L-Glutamic acid","C5 H9 N O4","F",348829194.81196,"L-Glutamic acid"
"Amide-Pos-100008",NA,"C12 H18 N6","F",345764373.788333,"Amide-Pos-100008"
"C8-Pos-100001",NA,"C21 H33 N3 O3","F",344870881.24158,"C8-Pos-100001"
"Amide-Pos-100007",NA,"C10 H22 O4 P2","F",335417530.519223,"Amide-Pos-100007"
"C8-Pos-100002",NA,"C32 H69 N10 O5 P","F",335399563.67549,"C8-Pos-100002"
"C18-Pos-100006",NA,"C7 H5 N6 O P","F",315765653.550689,"C18-Pos-100006"
"Amide-Neg-100002",NA,"C6 H9 Cl O7","F",312394898.134662,"Amide-Neg-100002"
"C8-Neg-000001","Arachidonic acid","C20 H32 O2","F",305473630.388683,"Arachidonic acid"
"C18-Pos-000005","Adenosine 5'-monophosphate","C10 H14 N5 O7 P","F",302723834.348543,"Adenosine 5'-monophosphate"
"C8-Pos-000019","1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine","C46 H84 N O8 P","F",297773142.246324,"1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine"
"C8-Pos-000020","Palmitoyleicosapentaenoyl phosphatidylcholine","C44 H78 N O8 P","F",295709337.274373,"Palmitoyleicosapentaenoyl phosphatidylcholine"
"C18-Pos-100007",NA,"C7 H12 O4 P2","F",292309035.662805,"C18-Pos-100007"
"C8-Pos-100003",NA,"C28 H44 N2 O2 S","F",271058235.401871,"C8-Pos-100003"
"Amide-Neg-100008",NA,"C2 H7 O6 P","F",267383627.509357,"Amide-Neg-100008"
"Amide-Pos-000039","Tetraglyme","C10 H22 O5","F",247761436.397687,"Tetraglyme"
"Amide-Neg-000001","L-(+)-Lactic acid","C3 H6 O3","F",244601927.146848,"L-(+)-Lactic acid"
"Amide-Pos-100013",NA,"C10 H15 N5","F",244346575.132502,"Amide-Pos-100013"
"Amide-Pos-100011",NA,"C5 H11 N4 O10 P S","F",241032952.756896,"Amide-Pos-100011"
"C8-Pos-000022","1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine","C44 H86 N O8 P","F",237348382.169187,"1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine"
"C8-Pos-000023","1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine","C36 H72 N O8 P","F",235933622.215351,"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine"
"Amide-Neg-100007",NA,"C10 H17 N3 O4 P2","F",235868321.742022,"Amide-Neg-100007"
"C18-Neg-000001","Ascorbic acid","C6 H8 O6","F",233780366.102108,"Ascorbic acid"
"Amide-Pos-000036","Hypoxanthine","C5 H4 N4 O","F",233254803.215247,"Hypoxanthine"
"Amide-Neg-100011",NA,"C2 H3 N O3 S","F",228760306.250639,"Amide-Neg-100011"
"Amide-Pos-100002",NA,"C12 H18 N6","F",226277749.914891,"Amide-Pos-100002"
"Amide-Neg-100003",NA,"C6 H9 Cl O7","F",223205820.840021,"Amide-Neg-100003"
"C8-Pos-000025","Triphenyl phosphate","C18 H15 O4 P","F",222608364.099949,"Triphenyl phosphate"
"Amide-Pos-000022","N,N-Diethylethanolamine","C6 H15 N O","F",220193606.556738,"N,N-Diethylethanolamine"
"C18-Pos-000007","2,5-Dimethyl-4-pyrimidinamine","C6 H9 N3","F",217818628.269325,"2,5-Dimethyl-4-pyrimidinamine"
"Amide-Neg-100005",NA,"C9 H21 N O5","F",216499228.027589,"Amide-Neg-100005"
"C18-Pos-100002",NA,"C7 H10 O2 S","F",208606992.746781,"C18-Pos-100002"
"C8-Neg-100003",NA,"C21 H42 O6","F",207493409.251802,"C8-Neg-100003"
"C8-Pos-000016","1,2-dioleoyl-sn-glycero-3-phosphatidylcholine","C44 H84 N O8 P","F",206156055.774191,"1,2-dioleoyl-sn-glycero-3-phosphatidylcholine"
"C18-Pos-100008",NA,"C11 H15 N O10","F",205732223.813769,"C18-Pos-100008"
"C18-Pos-100003",NA,"C7 H13 N O2 S","F",204504032.818152,"C18-Pos-100003"
"C8-Pos-000021","PC 16:1_16:2","C40 H74 N O8 P","F",204335067.353295,"PC 16:1_16:2"
"C8-Pos-000024","PC 17:2_17:2","C42 H76 N O8 P","F",203432223.398985,"PC 17:2_17:2"
"Amide-Neg-100010",NA,"C6 H7 Cl O6","F",198217146.666753,"Amide-Neg-100010"
"Amide-Pos-100012",NA,"C11 H10 N6 O9 P2","F",194828549.146826,"Amide-Pos-100012"
