"Compound.ID","Name","Formula","Molecular.Weight","Best.Match","Library.Name","Library.ID","Annot.DeltaMass[ppm]","m/z","RT[min]","Background","Reference.Ion","Smiles","InChiKey","Super.Class","Class","Sub.Class","Pathways","CID","CHEBI","HMDB","KEGG","CAS"
"Amide-Neg-000001","L-(+)-Lactic Acid","C3 H6 O3",90.03169,100,"mzCloud",2582,-0.93,89.02433,5.936,FALSE,"[M-H]-1","CC(C(=O)O)O","JVTAAEKCZFNVCJ-REOHCLBHSA-N","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","kegg:map00620;reactome:R-HSA-196807;reactome:R-HSA-197264;reactome:R-HSA-3296197;reactome:R-HSA-427601;reactome:R-HSA-428643;reactome:R-HSA-433692;reactome:R-HSA-549132;reactome:R-HSA-561048;reactome:R-HSA-5619070;reactome:R-HSA-70268;reactome:R-HSA-71406;reactome:R-HSA-9749641;wiki:WP2456;wiki:WP2766;wiki:WP2868;wiki:WP3644;wiki:WP4097;wiki:WP4290;wiki:WP4595;wiki:WP4629;wiki:WP5211;wiki:WP5239;wiki:WP5312;wiki:WP534;wiki:WP661",107689,"CHEBI:422","HMDB0000190","C00186","79-33-4"
"Amide-Neg-000003","2-Deoxyribose 5-Phosphate","C5 H11 O7 P",214.02424,89.3,"mzCloud",1511,0.96,213.01717,4.586,FALSE,"[M-H]-1","C1C(C(OC1O)COP(=O)(O)O)O","KKZFLSZAWCYPOC-VPENINKCSA-N","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","reactome:R-HSA-71336;wiki:WP4050",45934311,"CHEBI:190741","HMDB0001031",NA,"102916-66-5"
"Amide-Neg-000004","Hypoxanthine","C5 H4 N4 O",136.03851,99.6,"mzCloud",441,-0.26,135.0312,4.519,FALSE,"[M-H]-1","C1=NC2=C(N1)C(=O)NC=N2","FDGQSTZJBFJUBT-UHFFFAOYSA-N","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","reactome:R-HSA-110331;reactome:R-HSA-425397;reactome:R-HSA-73884;reactome:R-HSA-73927;reactome:R-HSA-73929;reactome:R-HSA-74217;reactome:R-HSA-74259;reactome:R-HSA-83936;reactome:R-HSA-8956319;reactome:R-HSA-8956321;reactome:R-HSA-9734207;reactome:R-HSA-9734281;reactome:R-HSA-9735804;wiki:WP1937;wiki:WP3399;wiki:WP4042;wiki:WP4082;wiki:WP4224;wiki:WP4792;wiki:WP661",790,NA,"HMDB0000157",NA,"68-94-0"
"Amide-Neg-000005","Ascorbic Acid","C6 H8 O6",176.03209,77.8,"mzCloud",325,-0.52,175.02472,9.485,FALSE,"[M-H]-1","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O","CIWBSHSKHKDKBQ-JLAZNSOCSA-N","Organoheterocyclic compounds","Dihydrofurans","Furanones","kegg:map00350;reactome:R-HSA-1234174;reactome:R-HSA-1234176;reactome:R-HSA-1474151;reactome:R-HSA-1474290;reactome:R-HSA-1650814;reactome:R-HSA-196836;reactome:R-HSA-209776;reactome:R-HSA-209905;reactome:R-HSA-5221030;reactome:R-HSA-71262;reactome:R-HSA-8963684;reactome:R-HSA-8963691;reactome:R-HSA-8978934;wiki:WP1533;wiki:WP1995;wiki:WP2725;wiki:WP2727;wiki:WP2848;wiki:WP3372;wiki:WP3548;wiki:WP4269;wiki:WP4981;wiki:WP4990;wiki:WP4996",54670067,"CHEBI:29073","HMDB0000044","C00072","50-81-7"
"Amide-Neg-000007","Itaconic Acid","C5 H6 O4",130.02661,99.3,"mzCloud",1306,-0.25,129.0193,3.211,FALSE,"[M-H]-1","C=C(CC(=O)O)C(=O)O","LVHBHZANLOWSRM-UHFFFAOYSA-N","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,811,"CHEBI:30838","HMDB0002092","C00490","97-65-4"
"Amide-Neg-000009","N-Acetylaspartic Acid","C6 H9 N O5",175.04807,72.8,"mzCloud",1376,-0.27,174.04075,12.561,FALSE,"[M-H]-1","CC(=O)NC(CC(=O)O)C(=O)O","OTCCIMWXFLJLIA-BYPYZUCNSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","kegg:map00250;reactome:R-HSA-8963693;reactome:R-HSA-8964539;wiki:WP4519;wiki:WP4979;wiki:WP4992;wiki:WP5365",65065,"CHEBI:21547","HMDB0000812","C01042","997-55-7"
"Amide-Neg-000012","Ascorbic Acid","C6 H8 O6",176.03209,77.8,"mzCloud",325,-0.46,175.02473,10.076,FALSE,"[M-H]-1","O=C1O[C@H]([C@@H](O)CO)C(O)=C1O","CIWBSHSKHKDKBQ-JLAZNSOCSA-N","Organoheterocyclic compounds","Dihydrofurans","Furanones","kegg:map00350;reactome:R-HSA-1234174;reactome:R-HSA-1234176;reactome:R-HSA-1474151;reactome:R-HSA-1474290;reactome:R-HSA-1650814;reactome:R-HSA-196836;reactome:R-HSA-209776;reactome:R-HSA-209905;reactome:R-HSA-5221030;reactome:R-HSA-71262;reactome:R-HSA-8963684;reactome:R-HSA-8963691;reactome:R-HSA-8978934;wiki:WP1533;wiki:WP1995;wiki:WP2725;wiki:WP2727;wiki:WP2848;wiki:WP3372;wiki:WP3548;wiki:WP4269;wiki:WP4981;wiki:WP4990;wiki:WP4996",54670067,"CHEBI:29073","HMDB0000044","C00072","50-81-7"
"Amide-Neg-000013","Β-Hydroxypropionic Acid","C3 H6 O3",90.03169,87.3,"NIST23",5452,-0.26,89.02439,2.216,FALSE,"[M-H]-1","O=C(O)CCO","ALRHLSYJTWAHJZ-UHFFFAOYSA-N","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","kegg:map00640;wiki:WP4157;wiki:WP4236;wiki:WP4686",68152,"CHEBI:33404","HMDB0000700","C01013","503-66-2"
"Amide-Neg-000014","D-(-)-Erythrose","C4 H8 O4",120.04226,73.4,"NIST23",2897,-0.42,179.05606,11.909,FALSE,"[M-H+HAc]-1","O=C[C@H](O)[C@H](O)CO","YTBSYETUWUMLBZ-IUYQGCFVSA-N","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","wiki:WP1946",94176,"CHEBI:27904",NA,NA,"583-50-6"
"Amide-Neg-000015","Dehydroascorbic Acid","C6 H6 O6",174.01644,87,"MoNA",44487,0.15,173.00919,3.238,FALSE,"[M-H]-1","C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O","SBJKKFFYIZUCET-JLAZNSOCSA-N","Organoheterocyclic compounds","Lactones","Gamma butyrolactones","kegg:map00350",440667,"CHEBI:27956","HMDB0001264","C05422","490-83-5"
