"Compound.ID","Name","Formula","Sample02","Sample03","Sample04","Sample06","Sample07","Sample13","Sample15","Sample17","Sample18","Sample21","Sample23","Sample24","Sample26","Sample31","Sample33","Sample37","Sample40","Sample41","Sample42","Sample43","Sample46","Sample47","Sample49","Sample50","mean_value","std_dev","percent_RSD","highest_intensity","median_intensity","InChiKey","Super.Class","Class","Sub.Class","Pathways","CID","CHEBI","HMDB","KEGG","CAS","Molecular.Weight","Best.Match","Library.Name","Library.ID","Annot.DeltaMass[ppm]","m/z","RT[min]","Background","Reference.Ion","Smiles","LC_column","ionization","same_column"
"Amide-Neg-000032","Ethyl sulfate","C2 H6 O4 S",194080.598747916,1297881.8913663,365144.9721976,132901.811640531,239561.852041525,214626.961950369,444927.546094973,355729.443108234,138203.104489976,243472.20472462,132502.242795408,156807.020613295,114479.862351498,165600.338181562,102645.974059485,122966.912092885,251779.223279784,239139.118463591,321230.002621301,62634086.4253547,315732.517296537,182362.318453798,215286.342214303,334570.365308376,2871488.29372702,12731578.2120238,443.379074183825,62634086.4253547,227212.730338947,"KIWBPDUYBMNFTB-UHFFFAOYSA-N","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters",NA,6004,"CHEBI:156187","HMDB0031233",NA,"540-82-9",125.99868,90.6,"NIST23",7742,-0.46,124.99134,0.886,FALSE,"[M-H]-1","CCOS(=O)(=O)O",NA,NA,NA
"Amide-Neg-000081","Isethionate","C2 H6 O4 S",8201126.47946279,20603515.1104078,5484412.93192208,10710816.5774321,16947788.3180455,14035266.1893691,22666785.9238826,27766743.1431805,25403901.8125233,15723735.1861249,7888770.25978737,23323741.4107356,12793181.541146,23230919.6602203,20217186.8797968,9063990.86357961,15381587.5119524,13950804.6676706,28281828.7644251,15893999.1323801,18540637.5667003,11121187.4645501,18564053.8571956,14437749.9346086,16676405.4661291,6353220.76976348,38.0970634389244,28281828.7644251,15808867.1592525,"SUMDYPCJJOFFON-UHFFFAOYSA-N","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives",NA,7866,"CHEBI:1157","HMDB0003903","C05123","107-36-8",125.99868,86.1,"MoNA",140535,-0.39,124.99135,2.532,FALSE,"[M-H]-1","C(CS(=O)(=O)O)O",NA,NA,NA
"Amide-Neg-000104","Ethyl hydrogen malonate","C5 H8 O4",NA,10375404.1635876,20182680.2140981,5507805.40184006,NA,NA,8561054.62457912,8724684.96480309,3187369.43497031,5100845.14102227,NA,13902559.7368572,NA,2082402.56083133,NA,14589772.4005767,14864978.001065,NA,NA,2033164.29525912,16108615.5151499,16837817.9011574,8575655.6807004,NA,10042320.6690998,5796020.83654391,57.7159506007235,20182680.2140981,8724684.96480309,"HGINADPHJQTSKN-UHFFFAOYSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives",NA,70615,"CHEBI:193957","HMDB0000576",NA,"1071-46-1",132.04226,72.9,"NIST23",2967,-0.1,131.03493,2.297,FALSE,"[M-H]-1","CCOC(=O)CC(=O)O",NA,NA,NA
"Amide-Neg-000115","CITRAMALATE","C5 H8 O5",6770665.73533013,NA,5753413.24546305,8280714.45701245,13172690.2065913,NA,14413559.5512637,NA,NA,10754827.5209528,5339924.38573276,NA,8019740.44574715,14569511.5110864,NA,7234824.8099934,NA,NA,12617546.8471787,NA,12599339.3659406,NA,NA,12716921.4775438,10172590.735372,3370214.87744467,33.1303496338037,14569511.5110864,10754827.5209528,"XFTRTWQBIOMVPK-UHFFFAOYSA-N","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,1081,"CHEBI:15584","HMDB0000426","C00815","597-44-4",148.03717,63.1,"MoNA",44468,-0.16,147.02987,6.34,FALSE,"[M-H]-1","CC(CC(=O)O)(C(=O)O)O",NA,NA,NA
"Amide-Neg-000123","5-Aminovaleric acid","C5 H11 N O2",5265522.23530103,9869826.06679038,4298140.86373484,7420509.85573426,11434163.6197223,9513090.58534044,10743614.0396948,9427238.31704339,13957913.1844765,8917487.99520342,4277425.4448477,7255536.31309359,7928457.96421522,14402721.4190169,8832878.11488148,5524470.70425566,10616240.2649697,12067421.6260682,15286592.6942215,15145427.1394444,10241932.4838407,7131363.06760965,9990752.54285338,9139919.72746346,9528693.59457595,3160424.64046372,33.1674495469425,15286592.6942215,9470164.45119192,"JJMDCOVWQOJGCB-UHFFFAOYSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","kegg:map00564;reactome:R-HSA-1483191;reactome:R-HSA-2980736;reactome:R-HSA-381771;reactome:R-HSA-400451;reactome:R-HSA-400508;reactome:R-HSA-400511;reactome:R-HSA-422356;reactome:R-HSA-434316;reactome:R-HSA-444209;wiki:WP1831;wiki:WP2525;wiki:WP2533;wiki:WP2728;wiki:WP3933;wiki:WP4288;wiki:WP4722;wiki:WP4906;wiki:WP528",138,"CHEBI:15887","HMDB0003355","C00431","660-88-8",117.07898,94.6,"mzCloud",251,-0.81,116.07161,9.973,FALSE,"[M-H]-1","C(CCN)CC(=O)O",NA,NA,NA
"Amide-Neg-000161","Saccharate","C6 H10 O8",1021007.81122958,2901042.38584129,241913.080004596,2962099.92982169,2435964.55929497,2245912.81898896,1373705.05930479,8712458.83213682,2534866.02377853,3379303.11387014,837126.586752491,824935.212034755,531867.132980493,11337409.3658639,975775.586897445,617211.32274417,1989569.89894835,4587107.49464279,8550260.05218356,3318352.19800253,1652770.95867787,1640478.63706091,2679511.1622919,2015458.16730779,2890254.47461085,2811001.62540583,97.2579283277232,11337409.3658639,2130685.49314837,"DSLZVSRJTYRBFB-LLEIAEIESA-N","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,33037,"CHEBI:16002","HMDB0000663","C00818","25525-21-7",210.03757,50.4,"MoNA",139328,-0.15,209.03026,13.578,FALSE,"[M-H]-1","[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O",NA,NA,NA
"Amide-Neg-000162","L-(+)-Tartaric acid","C4 H6 O6",NA,NA,NA,NA,NA,NA,NA,NA,5982752.30500189,6291778.99416671,NA,NA,NA,NA,NA,NA,NA,NA,NA,6208915.27421571,NA,NA,NA,NA,6161148.85779477,159954.982908681,2.5961876039777,6291778.99416671,6208915.27421571,"FEWJPZIEWOKRBE-JCYAYHJZSA-N","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,444305,"CHEBI:15671","HMDB0000956","C00898","133-37-9",150.01644,86.5,"mzCloud",1245,-0.08,209.03028,13.486,FALSE,"[M-H+HAc]-1","C(C(C(=O)O)O)(C(=O)O)O",NA,NA,NA
"Amide-Neg-000181","Ketoleucine","C6 H10 O3",3271972.77805099,8311644.07783245,1303663.44698773,3812345.3607888,7421078.1714717,10065174.6877825,5277270.45572928,7395433.202103,7389004.47920452,3232531.70129668,4059255.23030987,3244343.20503715,3521127.3362733,4409851.08442467,2680725.5781722,1892320.29908772,6740066.43780211,3393709.27932839,8152018.74968263,5547872.41515472,4433814.17115002,3355428.8489656,4842921.23605998,2906908.93669468,4860853.38205795,2279772.48837248,46.9006635087456,10065174.6877825,4234553.15736727,"BKAJNAXTPSGJCU-UHFFFAOYSA-N","Organic acids and derivatives","Keto acids and derivatives","Short-chain keto acids and derivatives","kegg:map00280;kegg:map01040;reactome:R-HSA-389887;reactome:R-HSA-390918;reactome:R-HSA-70635;reactome:R-HSA-70895;wiki:WP106;wiki:WP1878;wiki:WP2525;wiki:WP3556;wiki:WP4487;wiki:WP4571;wiki:WP4583;wiki:WP4595;wiki:WP4686;wiki:WP497;wiki:WP4973",70,"CHEBI:48430","HMDB0000695","C00233","816-66-0",130.06299,76,"MoNA",139767,-0.18,129.05569,1.176,FALSE,"[M-H]-1","CC(C)CC(=O)C(=O)O",NA,NA,NA
"Amide-Neg-000208","2,3-Dihydroxypropane-1-sulfonic acid","C3 H8 O5 S",1063051.38934624,2046066.07487435,NA,1563253.48932431,NA,2185541.56430355,3034552.50275199,1351670.58412729,1330945.30945046,5685392.95832224,1425828.04143186,1312663.79220148,1668647.42262026,NA,NA,7658474.65753807,1847399.32301167,1851771.40827413,2739770.11250252,1896299.95130554,2441100.15575637,7262292.48410734,NA,2300375.893237,2666584.05865719,1967700.65156728,73.7910603335023,7658474.65753807,1896299.95130554,"YPFUJZAAZJXMIP-UHFFFAOYSA-N","Organic acids and derivatives","Organic sulfonic acids and derivatives","Organosulfonic acids and derivatives",NA,112025,"CHEBI:77267",NA,NA,"10296-76-1",156.00924,71.9,"NIST23",3826,-1.49,155.00174,0.64,FALSE,"[M-H]-1","O=S(=O)(O)CC(O)CO",NA,NA,NA
"Amide-Neg-000240","Lauric acid","C12 H24 O2",5759992.51468236,4696477.81143037,1889196.70187254,1469491.09595209,3905193.49249272,4167141.87503774,4649725.37079692,2803141.34549361,3649160.94889725,2408859.09277555,2075670.76304671,3483200.70949319,2846929.35776299,3271325.38535324,1772679.58124433,2230909.37946423,3429212.65432682,2311392.06938455,2867877.08343104,2658301.53729258,2960638.71943222,1798786.95283493,2423949.64128679,4336757.99883282,3077750.5034424,1089040.70040214,35.3843074409076,5759992.51468236,2857403.22059701,"POULHZVOKOAJMA-UHFFFAOYSA-N","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","kegg:map01040;reactome:R-HSA-112310;reactome:R-HSA-211935;reactome:R-HSA-2980736;reactome:R-HSA-381771;reactome:R-HSA-400451;reactome:R-HSA-400508;reactome:R-HSA-400511;reactome:R-HSA-422356;reactome:R-HSA-425397;reactome:R-HSA-434316;reactome:R-HSA-444209;reactome:R-HSA-5619108;reactome:R-HSA-804914;wiki:WP1831;wiki:WP1871;wiki:WP1937;wiki:WP206;wiki:WP2728;wiki:WP4724",3893,"CHEBI:30805","HMDB0000638","C02679","143-07-7",200.17763,95.1,"mzCloud",3015,0.03,199.17036,1.156,FALSE,"[M-H]-1","CCCCCCCCCCCC(=O)O",NA,NA,NA
"Amide-Neg-000245","6-Oxohexanoic acid","C6 H10 O3",2079779.73007853,1959078.09605123,NA,NA,NA,NA,NA,NA,3236118.86614107,1857759.69400886,1579356.62840363,3034299.00645495,1863198.39724583,3652133.96060617,3596647.10650194,1361089.7959421,2788277.19191907,3628730.49480497,3438281.23025712,NA,3703234.11417806,2111425.35117558,2252584.58320692,3656305.08101249,2694017.60752874,843499.529806993,31.3100971370691,3703234.11417806,2788277.19191907,"PNPPVRALIYXJBW-UHFFFAOYSA-N","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,440918,"CHEBI:2490","HMDB0012882","C06102","928-81-4",130.06299,60.1,"NIST23",2143,-1.23,129.05556,2.915,FALSE,"[M-H]-1","O=CCCCCC(=O)O",NA,NA,NA
"Amide-Neg-000274","(3-Oxo-2-piperazinyl)acetic acid","C6 H10 N2 O3",451541.203996406,1976638.27901007,4235207.60507565,754510.47705426,4572528.0515756,1563373.23081074,2727944.972374,718923.55392964,473661.642648377,758687.459816718,NA,1777310.76496215,3785826.8050682,601254.826294308,2360938.4951732,1259657.42131453,1971301.59260911,1900967.79592787,2801728.77191017,565137.481005483,2780204.5427673,1023003.95929109,1425382.82680264,3901494.29322904,1929879.39359333,1275249.07945645,66.0792111512218,4572528.0515756,1777310.76496215,"DXJIRWKIYQMFBA-UHFFFAOYSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,4777784,NA,NA,NA,"405214-33-7",158.06914,65.3,"NIST23",12992,-0.28,157.06181,4.76,FALSE,"[M-H]-1","O=C(O)CC1NCCNC1=O",NA,NA,NA
"Amide-Neg-000301","Dehydro-L-(+)-ascorbic acid dimer","C12 H12 O12",443830.501925869,1661514.00095593,91128.0966443818,702923.836663036,NA,578692.13132807,1271721.50976321,696020.425646663,1757148.14283488,1428586.80204393,165242.481046372,68765.0772253986,502772.601587086,2513482.01201148,364136.527158128,399928.671536547,1335853.83189402,1324544.62698667,1537581.18200318,NA,1479677.2554228,848799.974525814,1678688.82491121,1170484.27794582,1000978.30873002,650199.535444318,64.9564061252485,2513482.01201148,1009642.12623582,"MUYNUOXIHSNESP-UHFFFAOYSA-N","Organoheterocyclic compounds","Furofurans","Isosorbides",NA,4613280,"CHEBI:132138",NA,NA,NA,348.03288,88.3,"NIST23",11564,0.62,347.02581,3.19,FALSE,"[M-H]-1","O=C1OC2C(O)COC23OC24OCC(O)C2OC(=O)C4(O)OC13O",NA,NA,NA
"Amide-Neg-000304","O-Acetylserine","C5 H9 N O4",2527244.52726404,3055792.06467312,1256709.89309177,3840606.23981231,2227304.33766205,2675172.5583131,2783577.58229366,1837530.35027864,2595763.74458646,2170153.80856637,2076536.69655977,866368.362073785,1329691.43431243,2500454.00590808,2371833.03475434,2473158.12506757,2105665.76921006,1700568.04586593,2444120.62179313,2182368.1162469,2114325.14847506,2052236.49438667,1797096.03326014,1419381.84339289,2183485.78491034,630220.310947741,28.8630370439356,3840606.23981231,2176260.96240664,"VZXPDPZARILFQX-BYPYZUCNSA-N","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,99478,"CHEBI:17981","HMDB0003011","C00979","5147-00-2",147.05316,92.9,"mzCloud",527,-0.38,146.04583,8.904,FALSE,"[M-H]-1","O=C(OCC(N)C(=O)O)C",NA,NA,NA
"Amide-Neg-000315","5,5-Dimethylhydantoin","C5 H8 N2 O2",1243634.16513843,2192629.81249809,1077949.99862627,1532881.36363795,1423578.94090041,1879886.93957377,1935448.57227305,1923772.2335476,2250846.70812776,1884587.28775228,1148964.00071933,1360380.73239747,1245438.66478685,3057468.89391084,1359910.70724881,1093483.51886229,2154303.93570002,2099084.67908994,3506011.75644315,2661068.25909143,2464361.85829569,1415630.08272534,2381456.95640812,1981126.56078443,1886412.77618914,635712.299716486,33.6995331955251,3506011.75644315,1904179.76064994,"YIROYDNZEPTFOL-UHFFFAOYSA-N","Organoheterocyclic compounds","Azolidines","Imidazolidines",NA,6491,"CHEBI:183672",NA,NA,"77-71-4",128.05858,61.1,"mzCloud",2985,-0.17,127.05129,12.309,FALSE,"[M-H]-1","CC1(C(=O)NC(=O)N1)C",NA,NA,NA
"Amide-Neg-000359","2-Dodecoxyethyl hydrogen sulfate","C14 H30 O5 S",880721.36094772,579496.226253385,2548202.50951531,1123551.23210832,1008804.10132652,1008960.73275576,2018969.15707372,1751391.38834962,185595.270482418,243733.431479689,361051.830797672,414679.062277762,555173.990693595,1203220.21913692,815556.638631631,228202.862710948,507839.817083137,240619.649568458,922570.276472689,348086.997706054,776462.497308668,473681.34577806,2266876.69746884,923321.097798892,891115.349738574,658204.471409013,73.8629933377435,2548202.50951531,796009.567970149,"QTDIEDOANJISNP-UHFFFAOYSA-N","Organic acids and derivatives","Organic sulfuric acids and derivatives","Sulfuric acid esters",NA,24761,NA,NA,NA,"50602-06-7",310.18139,86.1,"NIST23",2221,0.31,309.17421,0.734,FALSE,"[M-H]-1","CCCCCCCCCCCCOCCOS(=O)(=O)O",NA,NA,NA
