Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Hydroxy acids and derivatives,8,Class,0,0.030382821976577493,1378738.9428716989,2837838.1862798575,1.0414430133540546,0.8000809787165406,1,FALSE,FALSE,TRUE,Higher in Males
Oxepanes,1,Class,0,0.030382821976577493,103686.41884939838,120248.31021235575,0.21378968257945413,0.8000809787165406,1,FALSE,FALSE,TRUE,Higher in Males
Piperidines,5,Class,0,0.030382821976577493,1253429.6675593439,1908481.2409095275,0.6065439599541906,0.8000809787165406,1,FALSE,FALSE,TRUE,Higher in Males
Macrolides and analogues,2,Class,1,0.060601969712006105,275328.1484209247,341151.0736019746,0.3092586437664366,0.8752002258808808,1,FALSE,FALSE,FALSE,Higher in Males
Tropane alkaloids,1,Class,11,0.11161176829829224,483205.799814179,296398.41100246203,-0.7051000577730554,0.8752002258808808,1,FALSE,FALSE,FALSE,Higher in Females
Lactones,7,Class,2,0.1123511976904639,1032379.0699978247,1613292.7204279006,0.6440354306710047,0.8752002258808808,1,FALSE,FALSE,FALSE,Higher in Males
Pyrrolidines,2,Class,2,0.1123511976904639,3533240.7207161523,4879649.844874229,0.46578558242420764,0.8752002258808808,1,FALSE,FALSE,FALSE,Higher in Males
Isobenzofurans,1,Class,2,0.1123511976904639,45255167.69904183,49203149.9312604,0.12066813494852661,0.8752002258808808,1,FALSE,FALSE,FALSE,Higher in Males
Glycerolipids,10,Class,2,0.1123511976904639,1199368.6736481946,2049603.290687795,0.7730695004690986,0.8752002258808808,1,FALSE,FALSE,FALSE,Higher in Males
Phenylpropanoic acids,1,Class,2,0.1123511976904639,109285.4126627862,205861.0006845299,0.9135697006680158,0.8752002258808808,1,FALSE,FALSE,FALSE,Higher in Males
