Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Alkaloids and derivatives,8,Super.Class,13,0.19393085228241067,458441.46599691286,350513.8571372171,-0.3872660611074519,0.9409728441175793,1,FALSE,FALSE,FALSE,Higher in Females
Phenylpropanoids and polyketides,16,Super.Class,4,0.312321421676216,603087.8588128871,811644.0416955771,0.4284789596320287,0.9409728441175793,1,FALSE,FALSE,FALSE,Higher in Males
Organic nitrogen compounds,40,Super.Class,4,0.312321421676216,1204153.469837632,1304957.1272079789,0.11598313369731851,0.9409728441175793,1,FALSE,FALSE,FALSE,Higher in Males
Benzenoids,49,Super.Class,5,0.47048642205878966,1320176.2040360637,1712075.554611665,0.3750158708093047,0.9409728441175793,1,FALSE,FALSE,FALSE,Higher in Males
Organosulfur compounds,1,Super.Class,5,0.47048642205878966,155882.87444785127,169492.1879809915,0.12075634016152596,0.9409728441175793,1,FALSE,FALSE,FALSE,Higher in Males
Organic acids and derivatives,181,Super.Class,6,0.6650055421020291,1325031.230962587,1592120.5415159524,0.2649232039606452,0.9835932383035575,1,FALSE,FALSE,FALSE,Higher in Males
Organic oxygen compounds,59,Super.Class,7,0.8852339144732017,2832597.878031545,2758055.248610254,-0.038474451203112874,0.9835932383035575,1,FALSE,FALSE,FALSE,Higher in Females
Organoheterocyclic compounds,75,Super.Class,9,0.8852339144732017,830762.359211986,829198.900906918,-0.002717646808434936,0.9835932383035575,1,FALSE,FALSE,FALSE,Higher in Females
Lipids and lipid-like molecules,371,Super.Class,7,0.8852339144732017,2197206.845104696,2111661.9946687277,-0.05729176477718119,0.9835932383035575,1,FALSE,FALSE,FALSE,Higher in Females
"Nucleosides, nucleotides, and analogues",46,Super.Class,8,1,1271767.206638265,1313520.391026655,0.046603983398574925,1,1,FALSE,FALSE,FALSE,Higher in Males
