Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
Pc(28:6_10:0cooh),-0.08385335853336452,20.098870050691282,-5.161089614118394,2.7634410169529116e-5,0.014508065339002786,2.545155417203402,C8-Pos-005016,Lipids and lipid-like molecules,Glycerophospholipids
Pe(22:3_26:5),-0.18127075207019056,17.97499355341092,-4.638393242625193,1.0409824452730038e-4,0.027325789188416348,1.3523432466056482,C8-Neg-003594,Lipids and lipid-like molecules,Glycerophospholipids
L-(+)-Lactic Acid,0.34934301314128324,18.519230477889604,4.09350149798305,4.7994905580748675e-4,0.08399108476631018,-0.0036916392348107507,Amide-Neg-000066,Organic acids and derivatives,Hydroxy acids and derivatives
(2s)-2-[(2-Azaniumylacetyl)Amino]-4-Methylpentanoate,0.35482834297269805,19.113347712214267,3.826095050741559,8.164730165051072e-4,0.10716208341629532,-0.5040464949678034,C18-Pos-000888,Organic acids and derivatives,Carboxylic acids and derivatives
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.13047145471925173,18.728926528869376,3.6584781715360393,0.0012423733996777533,0.12589520004706894,-0.8815072432620923,C18-Pos-004537,Lipids and lipid-like molecules,Glycerophospholipids
Dl-Dipalmitoylphosphatidylcholine,-0.1580994706702484,20.195823426227083,-3.599561196805257,0.0014388022862522165,0.12589520004706894,-1.0133160858219066,C8-Pos-003901,Lipids and lipid-like molecules,Glycerophospholipids
Cytidine 5'-Triphosphate,0.15140864757794564,16.50791891185648,3.4849126304871145,0.0019119379446401444,0.14339534584801084,-1.268282717200746,Amide-Pos-001770,Organic oxygen compounds,Organooxygen compounds
Pe(O-10:0_6:0),0.49976573276161995,17.028558103303713,3.444694985155908,0.0023102587623953226,0.15161073128219305,-1.4031232154261337,C8-Pos-001872,Lipids and lipid-like molecules,Glycerophospholipids
Tg(O-27:8_21:6),0.1786558268232632,20.390740991546885,3.5449943724991515,0.002937813215335534,0.1713724375612395,-1.5111248988338444,C8-Pos-004339,Lipids and lipid-like molecules,Glycerolipids
Vidarabine Phosphate,0.1028046749123264,21.38427070981652,3.142561735396676,0.004411365461013622,0.23159668670321515,-2.014694624436375,C18-Pos-002279,"Nucleosides, nucleotides, and analogues",Purine nucleotides
N-Acetyl-Serine,0.11189455727454456,28.499103548189655,3.0504861169055224,0.0055016688192698554,0.2503129285756395,-2.210769338629427,Amide-Neg-000288,Organic acids and derivatives,Carboxylic acids and derivatives
"D,L-Serine",-0.07371816903173868,22.22816274710524,-3.03407210721169,0.005721438367443189,0.2503129285756395,-2.2454819906032375,Amide-Neg-000119,Organic acids and derivatives,Carboxylic acids and derivatives
Glycerol Monopalmitate,-0.10946678322253739,17.8050755612734,-2.9783454325147627,0.006532021334810013,0.26379316929040436,-2.3627616715766306,C8-Pos-000593,Lipids and lipid-like molecules,Glycerolipids
Prolinamide,0.12032251036208265,15.568734103312568,2.957811578186063,0.007053082540000458,0.26449059525001717,-2.4120282759901164,Amide-Pos-000230,Organic acids and derivatives,Carboxylic acids and derivatives
Pc(20:2_21:4),-0.10608739622460846,23.713135520948562,-2.9076608460374924,0.0077187718257344514,0.2701570139007058,-2.510193859233123,C8-Neg-003571,Lipids and lipid-like molecules,Glycerophospholipids
3-Hexadecyl-4-Methoxy-5-Methyloxolan-2-One,-0.375569793406209,20.328782045918544,-2.8588588248849267,0.008655067319400649,0.27091250428085545,-2.6110726515927016,C8-Pos-000955,Organoheterocyclic compounds,Lactones
Γ-Aminobutyric Acid,-0.09277682577801934,16.560962722989782,-2.8407968040602185,0.009256722419308553,0.27091250428085545,-2.662307699274353,Amide-Neg-000114,Organic acids and derivatives,Carboxylic acids and derivatives
Ps(24:4_24:4),-0.3559072705363514,19.655427133911733,-2.8286149583157156,0.009288428718200757,0.27091250428085545,-2.6732001729755055,C8-Neg-003707,Lipids and lipid-like molecules,Glycerophospholipids
