Name,Correlation_FDR,Correlation_nominal,limma_FDR,limma_nominal
Acrylic Acid,1,0,0,1
"L-Gulono-1,4-Lactone",1,0,0,1
"N,N-Dimethylguanosine",1,0,1,0
"3,3',5,5'-Tetra-Tert-Butylbiphenyl-2,2'-Diol",1,0,1,0
Pc 12:0_28:7,1,0,0,1
Ps 20:2_20:2,1,0,0,1
1-Palmitoyl-2-Oleoyl-Phosphatidylglycerol,1,0,1,0
Pe 16:1_22:6,1,0,1,0
Penicillin G,1,0,1,0
Palmitoyl Ethanolamide,1,0,1,0
"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14",1,0,1,0
"Spectral Match To Cholesta-4,6-Dien-3-One From Nist14",1,0,0,1
"Didodecyl 3,3'-Thiodipropionate Dioxide",1,0,1,0
16-Deoxyvertaline B,1,0,1,0
Eicosapentaenoic Acid Methyl Ester,1,0,1,0
Cer 18:1;2o/14:0,1,0,1,0
Bmp 22:5_22:6,1,0,1,0
Heptanoylcarnitine,1,0,1,0
"3-(5,6-Dihydroxyheptyl)-4-Methyl-2h-Furan-5-One",1,0,1,0
Ethyl Hydrogen Malonate,0,1,0,1
Xanthine,0,1,0,0
Pro,0,1,0,1
Glycolic Acid,0,1,0,1
"1-Hydroxy-2,5-Pyrrolidinedione",0,1,0,1
6-Oxohexanoic Acid,0,1,0,1
Oxoadipate,0,1,0,1
Dehydro-L-(+)-Ascorbic Acid Dimer,0,1,0,1
"2,6-Dioxo-4-Piperidinecarboxylic Acid",0,1,0,1
2-Methylbenzoic Acid,0,1,0,1
N-Methylglutamic Acid,0,1,0,1
Ornithine,0,1,0,1
Adenosine,0,1,0,1
"(Αs,1s,2r)-Α-Amino-2-Carboxycyclopropaneacetic Acid",0,1,0,1
L-N-Acetylhistidine,0,1,0,0
Imidazolelactic Acid,0,1,0,1
L-2-Aminoadipic Acid,0,1,0,1
L-Cystathionine,0,1,0,1
Ophthalmate,0,1,0,1
Υ-L-Glutamyl-L-Glutamic Acid,0,1,0,1
N-(4-Hydroxy-3-Methylphenyl)Acetamide,0,1,0,1
Docosahexaenoic Acid,0,1,0,1
Trans-10-Heptadecenoic Acid,0,1,0,1
Phosphatidylethanolamine Lyso 18:0,0,1,0,1
Phosphatidylethanolamine Alkenyl 18:1-20:4,0,1,0,1
Myristyl Sulfate,0,1,0,1
Phosphatidylethanolamine Alkenyl 18:1-22:6,0,1,0,0
Pi 20:4_20:4,0,1,0,1
