pathway,pval,padj,log2err,ES,NES,size,leadingEdge,analysis,pathway_source
Nicotinate metabolism (Reactome),0.0018970427577732307,0.37427552479222925,0.45505986738722953,0.8152813070606683,1.818350892148766,7,L-(+)-Lactic Acid;Nicotinamide;L-Glutamine,GW (limma t-statistic),Reactome
Methionine de novo and salvage pathway (WikiPathways),0.003761563063238485,0.37427552479222925,0.4317076958033464,-0.706557743991677,-1.9078243274637368,12,L(+)-Ornithine;Adenosine;Putrescine;Adenosine Triphosphate (Atp);L-(-)-Methionine;Choline,GW (limma t-statistic),WikiPathways
Glucuronidation (WikiPathways),0.005895978100652769,0.39109988067663365,0.27471745859524166,-0.7302199807520053,-1.8067341755920445,9,Adenosine Triphosphate (Atp);Uridine 5'-Diphosphate;D-Glucose 6-Phosphate;Glucose 1-Phosphate;Uridine 5'-Diphosphoglucuronic Acid,GW (limma t-statistic),WikiPathways
Nicotinamide salvaging (Reactome),0.014195281028198734,0.5308321208341994,0.1676585280657653,0.8106512333475553,1.6294799001917184,5,L-(+)-Lactic Acid;Nicotinamide;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine,GW (limma t-statistic),Reactome
Folate metabolism (WikiPathways),0.01600336913034323,0.5308321208341994,0.16540638314681422,-0.6936476780685403,-1.7162457873254497,9,"D,L-Serine;Adenosine Triphosphate (Atp);L-(-)-Methionine",GW (limma t-statistic),WikiPathways
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),0.016004988567865308,0.5308321208341994,0.16431349235665232,-0.7434919397324726,-1.6923576119910348,7,L(+)-Ornithine;Γ-Aminobutyric Acid,GW (limma t-statistic),Reactome
Disorders of folate metabolism and transport (WikiPathways),0.019738209017244962,0.5342703727100442,0.1477048969054665,-0.7619867238927351,-1.6477462714636162,6,"D,L-Serine;L-(-)-Methionine",GW (limma t-statistic),WikiPathways
Purinergic signaling (WikiPathways),0.02147820593809223,0.5342703727100442,0.142470368773132,-0.6772224579939226,-1.6756059702392738,9,Adenosine;Adenosine Triphosphate (Atp);Uridine 5'-Diphosphate,GW (limma t-statistic),WikiPathways
One-carbon metabolism (WikiPathways),0.0249324745480989,0.5512847150079645,0.1311834041317628,-0.7481513512975037,-1.6178281864192479,6,"D,L-Serine;L-(-)-Methionine;Choline",GW (limma t-statistic),WikiPathways
Ethanol effects on histone modifications (WikiPathways),0.03171953255425709,0.571403642363094,0.116319528645477,-0.7727045219941795,-1.5641242303083245,5,"D,L-Serine;L-(-)-Methionine",GW (limma t-statistic),WikiPathways
"Incretin synthesis, secretion, and inactivation (Reactome)",0.03445650104702075,0.571403642363094,0.10640946434982042,0.6569780203629557,1.5810907559814007,9,Palmitic Acid;Acetylcholine;Myristic Acid,GW (limma t-statistic),Reactome
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1) (Reactome)",0.03445650104702075,0.571403642363094,0.10640946434982042,0.6569780203629557,1.5810907559814007,9,Palmitic Acid;Acetylcholine;Myristic Acid,GW (limma t-statistic),Reactome
Peptide hormone metabolism (Reactome),0.03892668178382464,0.5958776673062388,0.09960004885309227,0.6300853826619424,1.5614084636846908,10,Palmitic Acid;Acetylcholine;Myristic Acid;L-Lysine,GW (limma t-statistic),Reactome
Amino Sugar Metabolism (KEGG),0.0437703141928494,0.618768477928433,0.1006043085747754,-0.5208453806756113,-1.5223415717059616,16,Adenosine Triphosphate (Atp);Uridine 5'-Diphosphate;D-Glucose 6-Phosphate;N-Acetyl-D-Glucosamine 6-Phosphate;Glucose 1-Phosphate;Uridine 5'-Diphosphoglucuronic Acid,GW (limma t-statistic),KEGG
Organic cation transport (Reactome),0.05008347245409015,0.618768477928433,0.09209960257914776,-0.7448398007512524,-1.5077198940759327,5,Choline;L-Ergothioneine;Dl-Carnitine;Creatinine,GW (limma t-statistic),Reactome
Urea cycle (Reactome),0.0513193434448369,0.618768477928433,0.09074992825317248,-0.7050743384344083,-1.5246769737992396,6,L(+)-Ornithine;L-Aspartic Acid;N-Acetylglutamic Acid,GW (limma t-statistic),Reactome
Methionine Metabolism (KEGG),0.05285961871750433,0.618768477928433,0.09132129023052583,-0.5014666638939225,-1.4906878890352753,17,"D,L-Serine;Adenosine;Putrescine;Adenosine Triphosphate (Atp);L-(-)-Methionine;Choline",GW (limma t-statistic),KEGG
Glutathione conjugation (Reactome),0.07001726453098024,0.7094815956831759,0.07417595899308585,0.7222121614111146,1.4517096283610769,5,L-Pyroglutamic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid,GW (limma t-statistic),Reactome
Glutathione synthesis and recycling (Reactome),0.07001726453098024,0.7094815956831759,0.07417595899308585,0.7222121614111146,1.4517096283610769,5,L-Pyroglutamic Acid;Adenosine 5'-Diphosphate;L-Glutamic Acid,GW (limma t-statistic),Reactome
Regulation of insulin secretion (Reactome),0.07130468298323377,0.7094815956831759,0.07365326681848156,0.6864664980401836,1.4563932055137947,6,Palmitic Acid;Acetylcholine;Adenosine 3'5'-Cyclic Monophosphate;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp),GW (limma t-statistic),Reactome
Metabolism of folate and pterines (Reactome),0.08013355592654424,0.731650692418179,0.07224381599506118,-0.7146416087273482,-1.4465920987652587,5,"D,L-Serine",GW (limma t-statistic),Reactome
Pyruvate metabolism (Reactome),0.0829554043839758,0.731650692418179,0.06736792242893799,0.5803085839567659,1.4380570625380122,10,"L-(+)-Lactic Acid;Nicotinamide;D-Fructose-1,6-Bisphosphate;Dl-Alanine;Adenosine 3'5'-Cyclic Monophosphate;Adenosine 5'-Diphosphate",GW (limma t-statistic),Reactome
Cannabinoid receptor signaling (WikiPathways),0.0845626428423021,0.731650692418179,0.07008630266812224,-0.6698876004493888,-1.4485879626632072,6,Γ-Aminobutyric Acid;Adenosine Triphosphate (Atp),GW (limma t-statistic),WikiPathways
TP53 Regulates Metabolic Genes (Reactome),0.08900824860924611,0.7380267280516656,0.06544019964710829,0.7042048719959724,1.415513401239161,5,L-Glutamine;Adenosine 5'-Diphosphate;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,GW (limma t-statistic),Reactome
Vitamin B12 metabolism (WikiPathways),0.09853249475890985,0.7766657945229375,0.06500025077924856,-0.5986910980938234,-1.4226229000566313,8,"D,L-Serine;L-(-)-Methionine",GW (limma t-statistic),WikiPathways
Phosphate bond hydrolysis by NTPDase proteins (Reactome),0.10147392290249434,0.7766657945229375,0.06059211584548777,0.5632600543260279,1.39580926693553,10,Cytidine 5'-Triphosphate;Inosine-5'-Monophosphate (Imp);5'-Cytidylic Acid;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine 5'-Triphosphate Sodium Salt;Guanosine 5'-Diphosphate (Gdp),GW (limma t-statistic),Reactome
Selenocompound metabolism (KEGG),0.10621492413219705,0.782843329715082,0.06220121123214926,-0.6195377279841392,-1.4102094909688716,7,"D,L-Serine;Adenosine;Adenosine Triphosphate (Atp)",GW (limma t-statistic),KEGG
Amino acid transport across the plasma membrane (Reactome),0.11282843894899536,0.7955608732097695,0.06220121123214926,-0.41168684520215093,-1.3294342436480113,23,"D,L-Serine;L(+)-Ornithine;Γ-Aminobutyric Acid;L-(-)-Methionine;L-Threonine",GW (limma t-statistic),Reactome
Glycogen metabolism (Reactome),0.11593600664865988,0.7955608732097695,0.05937398237230633,-0.6405930474485485,-1.385240414775847,6,Uridine 5'-Diphosphate;Glucose 1-Phosphate,GW (limma t-statistic),Reactome
Arachidonic Acid Metabolism (KEGG),0.12736339081653855,0.8109761090430391,0.05648031685413919,-0.6331099236516735,-1.3690586507784244,6,Dl-Dipalmitoylphosphatidylcholine;L-Glutathione Oxidized,GW (limma t-statistic),KEGG
Galactose Metabolism (KEGG),0.13248407643312102,0.8109761090430391,0.05594707183899372,-0.5331070847303561,-1.3587109727324291,10,Adenosine Triphosphate (Atp);Uridine 5'-Diphosphate;D-Glucose 6-Phosphate;Glucose 1-Phosphate,GW (limma t-statistic),KEGG
MTHFR deficiency (WikiPathways),0.13292988313856427,0.8109761090430391,0.055334390763958304,-0.6692694585224879,-1.3547488682721087,5,L-(-)-Methionine;Choline,GW (limma t-statistic),WikiPathways
Serine metabolism (WikiPathways),0.13448347536894617,0.8109761090430391,0.05487544483452734,-0.6007189982229962,-1.367373760199911,7,"D,L-Serine",GW (limma t-statistic),WikiPathways
Free fatty acid receptors (Reactome),0.14569281171709386,0.8216966966966965,0.050466114765650466,0.6263604276724721,1.3288734026631321,6,Palmitic Acid;Myristic Acid,GW (limma t-statistic),Reactome
T cell modulation in pancreatic cancer (WikiPathways),0.15028060694242362,0.8216966966966965,0.05169778104977241,-0.5912294455304947,-1.345773369025094,7,L(+)-Ornithine;Adenosine,GW (limma t-statistic),WikiPathways
Azathioprine ADME (Reactome),0.1505106957024475,0.8216966966966965,0.04958412531380979,0.6228118036045932,1.3213447148158206,6,L-Glutamine;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine;Guanosine 5'-Diphosphate (Gdp);L-Glutamic Acid,GW (limma t-statistic),Reactome
Aspartate and asparagine metabolism (Reactome),0.15629164287074052,0.8216966966966965,0.04825537561826889,0.5469081385076955,1.3161953297734257,9,Hypotaurine;L-Glutamine;Taurine,GW (limma t-statistic),Reactome
Interconversion of nucleotide di- and triphosphates (Reactome),0.1569069069069069,0.8216966966966965,0.04778115692689526,0.4970410947210315,1.298922873478557,12,Cytidine 5'-Triphosphate;L-Glutamine;5'-Cytidylic Acid;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate;Cytidine 5'-Diphosphate;Uridine 5'-Triphosphate Sodium Salt;Guanosine 5'-Diphosphate (Gdp),GW (limma t-statistic),Reactome
Pyrimidine metabolism (WikiPathways),0.16145345570331524,0.8238266073066597,0.04698782612111152,0.5066973426437962,1.2945594094851087,11,Cytidine 5'-Triphosphate;L-Glutamine;Uracil;5'-Cytidylic Acid,GW (limma t-statistic),WikiPathways
Organic anion transporters (Reactome),0.19367893621121604,0.9449040499000209,0.04317311798756936,0.5960547865289386,1.2645775776284223,6,L-(+)-Lactic Acid;L-Glutamic Acid,GW (limma t-statistic),Reactome
Serine biosynthesis (Reactome),0.19908180300500836,0.9449040499000209,0.04443811273130948,-0.6291504359898831,-1.273539125798251,5,"D,L-Serine",GW (limma t-statistic),Reactome
Nucleotide biosynthesis (Reactome),0.20771680089904476,0.9449040499000209,0.04085973480886259,0.4829794876899022,1.233962738219455,11,"Inosine-5'-Monophosphate (Imp);L-Glutamine;D-Fructose-1,6-Bisphosphate;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate",GW (limma t-statistic),Reactome
Paracetamol ADME (Reactome),0.20826377295492488,0.9449040499000209,0.04334119031890862,-0.6249163147518425,-1.264968331356165,5,Uridine 5'-Diphosphate,GW (limma t-statistic),Reactome
Purine ribonucleoside monophosphate biosynthesis (Reactome),0.21504157218442932,0.9449040499000209,0.040269694795322115,0.4933156100986181,1.2224806194068274,10,"Inosine-5'-Monophosphate (Imp);L-Glutamine;D-Fructose-1,6-Bisphosphate;Guanosine-5'-Monophosphate;Adenosine 5'-Diphosphate",GW (limma t-statistic),Reactome
Trans-sulfuration pathway (WikiPathways),0.2188679245283019,0.9449040499000209,0.04226673721698049,-0.5207511460997136,-1.2374202790569808,8,Adenosine Triphosphate (Atp);L-(-)-Methionine,GW (limma t-statistic),WikiPathways
HIF1A and PPARG in cardiac hypertropthy (WikiPathways),0.22277895548275198,0.9449040499000209,0.039914216648410286,0.579335015369076,1.2291052549666628,6,"L-(+)-Lactic Acid;D-Fructose-1,6-Bisphosphate;D-(+)-Glucose",GW (limma t-statistic),WikiPathways
15q25 copy number variation (WikiPathways),0.23142737896494156,0.9449040499000209,0.04085973480886259,-0.6115679227094187,-1.237948244330756,5,Adenosine,GW (limma t-statistic),WikiPathways
Biomarkers for urea cycle disorders (WikiPathways),0.23654299806991208,0.9449040499000209,0.04098458735047401,-0.4587821447567992,-1.2037990108241508,11,L(+)-Ornithine;L-(-)-Methionine;L-Threonine;L-Aspartic Acid;N-Acetylglutamic Acid,GW (limma t-statistic),WikiPathways
Tyrosine catabolism (Reactome),0.24438902743142144,0.9449040499000209,0.03776562552301298,0.606645800811921,1.219411133042613,5,Ethyl Acetoacetate;L-Glutamic Acid;L-Ascorbic Acid;L-Glutathione (Reduced),GW (limma t-statistic),Reactome
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",0.24464561713402516,0.9449040499000209,0.04088047600525247,-0.36113614626030904,-1.1661940745806059,23,"D,L-Serine;L(+)-Ornithine;Ophthalmate;Putrescine;L-(-)-Methionine;L-Glutathione Oxidized;Choline",GW (limma t-statistic),WikiPathways
Histidine catabolism (Reactome),0.24713302752293578,0.9449040499000209,0.037446187171478275,0.5162628260369658,1.2016689269653746,8,N-Beta-Alanyl-L-Histidine;L-Histidine;Adenosine 5'-Diphosphate;S-Adenosyl-L-Homocysteine;Anserine;L-Glutamic Acid;Histamine,GW (limma t-statistic),Reactome
Biomarkers for pyrimidine metabolism disorders (WikiPathways),0.2517222118786073,0.9449040499000209,0.03649543915723197,0.4298794922506853,1.1726964184290605,14,Cytidine 5'-Triphosphate;Creatine;Uracil,GW (limma t-statistic),WikiPathways
Urea cycle and metabolism of amino groups (WikiPathways),0.25201698513800425,0.9449040499000209,0.0393202544074839,-0.465784316021491,-1.1871278383500963,10,L(+)-Ornithine;Putrescine;Phosphocreatine;L-Aspartic Acid;N-Acetylglutamic Acid;Creatinine,GW (limma t-statistic),WikiPathways
Metabolism of amine-derived hormones (Reactome),0.26261269902167655,0.9449040499000209,0.03623239027385118,0.5970229274042748,1.2000683156202576,5,Tryptophan;Dl-Alanine;S-Adenosyl-L-Homocysteine;L-Ascorbic Acid,GW (limma t-statistic),Reactome
Mitochondrial biogenesis (Reactome),0.26990216765777864,0.9449040499000209,0.03566083251120444,0.593111023023082,1.1922050455746394,5,Nicotinamide;Palmitic Acid;Arachidonic Acid;Adenosine 5'-Diphosphate,GW (limma t-statistic),Reactome
Transcriptional activation of mitochondrial biogenesis (Reactome),0.26990216765777864,0.9449040499000209,0.03566083251120444,0.593111023023082,1.1922050455746394,5,Nicotinamide;Palmitic Acid;Arachidonic Acid;Adenosine 5'-Diphosphate,GW (limma t-statistic),Reactome
Cysteine and methionine catabolism (WikiPathways),0.2816054947413608,0.9449040499000209,0.0371333747861846,-0.41308537731385186,-1.1426327320724643,13,"D,L-Serine;Adenosine;L-(-)-Methionine",GW (limma t-statistic),WikiPathways
