Name,rank,t,logFC,P.Value,adj.P.Val,analysis,pathway,NES,pval,padj,set_size,leading_edge,is_dipeptide,is_incretin,is_glucuronide,exogenous_flag
Palmitic Acid,40,1.994,0.0904,0.0593,0.445,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,TRUE,FALSE,FALSE,FALSE,NA
Acetylcholine,48,1.8711,0.1129,0.0736,0.456,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,TRUE,FALSE,FALSE,FALSE,NA
Myristic Acid,90,1.3259,0.0421,0.198,0.628,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,TRUE,FALSE,FALSE,FALSE,NA
L-Lysine,117,0.9994,0.0347,0.33,0.771,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,TRUE,FALSE,FALSE,FALSE,NA
"7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid",256,-0.025,-4e-4,0.98,0.992,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,FALSE,FALSE,FALSE,FALSE,NA
D-Glucose,265,-0.0805,-0.0016,0.937,0.992,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,FALSE,FALSE,FALSE,FALSE,NA
Oleoyl Ethanolamide,288,-0.1649,-0.003,0.87,0.984,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,FALSE,FALSE,FALSE,FALSE,NA
Palmitoleic Acid,294,-0.1748,-0.0054,0.863,0.984,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,FALSE,FALSE,FALSE,FALSE,NA
Docosahexaenoic Acid,315,-0.2699,-0.0037,0.79,0.97,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,FALSE,FALSE,FALSE,FALSE,NA
"8z,11z,14z-Eicosatrienoic Acid",326,-0.3816,-0.0387,0.706,0.924,GW,Peptide hormone metabolism (Reactome),1.561,0.0389,0.596,10,FALSE,FALSE,FALSE,FALSE,NA
Acetylcholine,371,-0.8057,-0.2463,0.428,0.903,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,TRUE,FALSE,FALSE,FALSE,NA
"8z,11z,14z-Eicosatrienoic Acid",427,-1.0604,-0.5055,0.3,0.903,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,TRUE,FALSE,FALSE,FALSE,NA
Palmitoleic Acid,487,-1.4752,-0.2187,0.154,0.903,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,TRUE,FALSE,FALSE,FALSE,NA
Docosahexaenoic Acid,112,0.583,0.039,0.565,0.927,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,FALSE,FALSE,FALSE,FALSE,NA
Oleoyl Ethanolamide,113,0.5625,0.0489,0.579,0.937,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,FALSE,FALSE,FALSE,FALSE,NA
D-Glucose,155,0.2952,0.0281,0.77,0.976,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,FALSE,FALSE,FALSE,FALSE,NA
"7(Z),10(Z),13(Z),16(Z)-Docosatetraenoic Acid",159,0.2768,0.0216,0.784,0.98,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,FALSE,FALSE,FALSE,FALSE,NA
Palmitic Acid,175,0.1903,0.0425,0.851,0.991,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,FALSE,FALSE,FALSE,FALSE,NA
Myristic Acid,227,-0.0553,-0.0089,0.956,0.996,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,FALSE,FALSE,FALSE,FALSE,NA
L-Lysine,307,-0.5125,-0.0856,0.614,0.948,Sex,Peptide hormone metabolism (Reactome),-0.707,0.85,0.999,10,FALSE,FALSE,FALSE,FALSE,NA
Uridine 5'-Diphosphoglucuronic Acid,450,-1.315,-0.12,0.201,0.629,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,TRUE,FALSE,FALSE,FALSE,NA
Glucose 1-Phosphate,451,-1.337,-0.0334,0.194,0.624,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,TRUE,FALSE,FALSE,FALSE,NA
D-Glucose 6-Phosphate,476,-1.6181,-0.0415,0.124,0.554,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,TRUE,FALSE,FALSE,FALSE,NA
Uridine 5'-Diphosphate,481,-1.7285,-0.2317,0.0993,0.49,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,TRUE,FALSE,FALSE,FALSE,NA
Adenosine Triphosphate (Atp),496,-2.0409,-0.1937,0.0534,0.432,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,TRUE,FALSE,FALSE,FALSE,NA
D-(+)-Glucose,142,0.7987,0.0311,0.432,0.808,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,FALSE,FALSE,FALSE,FALSE,NA
Uridine 5'-Triphosphate Sodium Salt,220,0.1877,0.0067,0.853,0.984,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,FALSE,FALSE,FALSE,FALSE,NA
D-Glucose,265,-0.0805,-0.0016,0.937,0.992,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,FALSE,FALSE,FALSE,FALSE,NA
Udp-Β-D-Glucose (Sodium Salt),283,-0.1576,-0.0056,0.876,0.984,GW,Glucuronidation (WikiPathways),-1.807,0.0059,0.391,9,FALSE,FALSE,FALSE,FALSE,NA
Udp-Β-D-Glucose (Sodium Salt),488,-1.5429,-0.2524,0.136,0.903,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,TRUE,FALSE,FALSE,FALSE,NA
Glucose 1-Phosphate,78,0.8255,0.1012,0.417,0.903,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
D-Glucose 6-Phosphate,99,0.6639,0.0946,0.516,0.905,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
Uridine 5'-Triphosphate Sodium Salt,135,0.4298,0.0737,0.671,0.961,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
D-(+)-Glucose,140,0.3892,0.0734,0.701,0.961,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
D-Glucose,155,0.2952,0.0281,0.77,0.976,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
Uridine 5'-Diphosphoglucuronic Acid,176,0.1873,0.0828,0.853,0.991,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
Adenosine Triphosphate (Atp),284,-0.3912,-0.1917,0.699,0.961,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
Uridine 5'-Diphosphate,299,-0.457,-0.3224,0.653,0.949,Sex,Glucuronidation (WikiPathways),-0.555,0.968,0.999,9,FALSE,FALSE,FALSE,FALSE,NA
