pathway,n_hits,set_size,odds_ratio,pval,hit_names,padj,pathway_source
Kennedy pathway from sphingolipids (WikiPathways),4,8,8.290101671097446,0.007225223290611591,"D,L-Serine;Choline;L-Serine;O-Phosphocolamine",0.35456269160891846,WikiPathways
"Trans-sulfuration, one-carbon metabolism and related pathways (WikiPathways)",7,23,3.7395398559983883,0.009342509829806866,"D,L-Serine;Acetylcholine;Choline;L-Ornithine;L-Serine;O-Phosphocolamine;Sarcosine",0.35456269160891846,WikiPathways
Sphingolipid pathway (WikiPathways),3,5,12.260012005261874,0.01153005133866261,"D,L-Serine;L-Serine;O-Phosphocolamine",0.35456269160891846,WikiPathways
Metabolism of sphingolipids in ER and Golgi apparatus (WikiPathways),3,6,8.1713099836255,0.02121315248942247,"D,L-Serine;L-Serine;O-Phosphocolamine",0.35456269160891846,WikiPathways
One-carbon metabolism (WikiPathways),3,6,8.1713099836255,0.02121315248942247,"D,L-Serine;Choline;L-Serine",0.35456269160891846,WikiPathways
Sphingolipid metabolism overview (WikiPathways),3,6,8.1713099836255,0.02121315248942247,"D,L-Serine;L-Serine;O-Phosphocolamine",0.35456269160891846,WikiPathways
Synthesis of ceramides and 1-deoxyceramides (WikiPathways),3,6,8.1713099836255,0.02121315248942247,"D,L-Serine;L-Serine;O-Phosphocolamine",0.35456269160891846,WikiPathways
Glycerophospholipid biosynthetic pathway (WikiPathways),4,11,4.721355235282047,0.026193154524329434,"D,L-Serine;Choline;L-Serine;O-Phosphocolamine",0.383074884918318,WikiPathways
Class C/3 (Metabotropic glutamate/pheromone receptors) (Reactome),3,7,6.124396200491266,0.03416408528963947,D-(+)-Tryptophan;Γ-Aminobutyric Acid;L-Ornithine,0.38307702721101966,Reactome
Phospholipid Biosynthesis (KEGG),3,7,6.124396200491266,0.03416408528963947,1-Hexadecanoyl-Sn-Glycero-3-Phosphoethanolamine;Acetylcholine;Choline,0.38307702721101966,KEGG
Amino acid transport defects (IEMs) (WikiPathways),4,12,4.12543322902253,0.03601578888308732,"D,L-Serine;Dl-Valine;D-Phenylalanine;L-Serine",0.38307702721101966,WikiPathways
Glyoxylate metabolism (WikiPathways),3,8,4.894872871389272,0.05032740248905618,"D,L-Serine;L-Hydroxyproline;L-Serine",0.49069217426829775,WikiPathways
Neurotransmitter release cycle (Reactome),4,14,3.2893007410477093,0.06125430375586103,Palmitoyl Ethanolamide;Γ-Aminobutyric Acid;Acetylcholine;Choline,0.5423741483931891,Reactome
