Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Benzoxazoles,1,Class,27,0.010193104991108254,21.62331638628493,21.921955775079926,0.01978870719297516,Benzoxazoles,0.46409794899589163,0.5708138795020622,FALSE,FALSE,TRUE,Higher in Males
Benzene and substituted derivatives,7,Class,114,0.016574926749853273,21.734572077951174,20.89070243806155,-0.05713068830690684,Benzene and subst...,0.46409794899589163,0.9281958979917833,FALSE,FALSE,TRUE,Higher in Females
Benzopyrans,1,Class,86,0.031733993756896575,18.655964192162752,18.263662836024057,-0.030660793130637295,Benzopyrans,0.5923678834620695,1,FALSE,FALSE,TRUE,Higher in Females
Phenols,1,Class,38,0.05309795728558344,25.380626736304094,25.586824165918795,0.011673396526378369,Phenols,0.6856039114915427,1,FALSE,FALSE,FALSE,Higher in Males
Piperidines,1,Class,39,0.061214634954602026,20.249763787034954,18.444510808795805,-0.13471355317381212,Piperidines,0.6856039114915427,1,FALSE,FALSE,FALSE,Higher in Females
Steroids and steroid derivatives,8,Class,41,0.07825222852623709,18.432793131828088,18.753365249920435,0.02487480732494144,Steroids and ster...,0.7303541329115462,1,FALSE,FALSE,FALSE,Higher in Males
Cinnamic acids and derivatives,1,Class,99,0.12602212177037309,17.12390692599904,16.265908101412403,-0.07416053101033103,Cinnamic acids an...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Diazines,5,Class,98,0.14095521914437142,23.79746897942326,23.398484986817664,-0.024393020673822482,Diazines,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Fatty acyls,2,Class,98,0.14095521914437142,20.400741458477697,19.865446369347946,-0.038360376820748505,Fatty acyls,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine nucleotides,13,Class,97,0.1572127533400039,21.689405600068394,21.537124410869882,-0.010164879081280097,Pyrimidine nucleo...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Pteridines and derivatives,1,Class,96,0.17485330689329268,26.732796035637932,26.525812426516868,-0.011213801429837215,Pteridines and de...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Hydroxy acids and derivatives,5,Class,94,0.21449380778351745,19.356306244247683,19.1281137401483,-0.017109056208812798,Hydroxy acids and...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Pyridines and derivatives,4,Class,94,0.21449380778351745,21.70535013072542,21.54727227201477,-0.01054544883457111,Pyridines and der...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
(5'->5')-dinucleotides,1,Class,93,0.2365840933218762,16.93029089609387,16.87436326100448,-0.004773697434354596,(5'->5')-dinucleo...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Sphingolipids,9,Class,93,0.2365840933218762,22.24036100255677,21.786448387431186,-0.02974917746422128,Sphingolipids,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
"Linear 1,3-diarylpropanoids",3,Class,93,0.2365840933218762,16.46277239646889,16.32555426028147,-0.012075339031076307,"Linear 1,3-diaryl...",0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Nucleoside and nucleotide analogues,1,Class,78,0.24853467917305802,14.508387577663695,13.890924442041795,-0.06274457717524547,Nucleoside and nu...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophospholipids,169,Class,92,0.26023620261718894,19.75803988579903,19.66711080394647,-0.0066547960258757375,Glycerophospholipids,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Organooxygen compounds,41,Class,91,0.28547630885188235,20.586978385375115,20.42723851052955,-0.011237912508814934,Organooxygen comp...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Organic phosphoric acids and derivatives,4,Class,53,0.28547630885188235,26.290284478625306,26.460360946387336,0.009302988612130981,Organic phosphori...,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Males
Cinnamyl alcohols,1,Class,77,0.2934238832742103,17.26760914845392,16.789507058153507,-0.04050846973965325,Cinnamyl alcohols,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Females
Endocannabinoids,1,Class,31,0.3020002005411339,16.467043132644697,16.94846866160225,0.041573403938314206,Endocannabinoids,0.7687277831956136,1,FALSE,FALSE,FALSE,Higher in Males
Phenylpropanoic acids,1,Class,55,0.3407786135629546,29.220409038337362,29.38003758297973,0.007859867719022678,Phenylpropanoic a...,0.8297218417184982,1,FALSE,FALSE,FALSE,Higher in Males
Benzofurans,1,Class,88,0.3708443333042211,26.41385915656328,26.078795488413213,-0.01841786287643151,Benzofurans,0.8306913066014554,1,FALSE,FALSE,FALSE,Higher in Females
Lactams,1,Class,88,0.3708443333042211,20.64396139241858,20.41695885906508,-0.015951847336589508,Lactams,0.8306913066014554,1,FALSE,FALSE,FALSE,Higher in Females
Organonitrogen compounds,19,Class,57,0.40250382378200356,21.367228132142863,21.533826917044287,0.011204966810912834,Organonitrogen co...,0.8669313127612384,1,FALSE,FALSE,FALSE,Higher in Males
Imidazopyrimidines,5,Class,84,0.5067205148778585,20.753047875850815,20.559075280171395,-0.01354785651084589,Imidazopyrimidines,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleotides,12,Class,84,0.5067205148778585,20.954347306201797,20.786937364004544,-0.011572369672433781,Purine nucleotides,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleosides,9,Class,60,0.5067205148778585,20.861597340627263,21.0762426914436,0.014768070409524018,Purine nucleosides,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Males
Benzodioxoles,1,Class,84,0.5067205148778585,25.571061782888183,25.457876370258944,-0.006399988210618545,Benzodioxoles,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Fatty Acyls,39,Class,83,0.5443701458566099,19.980766158603636,19.832708242533187,-0.010730206753579864,Fatty Acyls,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Organic phosphonic acids and derivatives,1,Class,29,0.5612758361345778,18.4775618523721,17.752034347611687,-0.057790039042643716,Organic phosphoni...,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
5'-deoxyribonucleosides,3,Class,82,0.5833604667027033,18.846949079089228,18.800716195961236,-0.003543379609716305,5'-deoxyribonucle...,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Biotin and derivatives,1,Class,82,0.5833604667027033,21.892853353459536,21.719098946169574,-0.011495745310574396,Biotin and deriva...,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
"Derivatized lipids (biotinylation, diazomethane)",1,Class,82,0.5833604667027033,22.853782856993618,22.588062318037625,-0.01687246949485741,Derivatized lipid...,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Dihydrofurans,1,Class,81,0.623604884395689,17.65683731515319,17.497920218346664,-0.013043495974819352,Dihydrofurans,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine nucleosides,5,Class,81,0.623604884395689,23.35300502950755,23.151222771405017,-0.012519811802127166,Pyrimidine nucleo...,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Organic sulfonic acids and derivatives,1,Class,81,0.623604884395689,17.05004369467634,16.82662773507192,-0.01902936483900247,Organic sulfonic ...,0.9189966717410153,1,FALSE,FALSE,FALSE,Higher in Females
Furans,1,Class,80,0.6650055421020291,18.348039696657565,18.21299974064921,-0.010657375380912323,Furans,0.954879752761888,1,FALSE,FALSE,FALSE,Higher in Females
Keto acids and derivatives,5,Class,65,0.7074539677020747,22.22440366644731,22.31811086262093,0.0060702054246338346,Keto acids and de...,0.9662785900321021,1,FALSE,FALSE,FALSE,Higher in Males
Glycerolipids,37,Class,65,0.7074539677020747,18.98900848937153,19.01573066948946,0.002028797668098742,Glycerolipids,0.9662785900321021,1,FALSE,FALSE,FALSE,Higher in Males
Azolidines,1,Class,77,0.7950121719642382,29.669258774009858,29.697202719322966,0.0013581605940249238,Azolidines,0.9947333508732842,1,FALSE,FALSE,FALSE,Higher in Males
Dioxanes,1,Class,43,0.8242120391033195,16.653347722767617,16.433493653244092,-0.019173002373047157,Dioxanes,0.9947333508732842,1,FALSE,FALSE,FALSE,Higher in Females
Organic sulfuric acids and derivatives,2,Class,70,0.8294475889935781,22.09583446872658,22.31590311099249,0.014297775982197196,Organic sulfuric ...,0.9947333508732842,1,FALSE,FALSE,FALSE,Higher in Males
(3'->5')-dinucleotides and analogues,1,Class,68,0.8398599725400034,25.788036363799634,25.776570653879606,-6.415843762307871e-4,(3'->5')-dinucleo...,0.9947333508732842,1,FALSE,FALSE,FALSE,Higher in Females
Pyrroles,1,Class,34,0.8748259769492438,15.862398498020795,15.934648684915494,0.006556279589515778,Pyrroles,0.9947333508732842,1,FALSE,FALSE,FALSE,Higher in Males
Carboxylic acids and derivatives,110,Class,69,0.8852339144732017,20.353835665127928,20.339584212591177,-0.0010105073892833483,Carboxylic acids ...,0.9947333508732842,1,FALSE,FALSE,FALSE,Higher in Females
