Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
map00360;R-HSA-156587;R-HSA-159424;R-HSA-177162,1,Pathways,107,0.046386593281398644,16.8477530621937,15.690562827671052,-0.10265909265951313,map00360;R-HSA-15...,0.99859871303793,1,FALSE,FALSE,TRUE,Higher in Females
map00340;R-HSA-2408508;R-HSA-375280;R-HSA-390650;R-HSA-442660;R-HSA-549127;R-HSA-549132;R-HSA-70921;WP2596;WP2597;WP4486;WP4545;WP5097;WP550;WP58,1,Pathways,35,0.0537840888623983,16.498673180179807,15.24421040657172,-0.11408858186188374,map00340;R-HSA-24...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
R-HSA-446199;R-HSA-446219;R-HSA-499943;R-HSA-8850843;R-HSA-8956319;R-HSA-9660826;R-HSA-9664424;WP4022;WP4225;WP4584,1,Pathways,102,0.08853377201422959,25.09478168316866,24.821758999659053,-0.0157820391450472,R-HSA-446199;R-HS...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
R-HSA-110331;R-HSA-1237112;R-HSA-1614635;R-HSA-425397;R-HSA-5619063;R-HSA-73884;R-HSA-73927;R-HSA-73929;R-HSA-74217;R-HSA-83936;R-HSA-8956321;R-HSA-9734195;R-HSA-9734207;R-HSA-9735804;WP3580;WP4224;WP4792;WP5078;WP80,1,Pathways,43,0.09987740276926413,19.33093002140817,19.704296721619546,0.027599210212640654,R-HSA-110331;R-HS...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
R-HSA-425397;R-HSA-6782315;R-HSA-74217;R-HSA-74259;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;R-HSA-9734207;R-HSA-9734281;R-HSA-9735804;WP4224;WP4792,1,Pathways,44,0.11235119769046396,16.941233685506223,17.198319814196488,0.02172869039314646,R-HSA-425397;R-HS...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
R-HSA-71262,2,Pathways,100,0.11235119769046396,23.172457493321367,22.89399277780464,-0.017441958522804963,R-HSA-71262,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
WP4718;WP5329,2,Pathways,44,0.11235119769046396,18.968599034254204,19.583894602510725,0.04605456939284457,WP4718;WP5329,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
map00410;R-HSA-110329;R-HSA-425397;R-HSA-73614;R-HSA-73621;R-HSA-73884;R-HSA-73928;R-HSA-73929;R-HSA-83936;R-HSA-8956319;R-HSA-8956321;WP4022;WP4157;WP4225;WP4584;WP4595,1,Pathways,92,0.11655091953221396,21.10800795259055,20.334526132948834,-0.05385906094224095,map00410;R-HSA-11...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
WP4900,1,Pathways,47,0.1572127533400039,25.37583277785886,26.8368061219027,0.080757815928469,WP4900,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
WP4485,2,Pathways,47,0.1572127533400039,21.729643871241237,21.949388030344736,0.014516186345918142,WP4485,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
WP4157,2,Pathways,96,0.17485330689329268,17.96493415507485,17.59143987503981,-0.030310074077688855,WP4157,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
map00250;map00330;map00380;map00450;map00480;R-HSA-1362409;R-HSA-209776;R-HSA-209968;R-HSA-2408508;R-HSA-352230;R-HSA-379716;R-HSA-379724;R-HSA-379726;R-HSA-389661;R-HSA-428559;R-HSA-442660;R-HSA-5619044;R-HSA-5619094;R-HSA-5659735;R-HSA-70268;R-HSA-71240;R-HSA-73621;R-HSA-8956319;R-HSA-8963691;R-HSA-8964208;R-HSA-8964539;R-HSA-8964540;R-HSA-947581;WP106;WP1946;WP2485;WP3953;WP4210;WP4236;WP4595;WP4661;WP4917;WP5029;WP5166;WP5179;WP5194,1,Pathways,49,0.1939308522824107,15.66251411444213,16.03121792271259,0.03356822434817358,map00250;map00330...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Males
map00052;map00520;R-HSA-156588;R-HSA-173599;R-HSA-3322077;R-HSA-417957;R-HSA-418038;R-HSA-429914;R-HSA-429947;R-HSA-446210;R-HSA-446219;R-HSA-499943;R-HSA-5683826;R-HSA-6807505;R-HSA-8850843;R-HSA-8956319;R-HSA-8982491;R-HSA-9816359;R-HSA-9820865;WP4022;WP4225;WP4584;WP466;WP4900;WP698,1,Pathways,95,0.1939308522824107,21.51186352887442,21.295644514600415,-0.014574114059850108,map00052;map00520...,0.99859871303793,1,FALSE,FALSE,FALSE,Higher in Females
