Group,N_metabolites,Category,Wilcoxon_statistic,p_value,Mean_Female,Mean_Male,logFC,Group_display,FDR,Bonferroni,Significant_FDR,Significant_Bonferroni,Significant_nominal,Direction
Indolines,1,Sub.Class,65,0.02948936338440756,15.763240803165823,14.090239571945109,-0.16186803093512855,Indolines,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Cyclohexylamines,1,Sub.Class,34,0.03038282197657753,23.632071009620898,24.195870688321456,0.03401478929446406,Cyclohexylamines,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Males
Gamma-keto acids and derivatives,1,Sub.Class,36,0.040404119588223736,23.949551155701123,24.2351783701583,0.01710408241393773,Gamma-keto acids ...,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Males
Cholestane steroids,4,Sub.Class,108,0.040404119588223736,20.177388108326998,19.707765766433607,-0.033975204811006486,Cholestane steroids,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Cinnamic acids,1,Sub.Class,99,0.04547470755522373,18.463708958559344,18.179819864489023,-0.02235448363164062,Cinnamic acids,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Carbonyl compounds,9,Sub.Class,107,0.046386593281398644,20.78914368651394,20.356361494931257,-0.030350617704531593,Carbonyl compounds,0.9017656422793469,1,FALSE,FALSE,TRUE,Higher in Females
Gamma butyrolactones,4,Sub.Class,105,0.060601969712006154,18.017287830769952,17.649545956249995,-0.02975078656395485,Gamma butyrolactones,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Glycerophosphoinositols,11,Sub.Class,103,0.07825222852623709,21.060820450405007,20.854901888115595,-0.014175114350220045,Glycerophosphoino...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Pyrimidine ribonucleotides,10,Sub.Class,102,0.08853377201422959,19.19874497840698,18.964480820855737,-0.017712128700021996,Pyrimidine ribonu...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
"1,3,5-triazinanes",1,Sub.Class,102,0.08853377201422959,29.346143437905695,29.17559586729183,-0.008408801031552199,"1,3,5-triazinanes",0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
(5'->5')-dinucleotides,1,Sub.Class,101,0.09987740276926413,22.736579948248643,22.274790963702337,-0.029603366450220894,(5'->5')-dinucleo...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Pyridinium derivatives,1,Sub.Class,101,0.09987740276926413,23.33741799497944,23.13824710212557,-0.012365379511395064,Pyridinium deriva...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Vitamin D and derivatives,1,Sub.Class,12,0.1252010296103154,23.583621043756487,23.956744596436142,0.022646630727540584,Vitamin D and der...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Tricarboxylic acids and derivatives,3,Sub.Class,98,0.14095521914437142,21.21073917429502,20.92460382615691,-0.01959459039330311,Tricarboxylic aci...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Alpha hydroxy acids and derivatives,2,Sub.Class,97,0.1572127533400039,19.038362470617997,18.656334036255572,-0.029243869844720494,Alpha hydroxy aci...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Indoles,2,Sub.Class,47,0.1572127533400039,20.13501380789293,20.476631280070475,0.024271927761888475,Indoles,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Diphenylmethanes,1,Sub.Class,97,0.1572127533400039,22.88332096132196,22.573866732355686,-0.019642877221087294,Diphenylmethanes,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Estrane steroids,1,Sub.Class,97,0.1572127533400039,16.888740256086727,16.26828387816393,-0.053999649577725045,Estrane steroids,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Indolyl carboxylic acids and derivatives,1,Sub.Class,35,0.1697061422725126,18.56092836688932,19.316677386863194,0.05757808923315928,Indolyl carboxyli...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Glycerophosphoserines,21,Sub.Class,96,0.17485330689329268,21.429494398604533,21.30412291111628,-0.00846515476992093,Glycerophosphoser...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
Purine nucleotide sugars,1,Sub.Class,96,0.17485330689329268,21.75111400879669,21.60577964103419,-0.009672000888803546,Purine nucleotide...,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
"1,4-benzodiazepines",1,Sub.Class,44,0.18575772936738782,17.659811308003725,18.18647077250967,0.04239567572262063,"1,4-benzodiazepines",0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Males
Fatty alcohol esters,2,Sub.Class,95,0.1939308522824107,19.955037197302516,19.273363243970582,-0.05014462107893166,Fatty alcohol esters,0.9017656422793469,1,FALSE,FALSE,FALSE,Higher in Females
