Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class,Direction,FDR_label
Pe 18:1_16:2,0.9515446271951032,20.6360325427405,3.3156631768607183,0.003267022181568555,0.9249294442609827,-3.8102860140029446,C8-Neg-000194,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
N-Acetyl-Dl-Aspartic Acid,-1.506142770975393,20.982207323706632,-2.93869946606235,0.0071499327330282764,0.9249294442609827,-3.8608654579739228,C18-Neg-000104,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Diacetyl,-0.4803092940451323,20.655855064123365,-2.9384808604611035,0.00715362871418194,0.9249294442609827,-3.8609657020390697,Amide-Neg-000120,Organic oxygen compounds,Organooxygen compounds,Higher in Females,
"Spectral Match To 1,2-Dilinoleoyl-Sn-Glycero-3-Phosphocholine From Nist14",0.3848250110446248,23.688856200588106,2.758355214696837,0.010902626298516342,0.9249294442609827,-3.943350305375058,C8-Pos-000266,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
7-Oxocholesterol,-0.8253902520118702,20.140495981032974,-3.1619060882163694,0.0051015333430456,0.9249294442609827,-3.9799588676329014,C8-Pos-000100,Lipids and lipid-like molecules,Steroids and steroid derivatives,Higher in Females,
Dehydroascorbic Acid,0.9970126857076769,20.539652696281834,2.6098794461529753,0.015617389053949089,0.9249294442609827,-4.034504627873351,Amide-Neg-000015,Organoheterocyclic compounds,Lactones,Higher in Males,
Cyclohexylamine,0.5637996787005541,23.913970848971175,2.4564884424616413,0.021600575025225104,0.9249294442609827,-4.079439812460788,Amide-Pos-000120,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
Dl-Dipalmitoylphosphatidylcholine,-1.1991441733634418,21.620639788048365,-3.627592146084678,0.0027058705691677914,0.9249294442609827,-4.085946924657453,C8-Pos-000018,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Pe 17:2_17:2,-0.6235656594974277,19.065863541961612,-2.4813321350762845,0.02078511846269889,0.9249294442609827,-4.0893805839028214,C8-Pos-000348,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Ethyl Palmitoleate,0.2985412437983261,23.985277541185145,2.429694737197377,0.022916987105574476,0.9249294442609827,-4.091330164023281,C8-Pos-000290,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
2-Oxoglutaric Acid,0.28562721445717754,24.092364762929712,2.3862602896310214,0.025209117074114665,0.9249294442609827,-4.110521074950329,Amide-Neg-000099,Organic acids and derivatives,Keto acids and derivatives,Higher in Males,
"2-[(2s,4ar,8as)-2-Hydroxy-4a-Methyl-8-Methylidene-3,4,5,6,7,8a-Hexahydro-1h-Naphthalen-2-Yl]Prop-2-Enoic Acid",-0.8483403882663592,19.553733477925498,-2.42967009004605,0.023278522111012574,0.9249294442609827,-4.11124983909831,C8-Neg-000204,Lipids and lipid-like molecules,Prenol lipids,Higher in Females,
1-O-Octadecyl-Sn-Glyceryl-3-Phosphorylcholine,-0.8339537473985427,23.24194452511208,-2.3178167457713803,0.02925185037748356,0.9249294442609827,-4.140532304398658,C8-Pos-000614,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
"N,N-Diethylethanolamine",0.21030714757239166,24.800331668653698,2.315022274460494,0.029428873292834216,0.9249294442609827,-4.141751260476221,Amide-Pos-000022,Organic nitrogen compounds,Organonitrogen compounds,Higher in Males,
2-Decylmalonic Acid,1.2922800137775452,16.2178548674464,2.4024883005618096,0.02510390761748723,0.9249294442609827,-4.143949410008247,C8-Pos-000696,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
Bis(2-Ethylhexyl) Sebacate,1.7308887879479062,23.710125669219195,2.279539063102996,0.03176334537905286,0.9249294442609827,-4.15718312266768,C8-Pos-000030,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
Pc 16:1_22:6,-0.4926519252698989,17.772334606788068,-2.260335144259226,0.03309602416655017,0.9249294442609827,-4.165498364930975,C8-Pos-000050,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Females,
Lpe O-18:2,0.22854485511281097,23.17631567634781,2.2416757839088053,0.034439421021261386,0.9249294442609827,-4.1735522217450205,C8-Pos-000281,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
L-Histidine,-0.7135938874341317,21.1612083672648,-2.2253971779423187,0.03565164128699877,0.9249294442609827,-4.180557323415681,Amide-Pos-000125,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
(+/-)8-Hepe,-0.6912624605560939,23.716488553634164,-2.2094857473183365,0.03687376383535153,0.9249294442609827,-4.187384889028304,C8-Pos-000489,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.27891176309318255,25.527316776389817,2.152161537256279,0.0415971122500167,0.9249294442609827,-4.211815615291982,C8-Pos-000263,Lipids and lipid-like molecules,Glycerophospholipids,Higher in Males,
Glycyl-L-Leucine,1.204254794336887,22.947651434057537,2.678833149067114,0.017071968443416116,0.9249294442609827,-4.218597560226519,C18-Pos-000249,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
Minoxidil,-0.5055543536309622,22.459695281111262,-2.1406607033583107,0.04306593627033937,0.9249294442609827,-4.2308691340073725,C8-Pos-000488,Organic nitrogen compounds,Organonitrogen compounds,Higher in Females,
Hexadecanamide,0.30396687930051963,18.563478287135187,2.0996883975628697,0.04639072544757781,0.9249294442609827,-4.233936294350834,C18-Pos-000152,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
L-Glutathione Oxidized,-0.34115898923182675,18.44382685106123,-2.085038522240283,0.04781456190972984,0.9249294442609827,-4.240068429960733,Amide-Pos-000237,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Females,
Docosanamide,0.24797241860688865,22.295378836956502,2.101438365065246,0.046693297847545605,0.9249294442609827,-4.24666178240433,C8-Pos-000291,Lipids and lipid-like molecules,Fatty Acyls,Higher in Males,
Stearoyl-L-Carnitine,-0.23540660217339995,26.23801956057759,-2.0589220848156473,0.050449895181979836,0.9249294442609827,-4.250951050054876,C8-Pos-000170,Lipids and lipid-like molecules,Fatty Acyls,Higher in Females,
N-Acetyl-Serine,1.6871270364846551,15.941872436972892,2.2043801868611994,0.03929345141965912,0.9249294442609827,-4.253702855554869,Amide-Pos-000377,Organic acids and derivatives,Carboxylic acids and derivatives,Higher in Males,
