Name,VIP_comp1,Compound.ID,Super.Class,Class
L-(-)-Malic acid,2.4456627874918575,Amide-Neg-000382,Organic acids and derivatives,Hydroxy acids and derivatives
Levoglucosan,2.369589991798161,Amide-Neg-000058,Organic compounds,Organoheterocyclic compounds
2'-Deoxyguanosine 5'-monophosphate (dGMP),2.2726241405224865,Amide-Neg-000119,"Nucleosides, nucleotides, and analogues",Purine nucleotides
PE 22:4_22:5,2.2045279935300566,C8-Pos-000227,Lipids and lipid-like molecules,Glycerophospholipids
N-Acetyl-DL-glutamic acid,2.2031843558178212,C18-Neg-000066,Organic acids and derivatives,Carboxylic acids and derivatives
CHOLINE,2.1196225651967118,Amide-Pos-000002,Organic nitrogen compounds,Organonitrogen compounds
PC 10:0_21:2,2.117599345293962,C8-Pos-000262,Lipids and lipid-like molecules,Glycerophospholipids
1-Stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,2.1160863509825676,C8-Pos-000096,Lipids and lipid-like molecules,Glycerophospholipids
DL-β-Leucine,2.0540851631673567,Amide-Neg-000139,Organic acids and derivatives,Carboxylic acids and derivatives
L-Aspartic acid,2.0442349484402893,Amide-Neg-000085,Organic acids and derivatives,Carboxylic acids and derivatives
"1,2-Ditetradecanoyl-sn-glycero-3-phosphocholine",2.0000160205054183,C8-Pos-000023,Lipids and lipid-like molecules,Glycerophospholipids
PE O-18:2_22:4,1.988384057771526,C8-Pos-000254,Lipids and lipid-like molecules,Glycerophospholipids
Guanine,1.9674395369942945,Amide-Pos-000116,Organic compounds,Organoheterocyclic compounds
PS 20:4_22:6,1.9189604985657294,C8-Pos-000226,Lipids and lipid-like molecules,Glycerophospholipids
DIETHYL 2-METHYL-3-OXOSUCCINATE,1.9081614122661432,C8-Pos-000607,Organic acids and derivatives,Keto acids and derivatives
CMPF,1.9076685820979191,C18-Neg-000214,Lipids and lipid-like molecules,Fatty Acyls
2-Amino-4-methylpyrimidine,1.8806542729768938,Amide-Pos-000241,Organoheterocyclic compounds,Diazines
3-(Ethenyloxy)propan-1-amine,1.8778521992039159,Amide-Pos-000229,Organic oxygen compounds,Organooxygen compounds
N6-Me-Adenosine,1.8725611443047756,Amide-Pos-000299,"Nucleosides, nucleotides, and analogues",Purine nucleosides
ERYTHRITOL,1.8705914273035968,Amide-Neg-000519,Organic oxygen compounds,Organooxygen compounds
Palmitoyl ethanolamide,1.8438161458613083,C8-Pos-000241,Organic acids and derivatives,Carboximidic acids and derivatives
5-(Hydroxymethyl)-3-(1-hydroxy-8-methylnonyl)oxolan-2-one,1.8278047878864976,C8-Pos-000654,Lipids and lipid-like molecules,Fatty Acyls
PC 16:1_18:2,1.821091569579484,C8-Pos-000044,Lipids and lipid-like molecules,Glycerophospholipids
1-(1Z-Octadecenyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,1.8061619814393861,C8-Pos-000211,Lipids and lipid-like molecules,Glycerophospholipids
LysoPE(18:0/0:0),1.8052682674546487,C18-Pos-000222,Lipids and lipid-like molecules,Glycerophospholipids
PC 19:1_19:1,1.7864897397085935,C8-Pos-000144,Lipids and lipid-like molecules,Glycerophospholipids
1-Octadecanoyl-2-octadecenoyl-sn-glycero-3-phosphocholine,1.7810637496044595,C8-Pos-000022,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylethanolamine 18:0-22:4,1.7744189464606264,C8-Neg-000091,Lipids and lipid-like molecules,Glycerophospholipids
L-Phenylalanine,1.769517894141671,Amide-Pos-000118,Organic acids and derivatives,Carboxylic acids and derivatives
Riboflavin,1.7671341502973443,Amide-Pos-000486,Organoheterocyclic compounds,Pteridines and derivatives
Cer 18:2;2O/16:0,1.7607803261000166,C8-Pos-000364,Lipids and lipid-like molecules,Sphingolipids
O-Acetylserine,1.7412736843928853,Amide-Neg-000304,Organic acids and derivatives,Carboxylic acids and derivatives
LPC 22:6-SN2,1.7297438097292674,C8-Pos-000242,Lipids and lipid-like molecules,Glycerophospholipids
Uridine 5'-diphosphogalactose,1.7190777659361922,Amide-Neg-000485,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
S-Adenosylhomocysteine,1.7149580496025956,Amide-Pos-000512,"Nucleosides, nucleotides, and analogues",5'-deoxyribonucleosides
Putrescine,1.7126710495748922,Amide-Pos-000358,Organic nitrogen compounds,Organonitrogen compounds
Phosphatidylethanolamine lyso 18:2,1.7121163071404182,C8-Neg-000199,Lipids and lipid-like molecules,Glycerophospholipids
Adenine,1.6963109524836268,Amide-Pos-000035,Organoheterocyclic compounds,Imidazopyrimidines
1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,1.6946615769614157,C8-Pos-000053,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylethanolamine 16:0-22:4,1.6908626707749081,C8-Neg-000104,Lipids and lipid-like molecules,Glycerophospholipids
D-α-Tocopherol,1.6902353638737229,C8-Pos-000662,Lipids and lipid-like molecules,Prenol lipids
LPE 18:2,1.6888560669942236,C8-Pos-000472,Lipids and lipid-like molecules,Glycerophospholipids
Ethyl hydrogen malonate,1.6853886636454907,Amide-Neg-000104,Organic acids and derivatives,Carboxylic acids and derivatives
Uridine 5'-triphosphate,1.683579075789468,Amide-Neg-000576,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
4-Piperidinecarboxamide,1.6796539035387872,Amide-Pos-000352,Organoheterocyclic compounds,Piperidines
Hypoxanthine,1.675328406789109,Amide-Pos-000019,Organoheterocyclic compounds,Imidazopyrimidines
PC O-32:0,1.6726583493268297,C8-Pos-000306,Lipids and lipid-like molecules,Glycerophospholipids
7-Methylguanine,1.6629633697563753,Amide-Pos-000208,Organoheterocyclic compounds,Imidazopyrimidines
"(Z,E)-Tetradeca-9,12-dienol",1.6509619899277543,C8-Pos-000233,Lipids and lipid-like molecules,Fatty Acyls
D-Mannitol 1-phosphate,1.6445698706004632,Amide-Pos-000548,Organic oxygen compounds,Organooxygen compounds
N-Acetyl-L-glutamine,1.6401377833313375,Amide-Neg-000605,Organic acids and derivatives,Carboxylic acids and derivatives
"1,2-Dipentadecanoyl-sn-glycero-3-phosphocholine",1.6189068175902848,C8-Pos-000010,Lipids and lipid-like molecules,Glycerophospholipids
Tiglate,1.6140065575819926,Amide-Neg-000365,Lipids and lipid-like molecules,Fatty Acyls
2-Oleoyl-1-stearoyl-sn-glycero-3-phosphoserine,1.598482452870685,Amide-Pos-000310,Lipids and lipid-like molecules,Glycerophospholipids
L-Tyrosine methyl ester,1.5809396394210653,C18-Pos-000300,Organic acids and derivatives,Carboxylic acids and derivatives
PE 34:4,1.5754796649591711,C8-Neg-000185,Lipids and lipid-like molecules,Glycerophospholipids
Uridine 5'-monophosphate,1.57384555710403,Amide-Pos-000380,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
PE 18:1_16:2,1.5736000477835026,C8-Neg-000194,Lipids and lipid-like molecules,Glycerophospholipids
"1,3,5-Tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione",1.5722285618760607,C8-Pos-000101,Benzenoids,Benzene and substituted derivatives
Terpestacin,1.5699944960836596,C8-Pos-000391,Organic oxygen compounds,Organooxygen compounds
"L-Threonic acid-1,4-lactone",1.5686921306773676,Amide-Neg-000017,Organoheterocyclic compounds,Lactones
Bis(methylbenzylidene)sorbitol,1.5645667745862564,C8-Pos-000051,Phenylpropanoids and polyketides,Cinnamyl alcohols
Dibenzoylmethane,1.559785357731299,C8-Pos-000588,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids"
1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphocholine,1.5586190784591127,C8-Pos-000046,Lipids and lipid-like molecules,Glycerophospholipids
2-Docosahexaenoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine,1.5570198061649376,C8-Neg-000031,Lipids and lipid-like molecules,Glycerophospholipids
Hypotaurine,1.5565704832193294,Amide-Pos-000158,Organic acids and derivatives,Sulfinic acids and derivatives
4-Oxoproline,1.554779491072421,Amide-Neg-000183,Organic acids and derivatives,Carboxylic acids and derivatives
Isocytosine,1.5539238628055128,Amide-Pos-000504,Organoheterocyclic compounds,Diazines
(R)-Ketamine,1.5512953636613513,C8-Pos-000202,Benzenoids,Benzene and substituted derivatives
"Spectral Match to 1-Heptadecanoyl-2-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine from NIST14",1.5509322089591724,C8-Pos-000308,Lipids and lipid-like molecules,Glycerophospholipids
Ethyl oleate,1.5427111646185023,C8-Pos-000358,Lipids and lipid-like molecules,Fatty Acyls
PS 20:4_22:4,1.5392882008246058,C8-Neg-000055,Lipids and lipid-like molecules,Glycerophospholipids
UDP-glucose Disodium Salt,1.5348791204319676,Amide-Pos-000411,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
LPC 14:0-SN2,1.528131400329239,C8-Pos-000098,Lipids and lipid-like molecules,Glycerophospholipids
Crotonic acid,1.5266053516892593,Amide-Pos-000166,Lipids and lipid-like molecules,Fatty Acyls
LPE 16:1,1.5254635422178158,C8-Neg-000155,Lipids and lipid-like molecules,Glycerophospholipids
Bis(7-methyloctyl) adipate,1.5241891295216132,C8-Pos-000410,Lipids and lipid-like molecules,Fatty Acyls
Glycerol 3-phosphate,1.5241838376845251,Amide-Neg-000546,Lipids and lipid-like molecules,Glycerophospholipids
4-Hydroxybenzaldehyde,1.5215948260608978,Amide-Neg-000217,Organic oxygen compounds,Organooxygen compounds
Phosphatidylglyceride 18:1-22:6,1.5206543705291171,C8-Neg-000111,Lipids and lipid-like molecules,Glycerophospholipids
PC 16:2_16:3,1.5112521904540999,C8-Pos-000317,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylethanolamine lyso 22:6,1.509968466428412,C8-Neg-000024,Lipids and lipid-like molecules,Glycerophospholipids
PE 16:0_22:5,1.5014819260584908,C8-Pos-000060,Lipids and lipid-like molecules,Glycerophospholipids
delta-Tridecalactone,1.4980016226373716,C8-Pos-000630,Organoheterocyclic compounds,Lactones
Phosphatidylethanolamine 18:1-22:6,1.4963939655537823,C8-Neg-000044,Lipids and lipid-like molecules,Glycerophospholipids
PC O-30:0,1.4950889872221937,C8-Pos-000486,Lipids and lipid-like molecules,Glycerophospholipids
PS 18:2_22:5,1.4916908591949074,C8-Pos-000102,Lipids and lipid-like molecules,Glycerophospholipids
"N,N-Bis(2-hydroxyethyl)dodecanamide",1.488116963463774,C18-Pos-000273,Lipids and lipid-like molecules,Fatty Acyls
PC O-40:6,1.4851716073071248,C8-Pos-000396,Lipids and lipid-like molecules,Glycerophospholipids
1-Oleoyl-sn-glycero-3-phosphoethanolamine,1.4832670192385877,C8-Pos-000109,Lipids and lipid-like molecules,Glycerophospholipids
D-(-)-Mannitol,1.4802614520580577,Amide-Neg-000399,Organic oxygen compounds,Organooxygen compounds
Friedelin,1.4766123849213473,C8-Pos-000667,Lipids and lipid-like molecules,Prenol lipids
PE 16:1_22:5,1.4758032265919014,C8-Pos-000089,Lipids and lipid-like molecules,Glycerophospholipids
Myristyl sulfate,1.4739405696133012,C8-Neg-000064,Organic acids and derivatives,Organic sulfuric acids and derivatives
Glutathionesulfonic acid,1.470345356721802,Amide-Pos-000524,Organic acids and derivatives,Carboxylic acids and derivatives
gamma-Glu-Glu,1.4642202672689955,Amide-Pos-000399,Organic acids and derivatives,Carboxylic acids and derivatives
5-Methyl D-glutamate,1.4613407817617454,Amide-Pos-000168,Organic acids and derivatives,Carboxylic acids and derivatives
2-Oxoglutaric acid,1.455079592028737,Amide-Neg-000099,Organic acids and derivatives,Keto acids and derivatives
"δ-Ribono-1,4-lactone",1.4533505442896728,Amide-Neg-000061,Organic oxygen compounds,Organooxygen compounds
PC 13:0_24:5,1.4505909170486706,C8-Pos-000345,Lipids and lipid-like molecules,Glycerophospholipids
Monopalmitolein (9c),1.4482625969234375,C8-Pos-000220,Lipids and lipid-like molecules,Glycerolipids
2-METHYLCITRATE,1.4458366550723576,Amide-Neg-000455,Organic acids and derivatives,Carboxylic acids and derivatives
Isethionate,1.4454031015783786,Amide-Neg-000081,Organic acids and derivatives,Organic sulfonic acids and derivatives
"Spectral Match to L-Methionine, N-acetyl- from NIST14",1.4402699170241509,C18-Pos-000263,Organic acids and derivatives,Carboxylic acids and derivatives
"N,N-Dimethylguanosine",1.4389623387874384,Amide-Pos-000429,Organic compounds,"Nucleosides, nucleotides, and analogues"
Cytidine 5'-diphosphocholine,1.435347575054811,Amide-Pos-000238,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
PS 16:4_26:4,1.4345689390446101,C8-Pos-000203,Lipids and lipid-like molecules,Glycerophospholipids
Guanosine monophosphate (GMP),1.4300136475992102,C18-Neg-000041,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Nicotinamide,1.4240440728542527,Amide-Pos-000173,Organoheterocyclic compounds,Pyridines and derivatives
Glyoxylic acid,1.4230286531920249,Amide-Neg-000574,Organic acids and derivatives,Carboxylic acids and derivatives
PC 14:0_15:0,1.4199422245909503,C8-Pos-000221,Lipids and lipid-like molecules,Glycerophospholipids
Heptanoylcarnitine,1.4192444236479709,C8-Pos-000668,Lipids and lipid-like molecules,Fatty Acyls
Monoerucin,1.4174168298029028,C8-Pos-000231,Lipids and lipid-like molecules,Glycerolipids
3-Phosphoglycerate,1.4008689201308742,Amide-Pos-000520,Organic oxygen compounds,Organooxygen compounds
1-Methyladenine,1.3953109117451932,Amide-Pos-000562,Organoheterocyclic compounds,Imidazopyrimidines
Spectral Match to Prostaglandin F2.alpha. dimethylamine from NIST14,1.3935542758783979,C8-Pos-000572,Organic oxygen compounds,Organooxygen compounds
Dioctyl sulfosuccinate,1.3935340974812298,C8-Pos-000403,Lipids and lipid-like molecules,Fatty Acyls
PC O-34:0,1.3889530127650525,C8-Pos-000513,Lipids and lipid-like molecules,Glycerophospholipids
5-Methylcytidine,1.3860367790395711,Amide-Pos-000460,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides
1-Deoxy-1-(methylamino)-D-galactitol,1.3845436361146866,Amide-Pos-000223,Organic oxygen compounds,Organooxygen compounds
PS 22:5_22:5,1.3799439537580571,C8-Pos-000071,Lipids and lipid-like molecules,Glycerophospholipids
Phosphatidylethanolamine 18:1-22:4,1.3738781751606703,C8-Neg-000109,Lipids and lipid-like molecules,Glycerophospholipids
"Spectral Match to Cholesta-4,6-dien-3-one from NIST14",1.3735104007725927,C8-Pos-000321,Lipids and lipid-like molecules,Steroids and steroid derivatives
PC 20:4_20:5,1.36764916012049,C8-Pos-000359,Lipids and lipid-like molecules,Glycerophospholipids
Lupeol,1.3661016540580186,C8-Pos-000269,Lipids and lipid-like molecules,Prenol lipids
Oleamide,1.3636499874682522,C18-Pos-000298,Lipids and lipid-like molecules,Fatty Acyls
Betaine,1.3612570722058963,Amide-Pos-000052,Organic acids and derivatives,Carboxylic acids and derivatives
Ethyl palmitoleate,1.3601124465607501,C8-Pos-000290,Lipids and lipid-like molecules,Fatty Acyls
Phosphatidylglyceride 22:6-22:5,1.3558195590425874,C8-Neg-000103,Lipids and lipid-like molecules,Glycerophospholipids
Pipecolic acid,1.3514177343945828,Amide-Neg-000564,Organic acids and derivatives,Carboxylic acids and derivatives
1-Hydroxy-2-(3-pyridinyl)ethylidene bisphosphonic acid,1.347004796697522,Amide-Pos-000218,Organic compounds,Organic acids and derivatives
11-Hydroxy-δ(9)-THC,1.3444046689565683,C8-Pos-000426,Organoheterocyclic compounds,Benzopyrans
2-Arachidonoyl glycerol,1.340509997366094,C8-Pos-000093,Lipids and lipid-like molecules,Endocannabinoids
6-Oxohexanoic acid,1.3323011071624102,Amide-Neg-000245,Lipids and lipid-like molecules,Fatty Acyls
"3-Furancarboxylic acid, tetrahydro-4-methylene-2-octyl-5-oxo-, (2R,3S)-",1.3320977521994073,C18-Neg-000216,Organic compounds,Organoheterocyclic compounds
(R)-Pantetheine,1.3304147040149932,C18-Pos-000303,Organic acids and derivatives,Carboxylic acids and derivatives
Palmitoyl sphingomyelin,1.330347916316488,C8-Pos-000123,Lipids and lipid-like molecules,Sphingolipids
Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14,1.3280481036093172,Amide-Pos-000483,Lipids and lipid-like molecules,Glycerophospholipids
Hexadecanedioic acid,1.3239303085537901,C18-Neg-000210,Lipids and lipid-like molecules,Fatty Acyls
"3-(5,6-Dihydroxyheptyl)-4-methyl-2H-furan-5-one",1.3084126101549294,C8-Pos-000708,Organic compounds,Lipids and lipid-like molecules
NP-022805,1.3056164955769318,C8-Pos-000398,Lipids and lipid-like molecules,Prenol lipids
N-Acetyl-D-galactosamine-6-phosphate,1.3056006102312372,Amide-Neg-000561,Organic oxygen compounds,Organooxygen compounds
"1,4-Anhydro-6-O-[(9Z)-9-octadecenoyl]-D-glucitol",1.3049967133232583,C8-Pos-000370,Lipids and lipid-like molecules,Fatty Acyls
PC 18:0_22:5,1.3013846813014682,C8-Pos-000061,Lipids and lipid-like molecules,Glycerophospholipids
"Cytidine 2',3'-cyclic monophosphoric acid",1.30035198207871,Amide-Pos-000378,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides
Linoleoylcarnitine,1.2998423936532006,C8-Pos-000159,Lipids and lipid-like molecules,Fatty Acyls
Dipropyleneglycol dibenzoate,1.2962503374607173,C8-Pos-000107,Benzenoids,Benzene and substituted derivatives
L-2-Aminoadipic acid,1.2950918962514775,Amide-Pos-000303,Organic acids and derivatives,Carboxylic acids and derivatives
Ethyldiethanolamine,1.2914617570648719,Amide-Pos-000349,Organic nitrogen compounds,Organonitrogen compounds
Carvone,1.2895421415023902,C18-Pos-000230,Lipids and lipid-like molecules,Prenol lipids
Proline betaine,1.28883216732827,Amide-Pos-000148,Organic acids and derivatives,Carboxylic acids and derivatives
LPS 18:0,1.2880550929169956,C8-Neg-000066,Lipids and lipid-like molecules,Glycerophospholipids
PG 40:6,1.2879366705814286,C8-Neg-000153,Lipids and lipid-like molecules,Glycerophospholipids
Linoelaidic acid,1.2878663121612877,C8-Neg-000017,Lipids and lipid-like molecules,Fatty Acyls
PE(18:0_20:4),1.2833891707705807,C8-Pos-000286,Lipids and lipid-like molecules,Glycerophospholipids
Inosine-5'-monophosphate (IMP),1.282438533572902,Amide-Pos-000198,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Adenosine 5'-monophosphate,1.281129058865545,Amide-Pos-000075,"Nucleosides, nucleotides, and analogues",Purine nucleotides
"7,9-Di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione",1.2796250458185092,C8-Pos-000323,Organic compounds,Organoheterocyclic compounds
N-Lauryldiethanolamine,1.261802116741198,C18-Pos-000114,Organic nitrogen compounds,Organonitrogen compounds
