Name,Wilcoxon_FDR,Wilcoxon_nominal,limma_FDR,limma_nominal,PLSDA_VIP
Levulinic Acid,0,1,0,0,1
Maleic Hydrazide,0,1,0,0,0
D-Asparagine,0,1,0,1,1
D-Mannitol 1-Phosphate,0,1,0,1,1
(R)-Butyrylcarnitine,0,1,0,1,1
L-Glutarylcarnitine,0,1,0,1,1
Propham,0,1,0,1,1
Phenylacetylglutamine,0,1,0,1,1
Gln-Gly-Ile,0,1,0,1,0
Pc(20:2cho_22:5),0,1,0,0,1
Pe(19:1cooh_28:3),0,1,0,1,1
Sqdg(14:0_30:6),0,1,0,0,0
Galaxolidone,0,1,0,0,0
Penicillin G,0,1,0,0,1
Citroflex 4,0,1,0,1,1
Cholest-4-En-3-One,0,1,0,1,1
Cer(D15:2_7:0),0,1,0,1,1
Citroflex A-4,0,1,0,1,1
"2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene",0,1,0,1,1
Pe(O-10:0_6:0),0,1,0,1,0
Cerp(D18:0_20:3),0,1,0,1,0
1-Methyladenosine,0,0,0,1,1
Dl-P-Hydroxyphenyllactic Acid,0,0,0,1,0
4-Piperidinecarboxamide,0,0,0,1,1
2-Aminocaprylate,0,0,0,1,0
Tg(O-25:8_2:0_19:4),0,0,0,0,1
Tg(15:1cho_15:2),0,0,0,0,1
Pg(O-29:8_21:6),0,0,0,0,1
5-(Z-Heptadec-8-Enyl) Resorcinol,0,0,0,0,1
O-Dodecanoylcarnitine,0,0,0,0,1
Diosgenin,0,0,0,0,1
S-Adenosylmethionine,0,0,0,0,1
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
"(2s)-2-Hydroxy-3-[(Hydroxy{[(1s,2r,3r,4s,5s,6r)-2,3,4,5,6-Pentahydroxycyclohexyl]Oxy}Phosphoryl)Oxy]Propyl (12z)-12-Octadecenoate",0,0,0,0,1
Methyl L-Tryptophanate,0,0,0,0,1
Asp-Phe,0,0,0,0,1
Tg(2:0_11:0_23:4),0,0,0,0,1
2-Arachidonoyl Glycerol,0,0,0,0,1
Adenine,0,0,0,0,1
Pc(22:3cho_27:6),0,0,0,0,1
Pc(19:4cho_29:7),0,0,0,0,1
D-Erythro-Sphinganine,0,0,0,0,1
Oahfa(15:1_27:4),0,0,0,0,1
Ps 18:0_22:5,0,0,0,0,1
Α-Cyano-3-Hydroxycinnamic Acid,0,0,0,0,1
N-Acetylglutamic Acid,0,0,0,0,1
Thiamine,0,0,0,0,1
Cytidine 5'-Diphosphate,0,0,0,0,1
Pseudouridine,0,0,0,0,1
Pe(O-17:3_21:1),0,0,0,0,1
Cis-4-Hydroxy-D-Proline,0,0,0,0,1
Lpc(23:5),0,0,0,0,1
"1,3-Benzodioxolylbutanamine (Bdb)",0,0,0,0,1
L-Glutathione (Reduced),0,0,0,0,1
Ps(19:1_17:2),0,0,0,0,1
Linoleic Acid,0,0,0,0,1
Hyflavin,0,0,0,0,1
5-Methylcytidine,0,0,0,0,1
Uridine 5'-Triphosphate Sodium Salt,0,0,0,0,1
N-Acetyl-L-Valine,0,0,0,0,1
Sphp(D16:2),0,0,0,0,1
O-Phosphocolamine,0,0,0,0,1
Pc(19:1cooh_23:3),0,0,0,0,1
1-Β-D-Arabinofuranosyluracil 5'-Monophosphate,0,0,0,0,1
4-(Acetylamino)Butanoic Acid,0,0,0,0,1
Pc(18:1_5:1cho),0,0,0,0,1
Pc(36:6_13:4cooh),0,0,0,0,1
Delta-Valerobetaine,0,0,0,0,1
(2r)-3-Hydroxyisovaleroylcarnitine,0,0,0,0,1
Lpc(23:6),0,0,0,0,1
Ala-Pro-Asn,0,0,0,0,1
N-Formyl-L-Methionine,0,0,0,0,1
D-Glucose 6-Phosphate,0,0,0,0,1
2-Oleoyl-1-Palmitoyl-Sn-Glycero-3-Phosphoserine,0,0,0,0,1
Hypaphorine,0,0,0,0,1
Ps 20:2_20:2,0,0,0,0,1
Pc(15:1cho_22:2),0,0,0,0,1
Carnosine,0,0,0,0,1
3-Hydroxystigmast-5-En-7-One,0,0,0,0,1
Pc(19:2cooh_21:6),0,0,0,0,1
1-Stearoylglycerol,0,0,0,0,1
Ps(24:2_20:5),0,0,0,0,1
Pc 16:0_16:1,0,0,0,0,1
Acetylcholine,0,0,0,0,1
Pe(18:0_20:4),0,0,0,0,1
1-Hexadecanoyl-2-Octadecadienoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
Yrquylsqfnxrba-Izzdovswsa-N,0,0,0,0,1
Guanine,0,0,0,0,1
Lpc 22:6-Sn1,0,0,0,0,1
Pg(20:4_24:8),0,0,0,0,1
L-(+)-Lactic Acid,0,0,0,0,1
Stearoyl Ethanolamide,0,0,0,0,1
L-Threonic Acid Calcium Salt,0,0,0,0,1
Bmp 22:5_22:6,0,0,0,0,1
Pc(P-12:1_26:4),0,0,0,0,1
Pc(14:0_4:1cho),0,0,0,0,1
Myristyl Sulfate,0,0,0,0,1
Tg(32:4cooh_12:0),0,0,0,0,1
Tg(20:2cho_26:3),0,0,0,0,1
Asp-Leu,0,0,0,0,1
Ps(22:3_24:7),0,0,0,0,1
Nervonic Ceramide,0,0,0,0,1
N-Acetyl-1-Aspartylglutamic Acid,0,0,0,0,1
L-Serine,0,0,0,0,1
Cystathionine,0,0,0,0,1
Asp-Pro-Asn,0,0,0,0,1
Methyl Palmitate,0,0,0,0,1
Pe(O-20:1_22:6),0,0,0,0,1
1-Linoleoyl Glycerol,0,0,0,0,1
Pc(9:0cho_26:1),0,0,0,0,1
Dgdg(6:0_28:2),0,0,0,0,1
D-(+)-Arabitol,0,0,0,0,1
Ps(16:1_26:4),0,0,0,0,1
Ps(14:2_29:7),0,0,0,0,1
Risedronic Acid,0,0,0,0,1
"1-Hexadecanoyl-2-(5z,8z,11z,14z-Eicosatetraenoyl)-Sn-Glycero-3-Phosphocholine",0,0,0,0,1
Oahfa(15:1_25:3),0,0,0,0,1
Anserine,0,0,0,0,1
Dl-Valine,0,0,0,0,1
Pc(20:3_25:5),0,0,0,0,1
Dl-Alanine,0,0,0,0,1
N-Acetyl-D-Glucosamine 6-Phosphate,0,0,0,0,1
Adenosine,0,0,0,0,1
Ppg N5,0,0,0,0,1
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0,0,0,0,1
Palmitoyl Sphingomyelin,0,0,0,0,1
Lpc 20:3-Sn1,0,0,0,0,1
Pc(22:5cooh_25:8),0,0,0,0,1
N-Methylcyclohexylamine,0,0,0,0,1
Pc(18:1_16:2),0,0,0,0,1
1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine,0,0,0,0,1
L-Threonine,0,0,0,0,1
Cytidine 5'-Diphosphocholine,0,0,0,0,1
D-Lysine,0,0,0,0,1
Proline Betaine,0,0,0,0,1
L-N-Acetylhistidine,0,0,0,0,1
Glu-Glu-Glu,0,0,0,0,1
"1,3,5-Tris(3,5-Di-Tert-Butyl-4-Hydroxybenzyl)-1,3,5-Triazine-2,4,6(1h,3h,5h)-Trione",0,0,0,0,1
Pc(28:6_10:0cooh),0,0,0,0,1
L-(-)-Methionine,0,0,0,0,1
Mesaconic Acid,0,0,0,0,1
Propionylcarnitine,0,0,0,0,1
Pc(12:1_28:3),0,0,0,0,1
Myristic Acid,0,0,0,0,1
Adenosine Triphosphate (Atp),0,0,0,0,1
N-Methyl-D-Glucamine,0,0,0,0,1
Cl(12:0cooh_22:0_24:1_21:2),0,0,0,0,1
Lpi(O-14:1),0,0,0,0,1
Pc(26:6_21:6cho),0,0,0,0,1
3-Methylhistidine,0,0,0,0,1
L-Tyrosine,0,0,0,0,1
Bismepa(18:0_19:1),0,0,0,0,1
"Ne,Ne,Ne-Trimethyllysine",0,0,0,0,1
Isobutyric Acid,0,0,0,0,1
L-Saccharopine,0,0,0,0,1
5'-S-Methyl-5'-Thioadenosine,0,0,0,0,1
Pro-Glu,0,0,0,0,1
Glycerophosphocholine,0,0,0,0,1
Indole-3-Carboxaldehyde,0,0,0,0,1
Pc(32:2_4:0),0,0,0,0,1
Hex1cer(D24:2_12:0),0,0,0,0,1
"N2-[5-Phenyl-4-(Trifluoromethyl)-1,3-Thiazol-2-Yl]Thiophene-2-Carboxamide",0,0,0,0,1
Acetyl-L-Carnitine,0,0,0,0,1
Pe(O-16:2_22:3),0,0,0,0,1
Udp-Β-D-Glucose (Sodium Salt),0,0,0,0,1
Lpc(14:0),0,0,0,0,1
Gly-Asp,0,0,0,0,1
Triethanolamine,0,0,0,0,1
Ps(17:1_29:3),0,0,0,0,1
Pi 36:4,0,0,0,0,1
L-Glutathione Oxidized,0,0,0,0,1
3-[(2-Hydroxyethyl)Amino]-1-Propanol,0,0,0,0,1
Cytidine,0,0,0,0,1
Octabenzone,0,0,0,0,1
N8-Acetylspermidine,0,0,0,0,1
N-Methyl-2-Phenylpropan-1-Amine,0,0,0,0,1
Tg(15:0_15:0_24:6),0,0,0,0,1
Dg(2:0_18:2),0,0,0,0,1
"16-Hydroxycleroda-3,13-Dien-15,16-Olide",0,0,0,0,1
Udp-N-Acetylglucosamine,0,0,0,0,1
Uridine,0,0,0,0,1
Ps(22:0_22:4),0,0,0,0,1
1-(9z-Octadecenoyl)-Sn-Glycero-3-Phosphoethanolamine,0,0,0,0,1
Pc(O-29:1_5:0),0,0,0,0,1
(R)-Pantetheine,0,0,0,0,1
Pe 18:0_24:5,0,0,0,0,1
Lpe 22:3,0,0,0,0,1
Pi 38:6,0,0,0,0,1
Pe(22:3_26:5),0,0,0,0,1
2-Oleoyl-1-Stearoyl-Sn-Glycero-3-Phosphoserine,0,0,0,0,1
Pe(26:4_19:6cooh),0,0,0,0,1
Pc(20:2_21:4),0,0,0,0,1
Pa(29:1_20:6),0,0,0,0,1
Pro-Asp,0,0,0,0,1
Tg(18:1_3:0_4:0cooh),0,0,0,0,1
Tg(36:6_4:0),0,0,0,0,1
Pe(16:1_20:4),0,0,0,0,1
D-Proline,0,0,0,0,1
Ps(23:4_21:5),0,0,0,0,1
Pe 16:0_22:5,0,0,0,0,1
Pc(21:1cooh_23:6),0,0,0,0,1
6-Chloropicolinic Acid,0,0,0,0,1
"D,L-Serine",0,0,0,0,1
Dehydroascorbic Acid,0,0,0,0,1
Adenosine 3'5'-Cyclic Monophosphate,0,0,0,0,1
Dg(21:1_19:4),0,0,0,0,1
Pc(28:1_21:0cooh),0,0,0,0,1
Pc(18:3cho_26:8),0,0,0,0,1
3-Ketocarbofuran,0,0,0,0,1
Uridine 5'-Diphosphate,0,0,0,0,1
Pe(19:1cooh_24:4),0,0,0,0,1
Lpc(20:1),0,0,0,0,1
Pet(20:0_23:6),0,0,0,0,1
Spongouridin,0,0,0,0,1
Xanthosine,0,0,0,0,1
N6-Succinyladenosine; Lc-Tdda; Ce10,0,0,0,0,1
Ps(20:1_24:6),0,0,0,0,1
1-Aminocyclopropanecarboxylic Acid,0,0,0,0,1
Oleoyl-L-Carnitine,0,0,0,0,1
Pc(11:2cho_11:2),0,0,0,0,1
Tg(5:0_10:0_6:1cho),0,0,0,0,1
Pc(O-24:5_10:0),0,0,0,0,1
3-Hydroxybutyrylcarnitine,0,0,0,0,1
Pe(P-19:4_23:5),0,0,0,0,1
Dg(20:4_22:5),0,0,0,0,1
Uridine 5'-Diphosphoglucuronic Acid,0,0,0,0,1
Asparagine,0,0,0,0,1
Triethyl Phosphate,0,0,0,0,1
Geranyllinalool,0,0,0,0,1
Pe 16:0_18:1,0,0,0,0,1
Pe(21:4cooh_24:6),0,0,0,0,1
3-Isopropoxypropylamine,0,0,0,0,1
1-Palmitoyl-2-Docosahexaenoyl-Sn-Glycero-3-Phosphocholine,0,0,0,0,1
Pe 21:2_21:2,0,0,0,0,1
