Name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Compound.ID,Super.Class,Class
Pe(21:0_21:5),-0.08385335853336451,20.098870050691282,-5.224463732568205,2.356262414805598e-5,0.014137574488833588,2.6455086451314473,C8-Pos-004916,Lipids and lipid-like molecules,Glycerophospholipids
Pc(19:2cooh_21:6),-0.1812707520701904,17.97499355341092,-4.647695272929915,1.0171026204522974e-4,0.03051307861356892,1.3533732549605197,C8-Neg-003658,Lipids and lipid-like molecules,Glycerophospholipids
Biotin,-0.22236101145014994,22.305327178827543,-4.230233339181991,4.5295296067019965e-4,0.0717121845328546,0.061575019665692565,C18-Pos-001159,Organoheterocyclic compounds,Biotin and derivatives
L-(+)-Lactic Acid,0.3493430131412834,18.519230477889604,4.095252505645657,4.7808123021903073e-4,0.0717121845328546,-0.008021341841109475,Amide-Neg-000066,Organic acids and derivatives,Hydroxy acids and derivatives
Propionylcarnitine,0.3548283429726977,19.113347712214267,3.8271328090654877,8.145711164991199e-4,0.09774853397989439,-0.49321454251422736,C18-Pos-001104,Lipids and lipid-like molecules,Fatty Acyls
1-Linoleoyl-Sn-Glycero-3-Phosphorylcholine,0.13047145471925167,18.728926528869376,3.667369552343998,0.0012154076188289611,0.12154076188289611,-0.8480381529032499,C18-Pos-004537,Lipids and lipid-like molecules,Glycerophospholipids
Peg N14,-0.15809947067024824,20.195823426227083,-3.6051957555384795,0.0014191045046209217,0.12163752896750757,-0.9852828520665007,C8-Pos-003314,Organic oxygen compounds,Organooxygen compounds
"1,2-Dioleoyl-Sn-Glycero-3-Phosphatidylcholine",0.15140864757794545,16.50791891185648,3.4904957946373067,0.001886135041861466,0.14146012813960995,-1.237011155849328,Amide-Pos-002307,Lipids and lipid-like molecules,Glycerophospholipids
Peg N8,0.49976573276161995,17.028558103303713,3.444953691006793,0.0023093737616551586,0.14241451698209268,-1.3881448549137687,C8-Pos-001222,Organic oxygen compounds,Organooxygen compounds
Pc 16:0_16:1,-0.07891618322398343,19.042948936387475,-3.397242452416173,0.002373575283034878,0.14241451698209268,-1.4400857943330205,C8-Pos-003874,Lipids and lipid-like molecules,Glycerophospholipids
Pe(18:0_20:4),0.17865582682326356,20.390740991546885,3.5537412688079613,0.00288684926186138,0.15746450519243893,-1.4930728924461958,C8-Pos-004202,Lipids and lipid-like molecules,Glycerophospholipids
Inosine-5'-Monophosphate (Imp),0.10280467491232638,21.38427070981652,3.1517055702170147,0.0043159083121006156,0.21579541560503077,-1.966572663764996,C18-Pos-002294,"Nucleosides, nucleotides, and analogues",Purine nucleotides
Asp-Pro-Asn,0.16293159536476012,19.876146568431416,3.1113897590096675,0.004755612140206366,0.21948979108644764,-2.051710161882877,Amide-Pos-001387,Organic acids and derivatives,Carboxylic acids and derivatives
D-Threonine,0.11189455727454468,28.499103548189655,3.057475459135862,0.005411357842237441,0.22014982475438122,-2.164917095891159,Amide-Neg-000235,Organic acids and derivatives,Carboxylic acids and derivatives
3-Hydroxybutyric Acid,-0.07371816903173875,22.22816274710524,-3.050389023700387,0.0055037456188595305,0.22014982475438122,-2.179739964143159,Amide-Neg-000118,Organic acids and derivatives,Hydroxy acids and derivatives
Glycerol Monopalmitate,-0.10946678322253739,17.8050755612734,-2.985140967241655,0.006428471603837081,0.24106768514389054,-2.315573985300321,C8-Pos-000593,Lipids and lipid-like molecules,Glycerolipids
Dl-Valine,0.12032251036208264,15.568734103312568,2.963787527661463,0.006956195123990123,0.24551276908200437,-2.3680486262385902,Amide-Pos-000236,Organic acids and derivatives,Carboxylic acids and derivatives
Dgdg(6:0_28:2),-0.10608739622460844,23.713135520948562,-2.914397957476498,0.007598320628537254,0.25327735428457515,-2.4614691994881213,C8-Neg-003637,Lipids and lipid-like molecules,Glycerolipids
Glycerol Monooleate,-0.3755697934062087,20.328782045918544,-2.8590987471042544,0.008651252923738148,0.26523852753398897,-2.574457074550803,C8-Pos-000806,Lipids and lipid-like molecules,Glycerolipids
2-Oxobutanoic Acid,-0.09277682577801925,16.560962722989782,-2.8494738347010298,0.009074211024260198,0.26523852753398897,-2.608413499555383,Amide-Neg-000108,Organic acids and derivatives,Keto acids and derivatives
Palmitoleic Acid,-0.35590727053635113,19.655427133911733,-2.8288997570404093,0.009283348463689613,0.26523852753398897,-2.635750291506433,C8-Pos-000148,Lipids and lipid-like molecules,Fatty Acyls
L-Histidine,-0.30424470731168257,15.635881324000495,-2.890193201578957,0.011869452176674957,0.2894426546404294,-2.7031522366352148,Amide-Pos-000536,Organic acids and derivatives,Carboxylic acids and derivatives
